"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","1","0.0-0.0","xg8vmgtv","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1017","0.0-1.0","xg8vmgtv","1440","708","true","chrome","120.0.0","false","Mac OS","true","59.98","true","true","","","","","","","","","","","","","","","","","",""
"","instructions","2","62983","0.0-2.0","xg8vmgtv","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8014},{""page_index"":1,""viewing_time"":34600},{""page_index"":2,""viewing_time"":19351}]","61966","The experiment and consent","The experiment and consent","","","","","","","","","","","","","",""
"","fullscreen","3","82119","0.0-3.0","xg8vmgtv","1440","900","","","","","","","","","","","18129","","Full screen","true","","","","","","","","","","","","",""
"","instructions","4","124765","0.0-4.0","xg8vmgtv","1440","900","","","","","","","","","","[{""page_index"":0,""viewing_time"":27527},{""page_index"":1,""viewing_time"":15117}]","42645","Instructions","Basic overview explanation","","","","","","","","","","","","","",""
"","html-keyboard-response","5","142061","0.0-5.0","xg8vmgtv","1440","900","","","","","","","","","","","15789","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","",""
"","html-keyboard-response","6","142814","0.0-6.0","xg8vmgtv","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","7","144075","0.0-7.0","xg8vmgtv","1440","900","","","","","","","","","","","1260","pte","Practice diganostic trial","","f","practice","0","false","1","LEFT","f","1","","","","",""
"","html-keyboard-response","8","144833","0.0-10.0","xg8vmgtv","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","9","146817","0.0-11.0","xg8vmgtv","1440","900","","","","","","","","","","","1983","upf","Practice diganostic trial","","j","practice","1","false","","LEFT","f","0","","","","",""
