"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","page_index1","page_index2","page_index3","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct","correct_response","correct_inducer_response_side","congruent","inducer_correct_response","slider_start","accuracy","gender","age","motivation_feedback","distraction","distraction_feedback","open_feedback"
"","call-function","0","1","0.0-0.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","264","0.0-1.0","6vxj24fa","1659","945","true","edge-chromium","119.0.0","false","Windows 10","true","240.96","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","202771","0.0-2.0","6vxj24fa","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":18570},{""page_index"":1,""viewing_time"":173089},{""page_index"":2,""viewing_time"":10846}]","202505","The experiment and consent","The experiment and consent","18570","173089","10846","","","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","208489","0.0-3.0","6vxj24fa","1707","1067","","","","","","","","","","","4715","","technicals","","","","true","","","","","","","","","","","","","","","","","","","",""
"","instructions","4","299294","0.0-4.0","6vxj24fa","1707","1067","","","","","","","","","","[{""page_index"":0,""viewing_time"":9469},{""page_index"":1,""viewing_time"":81335}]","90804","Instructions","Final experiment explanation","9469","81335","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","320799","0.0-5.0","6vxj24fa","1707","1067","","","","","","","","","","","null","If italic press LEFT | If upright press RIGHT","Diagnostic instructions","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","322800","0.0-6.0","6vxj24fa","1707","1067","","","","","","","","","","","null","dog","practice","","","","","null","0","0","false","false","RIGHT","j","null","","","","","","","","","","","",""
"","call-function","7","322801","0.0-7.0-0.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","8","323103","0.0-7.0-1.0","6vxj24fa","1707","1067","","","","","","","","","","","null","Slow","Feedback","","","","","null","","","","","","","","","","","","","","","","","","",""
"","call-function","9","323103","0.0-7.0-2.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","10","323855","0.0-9.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","324872","0.0-10.0","6vxj24fa","1707","1067","","","","","","","","","","","1016","dog","practice","","","","","f","0","1","false","true","LEFT","f","","true","","","","","","","","","","",""
"","html-keyboard-response","12","325625","0.0-13.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
