"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","1","0.0-0.0","8frhzxqs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1001","0.0-1.0","8frhzxqs","1920","911","true","chrome","120.0.0","false","Windows 10","true","60.22","false","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","32959","0.0-2.0","8frhzxqs","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":14276},{""page_index"":1,""viewing_time"":14593},{""page_index"":2,""viewing_time"":3088}]","31957","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","44023","0.0-3.0","8frhzxqs","1920","1080","","","","","","","","","","","10057","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","64861","0.0-4.0","8frhzxqs","1920","1080","","","","","","","","","","[{""page_index"":0,""viewing_time"":15257},{""page_index"":1,""viewing_time"":5580}]","20837","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","74751","0.0-5.0","8frhzxqs","1920","1080","","","","","","","","","","","8383","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","75516","0.0-6.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","78999","0.0-7.0","8frhzxqs","1920","1080","","","","","","","","","","","3483","wrz","Practice diganostic trial","","j","practice","0","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","79758","0.0-10.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","80183","0.0-11.0","8frhzxqs","1920","1080","","","","","","","","","","","425","pte","Practice diganostic trial","","f","practice","1","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","10","80936","0.0-14.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","81391","0.0-15.0","8frhzxqs","1920","1080","","","","","","","","","","","454","wrz","Practice diganostic trial","","f","practice","2","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","12","82144","0.0-18.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","82559","0.0-19.0","8frhzxqs","1920","1080","","","","","","","","","","","415","pte","Practice diganostic trial","","j","practice","3","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","14","83316","0.0-22.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","83695","0.0-23.0","8frhzxqs","1920","1080","","","","","","","","","","","379","wrz","Practice diganostic trial","","f","practice","4","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","16","84449","0.0-26.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","84895","0.0-27.0","8frhzxqs","1920","1080","","","","","","","","","","","446","pte","Practice diganostic trial","","f","practice","5","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","18","85649","0.0-30.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","86383","0.0-31.0","8frhzxqs","1920","1080","","","","","","","","","","","734","pte","Practice diganostic trial","","j","practice","6","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","20","87134","0.0-34.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","21","87583","0.0-35.0","8frhzxqs","1920","1080","","","","","","","","","","","448","pte","Practice diganostic trial","","j","practice","7","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","22","88347","0.0-38.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","23","88911","0.0-39.0","8frhzxqs","1920","1080","","","","","","","","","","","564","wrz","Practice diganostic trial","","f","practice","8","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","24","89664","0.0-42.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","25","90039","0.0-43.0","8frhzxqs","1920","1080","","","","","","","","","","","375","pte","Practice diganostic trial","","f","practice","9","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","26","90794","0.0-46.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","27","91239","0.0-47.0","8frhzxqs","1920","1080","","","","","","","","","","","445","pte","Practice diganostic trial","","f","practice","10","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","28","92000","0.0-50.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","29","92551","0.0-51.0","8frhzxqs","1920","1080","","","","","","","","","","","551","wrz","Practice diganostic trial","","j","practice","11","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","30","93306","0.0-54.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","31","93751","0.0-55.0","8frhzxqs","1920","1080","","","","","","","","","","","445","wrz","Practice diganostic trial","","f","practice","12","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","32","94515","0.0-58.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","33","94952","0.0-59.0","8frhzxqs","1920","1080","","","","","","","","","","","436","pte","Practice diganostic trial","","j","practice","13","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","34","95703","0.0-62.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","35","96271","0.0-63.0","8frhzxqs","1920","1080","","","","","","","","","","","568","wrz","Practice diganostic trial","","j","practice","14","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","36","97030","0.0-66.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","37","97567","0.0-67.0","8frhzxqs","1920","1080","","","","","","","","","","","537","wrz","Practice diganostic trial","","j","practice","15","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","38","98332","0.0-70.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","instructions","39","108438","0.0-71.0","8frhzxqs","1920","1080","","","","","","","","","","[{""page_index"":0,""viewing_time"":10105}]","10106","Instructions","Final experiment explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","119064","0.0-72.0","8frhzxqs","1920","1080","","","","","","","","","","","9115","If quy press LEFT | If vib press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","41","120320","0.0-73.0","8frhzxqs","1920","1080","","","","","","","","","","","1255","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","42","121071","0.0-76.0","8frhzxqs","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","43","127016","0.0-77.0","8frhzxqs","1920","1080","","","","","","","","","","","5944","If lpn press LEFT | If cer press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","44","127688","0.0-78.0","8frhzxqs","1920","1080","","","","","","","","","","","672","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
