"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","77hzvosf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","16606","0.0-1.0","77hzvosf","1920","911","true","chrome","121.0.0","false","Windows 10","true","3.61","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","35760","0.0-2.0","77hzvosf","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4866},{""page_index"":1,""viewing_time"":11056},{""page_index"":2,""viewing_time"":3232}]","19154","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","41593","0.0-3.0","77hzvosf","1920","1080","","","","","","","","","","","4826","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","76500","0.0-4.0","77hzvosf","1920","1080","","","","","","","","","","[{""page_index"":0,""viewing_time"":16341},{""page_index"":1,""viewing_time"":18565}]","34906","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","85501","0.0-5.0","77hzvosf","1920","1080","","","","","","","","","","","7495","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","86263","0.0-6.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","86978","0.0-7.0","77hzvosf","1920","1080","","","","","","","","","","","715","mik","Practice diganostic trial","","j","practice","0","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","87732","0.0-10.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","88189","0.0-11.0","77hzvosf","1920","1080","","","","","","","","","","","457","mik","Practice diganostic trial","","j","practice","1","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","10","88955","0.0-14.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","89352","0.0-15.0","77hzvosf","1920","1080","","","","","","","","","","","396","mik","Practice diganostic trial","","j","practice","2","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","12","90119","0.0-18.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","90551","0.0-19.0","77hzvosf","1920","1080","","","","","","","","","","","431","mik","Practice diganostic trial","","f","practice","3","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","14","91314","0.0-22.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","91863","0.0-23.0","77hzvosf","1920","1080","","","","","","","","","","","548","amb","Practice diganostic trial","","f","practice","4","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","16","92614","0.0-26.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","92994","0.0-27.0","77hzvosf","1920","1080","","","","","","","","","","","379","mik","Practice diganostic trial","","f","practice","5","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","18","93753","0.0-30.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","94254","0.0-31.0","77hzvosf","1920","1080","","","","","","","","","","","501","mik","Practice diganostic trial","","f","practice","6","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","20","95012","0.0-34.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","21","95427","0.0-35.0","77hzvosf","1920","1080","","","","","","","","","","","415","mik","Practice diganostic trial","","j","practice","7","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","22","96179","0.0-38.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","23","96567","0.0-39.0","77hzvosf","1920","1080","","","","","","","","","","","387","amb","Practice diganostic trial","","j","practice","8","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","24","97325","0.0-42.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","25","97713","0.0-43.0","77hzvosf","1920","1080","","","","","","","","","","","387","amb","Practice diganostic trial","","j","practice","9","false","1","LEFT","f","0","","","","","",""
"","call-function","26","97713","0.0-45.0-0.0","77hzvosf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","98019","0.0-45.0-1.0","77hzvosf","1920","1080","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","28","98020","0.0-45.0-2.0","77hzvosf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","98787","0.0-46.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","30","99269","0.0-47.0","77hzvosf","1920","1080","","","","","","","","","","","481","mik","Practice diganostic trial","","j","practice","10","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","31","100022","0.0-50.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","32","100237","0.0-51.0","77hzvosf","1920","1080","","","","","","","","","","","215","amb","Practice diganostic trial","","j","practice","11","false","1","LEFT","f","0","","","","","",""
"","call-function","33","100237","0.0-53.0-0.0","77hzvosf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","100549","0.0-53.0-1.0","77hzvosf","1920","1080","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","35","100550","0.0-53.0-2.0","77hzvosf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","101306","0.0-54.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","37","102159","0.0-55.0","77hzvosf","1920","1080","","","","","","","","","","","852","mik","Practice diganostic trial","","j","practice","12","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","38","102918","0.0-58.0","77hzvosf","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
