"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","pca52mry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","995","0.0-1.0","pca52mry","1920","919","true","chrome","120.0.0","false","Windows 10","true","60.75","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","33876","0.0-2.0","pca52mry","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":15861},{""page_index"":1,""viewing_time"":12303},{""page_index"":2,""viewing_time"":4715}]","32880","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","42565","0.0-3.0","pca52mry","1920","1080","","","","","","","","","","","7678","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","68347","0.0-4.0","pca52mry","1920","1080","","","","","","","","","","[{""page_index"":0,""viewing_time"":17528},{""page_index"":1,""viewing_time"":8253}]","25781","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","85887","0.0-5.0","pca52mry","1920","1080","","","","","","","","","","","16026","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","86641","0.0-6.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","91832","0.0-7.0","pca52mry","1920","1080","","","","","","","","","","","5190","pph","Practice diganostic trial","","j","practice","0","false","0","LEFT","f","0","","","","","",""
"","call-function","8","91833","0.0-9.0-0.0","pca52mry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","92147","0.0-9.0-1.0","pca52mry","1920","1080","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","10","92148","0.0-9.0-2.0","pca52mry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","92903","0.0-10.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","94808","0.0-11.0","pca52mry","1920","1080","","","","","","","","","","","1904","guf","Practice diganostic trial","","f","practice","1","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","13","95565","0.0-14.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","14","96213","0.0-15.0","pca52mry","1920","1080","","","","","","","","","","","647","pph","Practice diganostic trial","","f","practice","2","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","15","96965","0.0-18.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","16","97469","0.0-19.0","pca52mry","1920","1080","","","","","","","","","","","503","guf","Practice diganostic trial","","f","practice","3","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","17","98226","0.0-22.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","18","98620","0.0-23.0","pca52mry","1920","1080","","","","","","","","","","","393","pph","Practice diganostic trial","","j","practice","4","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","19","99374","0.0-26.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","20","99844","0.0-27.0","pca52mry","1920","1080","","","","","","","","","","","470","pph","Practice diganostic trial","","j","practice","5","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","21","100605","0.0-30.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","22","101228","0.0-31.0","pca52mry","1920","1080","","","","","","","","","","","623","pph","Practice diganostic trial","","f","practice","6","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","23","101981","0.0-34.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","24","102381","0.0-35.0","pca52mry","1920","1080","","","","","","","","","","","399","pph","Practice diganostic trial","","f","practice","7","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","25","103132","0.0-38.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","26","103511","0.0-39.0","pca52mry","1920","1080","","","","","","","","","","","378","guf","Practice diganostic trial","","j","practice","8","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","27","104263","0.0-42.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","28","104843","0.0-43.0","pca52mry","1920","1080","","","","","","","","","","","580","guf","Practice diganostic trial","","f","practice","9","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","29","105599","0.0-46.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","30","105982","0.0-47.0","pca52mry","1920","1080","","","","","","","","","","","383","pph","Practice diganostic trial","","j","practice","10","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","31","106738","0.0-50.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","32","107216","0.0-51.0","pca52mry","1920","1080","","","","","","","","","","","477","guf","Practice diganostic trial","","f","practice","11","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","33","107968","0.0-54.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","34","108334","0.0-55.0","pca52mry","1920","1080","","","","","","","","","","","366","pph","Practice diganostic trial","","j","practice","12","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","35","109100","0.0-58.0","pca52mry","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","36","109455","0.0-59.0","pca52mry","1920","1080","","","","","","","","","","","354","pph","Practice diganostic trial","","j","practice","13","false","1","RIGHT","j","1","","","","","",""
