"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","4","0.0-0.0","f4qbme8s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","997","0.0-1.0","f4qbme8s","1280","559","true","chrome","121.0.0","false","Windows 10","true","60.86","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","33354","0.0-2.0","f4qbme8s","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4467},{""page_index"":1,""viewing_time"":22867},{""page_index"":2,""viewing_time"":5022}]","32356","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","42997","0.0-3.0","f4qbme8s","1280","720","","","","","","","","","","","8634","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","89544","0.0-4.0","f4qbme8s","1280","720","","","","","","","","","","[{""page_index"":0,""viewing_time"":37461},{""page_index"":1,""viewing_time"":9086}]","46547","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","104792","0.0-5.0","f4qbme8s","1280","720","","","","","","","","","","","13735","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","105552","0.0-6.0","f4qbme8s","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","106721","0.0-7.0","f4qbme8s","1280","720","","","","","","","","","","","1168","ume","Practice diganostic trial","","j","practice","0","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","107476","0.0-10.0","f4qbme8s","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","108287","0.0-11.0","f4qbme8s","1280","720","","","","","","","","","","","810","ume","Practice diganostic trial","","f","practice","1","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","10","109040","0.0-14.0","f4qbme8s","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","109903","0.0-15.0","f4qbme8s","1280","720","","","","","","","","","","","862","ufc","Practice diganostic trial","","f","practice","2","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","12","110657","0.0-18.0","f4qbme8s","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","111387","0.0-19.0","f4qbme8s","1280","720","","","","","","","","","","","730","ufc","Practice diganostic trial","","j","practice","3","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","14","112145","0.0-22.0","f4qbme8s","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","112780","0.0-23.0","f4qbme8s","1280","720","","","","","","","","","","","634","ume","Practice diganostic trial","","f","practice","4","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","16","113541","0.0-26.0","f4qbme8s","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","113967","0.0-27.0","f4qbme8s","1280","720","","","","","","","","","","","425","ume","Practice diganostic trial","","j","practice","5","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","18","114721","0.0-30.0","f4qbme8s","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","115641","0.0-31.0","f4qbme8s","1280","720","","","","","","","","","","","919","ume","Practice diganostic trial","","j","practice","6","false","0","RIGHT","j","1","","","","","",""
