"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","1","0.0-0.0","oxy0vra2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","10604","0.0-1.0","oxy0vra2","1512","750","true","chrome","120.0.0","false","Mac OS","true","120.8","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","53873","0.0-2.0","oxy0vra2","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":22644},{""page_index"":1,""viewing_time"":15923},{""page_index"":2,""viewing_time"":4702}]","43269","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","63149","0.0-3.0","oxy0vra2","1512","945","","","","","","","","","","","8272","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","94687","0.0-4.0","oxy0vra2","1512","945","","","","","","","","","","[{""page_index"":0,""viewing_time"":19337},{""page_index"":1,""viewing_time"":12198}]","31535","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","103644","0.0-5.0","oxy0vra2","1512","945","","","","","","","","","","","7451","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","104398","0.0-6.0","oxy0vra2","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","105014","0.0-7.0","oxy0vra2","1512","945","","","","","","","","","","","613","lct","Practice diganostic trial","","j","practice","0","false","0","LEFT","f","0","","","","","",""
"","call-function","8","105015","0.0-9.0-0.0","oxy0vra2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","105318","0.0-9.0-1.0","oxy0vra2","1512","945","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","10","105319","0.0-9.0-2.0","oxy0vra2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","106073","0.0-10.0","oxy0vra2","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","106745","0.0-11.0","oxy0vra2","1512","945","","","","","","","","","","","671","dnc","Practice diganostic trial","","f","practice","1","false","1","RIGHT","j","0","","","","","",""
"","call-function","13","106746","0.0-13.0-0.0","oxy0vra2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","107049","0.0-13.0-1.0","oxy0vra2","1512","945","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","15","107051","0.0-13.0-2.0","oxy0vra2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","107804","0.0-14.0","oxy0vra2","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","108545","0.0-15.0","oxy0vra2","1512","945","","","","","","","","","","","739","lct","Practice diganostic trial","","j","practice","2","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","18","109298","0.0-18.0","oxy0vra2","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
