"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","7","0.0-0.0","tbo7urpw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1030","0.0-1.0","tbo7urpw","1500","873","true","chrome","120.0.0","false","Windows 10","true","60.44","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","77567","0.0-2.0","tbo7urpw","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":15392},{""page_index"":1,""viewing_time"":11445},{""page_index"":2,""viewing_time"":49690}]","76533","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","80508","0.0-3.0","tbo7urpw","1500","1000","","","","","","","","","","","1928","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","99105","0.0-4.0","tbo7urpw","1500","1000","","","","","","","","","","[{""page_index"":0,""viewing_time"":12708},{""page_index"":1,""viewing_time"":5882}]","18591","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","113347","0.0-5.0","tbo7urpw","1500","1000","","","","","","","","","","","12730","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","114109","0.0-6.0","tbo7urpw","1500","1000","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","114848","0.0-7.0","tbo7urpw","1500","1000","","","","","","","","","","","735","chy","Practice diganostic trial","","f","practice","0","false","0","RIGHT","j","0","","","","","",""
"","call-function","8","114852","0.0-9.0-0.0","tbo7urpw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","115169","0.0-9.0-1.0","tbo7urpw","1500","1000","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","10","115172","0.0-9.0-2.0","tbo7urpw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","115936","0.0-10.0","tbo7urpw","1500","1000","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","116520","0.0-11.0","tbo7urpw","1500","1000","","","","","","","","","","","582","chy","Practice diganostic trial","","j","practice","1","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","13","117275","0.0-14.0","tbo7urpw","1500","1000","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","14","117782","0.0-15.0","tbo7urpw","1500","1000","","","","","","","","","","","503","chy","Practice diganostic trial","","j","practice","2","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","15","118543","0.0-18.0","tbo7urpw","1500","1000","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","16","119142","0.0-19.0","tbo7urpw","1500","1000","","","","","","","","","","","597","mda","Practice diganostic trial","","f","practice","3","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","17","119901","0.0-22.0","tbo7urpw","1500","1000","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","18","120704","0.0-23.0","tbo7urpw","1500","1000","","","","","","","","","","","801","chy","Practice diganostic trial","","j","practice","4","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","19","121464","0.0-26.0","tbo7urpw","1500","1000","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
