"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","12","0.0-0.0","6vufgput","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","18735","0.0-1.0","6vufgput","1536","703","true","chrome","120.0.0","false","Windows 10","true","60.9","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","58936","0.0-2.0","6vufgput","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":24244},{""page_index"":1,""viewing_time"":11690},{""page_index"":2,""viewing_time"":4262}]","40198","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","64161","0.0-3.0","6vufgput","1536","864","","","","","","","","","","","4221","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","86000","0.0-4.0","6vufgput","1536","864","","","","","","","","","","[{""page_index"":0,""viewing_time"":16195},{""page_index"":1,""viewing_time"":5642}]","21837","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","96719","0.0-5.0","6vufgput","1536","864","","","","","","","","","","","9211","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","97472","0.0-6.0","6vufgput","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","98114","0.0-7.0","6vufgput","1536","864","","","","","","","","","","","639","wwt","Practice diganostic trial","","f","practice","0","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","8","98870","0.0-10.0","6vufgput","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","99401","0.0-11.0","6vufgput","1536","864","","","","","","","","","","","527","wwt","Practice diganostic trial","","f","practice","1","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","10","100154","0.0-14.0","6vufgput","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","100530","0.0-15.0","6vufgput","1536","864","","","","","","","","","","","375","wwt","Practice diganostic trial","","j","practice","2","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","12","101283","0.0-18.0","6vufgput","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","101777","0.0-19.0","6vufgput","1536","864","","","","","","","","","","","493","snx","Practice diganostic trial","","j","practice","3","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","14","102529","0.0-22.0","6vufgput","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","102978","0.0-23.0","6vufgput","1536","864","","","","","","","","","","","446","wwt","Practice diganostic trial","","f","practice","4","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","16","103737","0.0-26.0","6vufgput","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","104398","0.0-27.0","6vufgput","1536","864","","","","","","","","","","","660","wwt","Practice diganostic trial","","f","practice","5","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","18","105151","0.0-30.0","6vufgput","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
