"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","foco8xjj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","9543","0.0-1.0","foco8xjj","2560","1271","true","chrome","121.0.0","false","Windows 10","true","60.53","false","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","78827","0.0-2.0","foco8xjj","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6772},{""page_index"":1,""viewing_time"":25908},{""page_index"":2,""viewing_time"":1753},{""page_index"":1,""viewing_time"":918},{""page_index"":0,""viewing_time"":18553},{""page_index"":1,""viewing_time"":13153},{""page_index"":2,""viewing_time"":2226}]","69283","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","81140","0.0-3.0","foco8xjj","2560","1440","","","","","","","","","","","1299","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","107266","0.0-4.0","foco8xjj","2560","1440","","","","","","","","","","[{""page_index"":0,""viewing_time"":20098},{""page_index"":1,""viewing_time"":6027}]","26125","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","114896","0.0-5.0","foco8xjj","2560","1440","","","","","","","","","","","6119","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","115650","0.0-6.0","foco8xjj","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","116391","0.0-7.0","foco8xjj","2560","1440","","","","","","","","","","","741","ofa","Practice diganostic trial","","f","practice","0","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","8","117147","0.0-10.0","foco8xjj","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","118952","0.0-11.0","foco8xjj","2560","1440","","","","","","","","","","","1803","ofa","Practice diganostic trial","","j","practice","1","false","1","RIGHT","j","1","","","","","",""
