"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","7","0.0-0.0","4zye67zy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","536662","0.0-1.0","4zye67zy","1680","933","true","chrome","116.0.0","false","Mac OS","true","60.32","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","587356","0.0-2.0","4zye67zy","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":35736},{""page_index"":1,""viewing_time"":6572},{""page_index"":2,""viewing_time"":8382}]","50691","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","592854","0.0-3.0","4zye67zy","1680","1050","","","","","","","","","","","4492","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","620552","0.0-4.0","4zye67zy","1680","1050","","","","","","","","","","[{""page_index"":0,""viewing_time"":21598},{""page_index"":1,""viewing_time"":6098}]","27697","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","631954","0.0-5.0","4zye67zy","1680","1050","","","","","","","","","","","9887","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","632712","0.0-6.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","635264","0.0-7.0","4zye67zy","1680","1050","","","","","","","","","","","2552","eeu","Practice diganostic trial","","f","practice","0","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","8","636022","0.0-10.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","636729","0.0-11.0","4zye67zy","1680","1050","","","","","","","","","","","706","efg","Practice diganostic trial","","f","practice","1","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","10","637488","0.0-14.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","638202","0.0-15.0","4zye67zy","1680","1050","","","","","","","","","","","713","eeu","Practice diganostic trial","","j","practice","2","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","12","638959","0.0-18.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","639882","0.0-19.0","4zye67zy","1680","1050","","","","","","","","","","","923","efg","Practice diganostic trial","","j","practice","3","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","14","640637","0.0-22.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","641144","0.0-23.0","4zye67zy","1680","1050","","","","","","","","","","","506","efg","Practice diganostic trial","","j","practice","4","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","16","641904","0.0-26.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","642338","0.0-27.0","4zye67zy","1680","1050","","","","","","","","","","","433","efg","Practice diganostic trial","","j","practice","5","false","0","LEFT","f","0","","","","","",""
"","call-function","18","642339","0.0-29.0-0.0","4zye67zy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","642650","0.0-29.0-1.0","4zye67zy","1680","1050","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","20","642651","0.0-29.0-2.0","4zye67zy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","643409","0.0-30.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","22","644292","0.0-31.0","4zye67zy","1680","1050","","","","","","","","","","","882","eeu","Practice diganostic trial","","j","practice","6","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","23","645049","0.0-34.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","24","645601","0.0-35.0","4zye67zy","1680","1050","","","","","","","","","","","551","efg","Practice diganostic trial","","f","practice","7","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","25","646351","0.0-38.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","26","646961","0.0-39.0","4zye67zy","1680","1050","","","","","","","","","","","609","efg","Practice diganostic trial","","j","practice","8","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","27","647721","0.0-42.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","28","648335","0.0-43.0","4zye67zy","1680","1050","","","","","","","","","","","614","efg","Practice diganostic trial","","f","practice","9","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","29","649098","0.0-46.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","30","649927","0.0-47.0","4zye67zy","1680","1050","","","","","","","","","","","828","eeu","Practice diganostic trial","","f","practice","10","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","31","650688","0.0-50.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","32","651280","0.0-51.0","4zye67zy","1680","1050","","","","","","","","","","","591","efg","Practice diganostic trial","","j","practice","11","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","33","652037","0.0-54.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","34","652806","0.0-55.0","4zye67zy","1680","1050","","","","","","","","","","","768","efg","Practice diganostic trial","","f","practice","12","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","35","653567","0.0-58.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","36","654063","0.0-59.0","4zye67zy","1680","1050","","","","","","","","","","","496","efg","Practice diganostic trial","","f","practice","13","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","37","654823","0.0-62.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","38","655172","0.0-63.0","4zye67zy","1680","1050","","","","","","","","","","","349","efg","Practice diganostic trial","","f","practice","14","false","1","RIGHT","j","0","","","","","",""
"","call-function","39","655173","0.0-65.0-0.0","4zye67zy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","655477","0.0-65.0-1.0","4zye67zy","1680","1050","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","41","655477","0.0-65.0-2.0","4zye67zy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","42","656233","0.0-66.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","43","656900","0.0-67.0","4zye67zy","1680","1050","","","","","","","","","","","667","eeu","Practice diganostic trial","","j","practice","15","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","44","657654","0.0-70.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","instructions","45","662627","0.0-71.0","4zye67zy","1680","1050","","","","","","","","","","[{""page_index"":0,""viewing_time"":4972}]","4972","Instructions","Final experiment explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","671052","0.0-72.0","4zye67zy","1680","1050","","","","","","","","","","","6914","If afp press RIGHT | If pmf press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","47","671800","0.0-73.0","4zye67zy","1680","1050","","","","","","","","","","","746","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","48","672559","0.0-76.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","49","676986","0.0-77.0","4zye67zy","1680","1050","","","","","","","","","","","4426","If wwt press RIGHT | If otr press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","50","677573","0.0-78.0","4zye67zy","1680","1050","","","","","","","","","","","586","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","51","678326","0.0-81.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","52","680749","0.0-82.0","4zye67zy","1680","1050","","","","","","","","","","","2422","If guf press RIGHT | If ufc press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","53","681250","0.0-83.0","4zye67zy","1680","1050","","","","","","","","","","","500","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","54","682009","0.0-86.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","55","684410","0.0-87.0","4zye67zy","1680","1050","","","","","","","","","","","2400","If cpt press RIGHT | If zpl press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","56","685007","0.0-88.0","4zye67zy","1680","1050","","","","","","","","","","","597","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","57","685765","0.0-91.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","58","687622","0.0-92.0","4zye67zy","1680","1050","","","","","","","","","","","1857","If ndm press RIGHT | If csp press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","59","688060","0.0-93.0","4zye67zy","1680","1050","","","","","","","","","","","438","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","60","688814","0.0-96.0","4zye67zy","1680","1050","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
