"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","5","0.0-0.0","ntpnaz3y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","998","0.0-1.0","ntpnaz3y","1100","617","true","chrome","120.0.0","false","Chrome OS","true","61.73","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","42200","0.0-2.0","ntpnaz3y","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":18783},{""page_index"":1,""viewing_time"":16704},{""page_index"":2,""viewing_time"":5713}]","41201","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","50482","0.0-3.0","ntpnaz3y","1366","768","","","","","","","","","","","7278","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","84038","0.0-4.0","ntpnaz3y","1366","768","","","","","","","","","","[{""page_index"":0,""viewing_time"":20186},{""page_index"":1,""viewing_time"":13367}]","33553","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","94700","0.0-5.0","ntpnaz3y","1366","768","","","","","","","","","","","9156","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","95454","0.0-6.0","ntpnaz3y","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","96038","0.0-7.0","ntpnaz3y","1366","768","","","","","","","","","","","581","otr","Practice diganostic trial","","f","practice","0","false","0","RIGHT","j","0","","","","","",""
"","call-function","8","96045","0.0-9.0-0.0","ntpnaz3y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","96348","0.0-9.0-1.0","ntpnaz3y","1366","768","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","10","96350","0.0-9.0-2.0","ntpnaz3y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","97103","0.0-10.0","ntpnaz3y","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","97603","0.0-11.0","ntpnaz3y","1366","768","","","","","","","","","","","497","otr","Practice diganostic trial","","j","practice","1","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","13","98355","0.0-14.0","ntpnaz3y","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","14","98817","0.0-15.0","ntpnaz3y","1366","768","","","","","","","","","","","460","otr","Practice diganostic trial","","j","practice","2","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","15","99570","0.0-18.0","ntpnaz3y","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","16","100022","0.0-19.0","ntpnaz3y","1366","768","","","","","","","","","","","448","otr","Practice diganostic trial","","j","practice","3","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","17","100775","0.0-22.0","ntpnaz3y","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","18","101255","0.0-23.0","ntpnaz3y","1366","768","","","","","","","","","","","478","cmj","Practice diganostic trial","","j","practice","4","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","19","102008","0.0-26.0","ntpnaz3y","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","20","102421","0.0-27.0","ntpnaz3y","1366","768","","","","","","","","","","","412","otr","Practice diganostic trial","","j","practice","5","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","21","103174","0.0-30.0","ntpnaz3y","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","22","103533","0.0-31.0","ntpnaz3y","1366","768","","","","","","","","","","","357","cmj","Practice diganostic trial","","j","practice","6","false","1","LEFT","f","0","","","","","",""
"","call-function","23","103534","0.0-33.0-0.0","ntpnaz3y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","103836","0.0-33.0-1.0","ntpnaz3y","1366","768","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","25","103838","0.0-33.0-2.0","ntpnaz3y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
