"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","8","0.0-0.0","4j7k5fa0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1092","0.0-1.0","4j7k5fa0","1366","619","true","chrome","120.0.0","false","Windows 10","true","59.29","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","19315","0.0-2.0","4j7k5fa0","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3636},{""page_index"":1,""viewing_time"":6765},{""page_index"":2,""viewing_time"":7816}]","18218","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","25132","0.0-3.0","4j7k5fa0","1366","768","","","","","","","","","","","4791","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","65412","0.0-4.0","4j7k5fa0","1366","768","","","","","","","","","","[{""page_index"":0,""viewing_time"":35909},{""page_index"":1,""viewing_time"":4366}]","40276","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","72009","0.0-5.0","4j7k5fa0","1366","768","","","","","","","","","","","5078","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","72772","0.0-6.0","4j7k5fa0","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","73560","0.0-7.0","4j7k5fa0","1366","768","","","","","","","","","","","784","jcr","Practice diganostic trial","","j","practice","0","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","74323","0.0-10.0","4j7k5fa0","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","74853","0.0-11.0","4j7k5fa0","1366","768","","","","","","","","","","","527","jil","Practice diganostic trial","","j","practice","1","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","10","75621","0.0-14.0","4j7k5fa0","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","76061","0.0-15.0","4j7k5fa0","1366","768","","","","","","","","","","","438","jil","Practice diganostic trial","","j","practice","2","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","12","76827","0.0-18.0","4j7k5fa0","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","77440","0.0-19.0","4j7k5fa0","1366","768","","","","","","","","","","","610","jcr","Practice diganostic trial","","f","practice","3","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","14","78204","0.0-22.0","4j7k5fa0","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","78697","0.0-23.0","4j7k5fa0","1366","768","","","","","","","","","","","490","jcr","Practice diganostic trial","","f","practice","4","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","16","79455","0.0-26.0","4j7k5fa0","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","79918","0.0-27.0","4j7k5fa0","1366","768","","","","","","","","","","","461","jcr","Practice diganostic trial","","f","practice","5","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","18","80671","0.0-30.0","4j7k5fa0","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
