"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","17","0.0-0.0","bnnt4sn8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1097","0.0-1.0","bnnt4sn8","1280","689","true","chrome","109.0.0","false","Windows 10","true","56.6","false","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","57196","0.0-2.0","bnnt4sn8","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":11290},{""page_index"":1,""viewing_time"":31119},{""page_index"":2,""viewing_time"":13688}]","56097","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","67921","0.0-3.0","bnnt4sn8","1280","800","","","","","","","","","","","9704","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","139577","0.0-4.0","bnnt4sn8","1280","689","","","","","","","","","","[{""page_index"":0,""viewing_time"":60552},{""page_index"":1,""viewing_time"":11104}]","71656","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","161048","0.0-5.0","bnnt4sn8","1280","689","","","","","","","","","","","19944","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","161811","0.0-6.0","bnnt4sn8","1280","689","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","165760","0.0-7.0","bnnt4sn8","1280","689","","","","","","","","","","","3949","chy","Practice diganostic trial","","j","practice","0","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","166517","0.0-10.0","bnnt4sn8","1280","689","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","167991","0.0-11.0","bnnt4sn8","1280","689","","","","","","","","","","","1474","chy","Practice diganostic trial","","j","practice","1","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","10","168753","0.0-14.0","bnnt4sn8","1280","689","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","169784","0.0-15.0","bnnt4sn8","1280","689","","","","","","","","","","","1031","gdn","Practice diganostic trial","","f","practice","2","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","12","170547","0.0-18.0","bnnt4sn8","1280","689","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","171172","0.0-19.0","bnnt4sn8","1280","689","","","","","","","","","","","625","chy","Practice diganostic trial","","j","practice","3","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","14","171936","0.0-22.0","bnnt4sn8","1280","689","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
