"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","4","0.0-0.0","ffscwef9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","999","0.0-1.0","ffscwef9","1366","633","true","chrome","120.0.0","false","Windows 10","true","60.93","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","66483","0.0-2.0","ffscwef9","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":55238},{""page_index"":1,""viewing_time"":8285},{""page_index"":2,""viewing_time"":1960}]","65486","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","70774","0.0-3.0","ffscwef9","1366","768","","","","","","","","","","","3266","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","84348","0.0-4.0","ffscwef9","1366","768","","","","","","","","","","[{""page_index"":0,""viewing_time"":7991},{""page_index"":1,""viewing_time"":5577}]","13570","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","89437","0.0-5.0","ffscwef9","1366","768","","","","","","","","","","","3572","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","90200","0.0-6.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","90807","0.0-7.0","ffscwef9","1366","768","","","","","","","","","","","605","idy","Practice diganostic trial","","j","practice","0","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","91571","0.0-10.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","91938","0.0-11.0","ffscwef9","1366","768","","","","","","","","","","","364","idy","Practice diganostic trial","","j","practice","1","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","10","92694","0.0-14.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","93176","0.0-15.0","ffscwef9","1366","768","","","","","","","","","","","480","ydi","Practice diganostic trial","","j","practice","2","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","12","93943","0.0-18.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","94361","0.0-19.0","ffscwef9","1366","768","","","","","","","","","","","416","idy","Practice diganostic trial","","f","practice","3","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","14","95116","0.0-22.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","95595","0.0-23.0","ffscwef9","1366","768","","","","","","","","","","","476","ydi","Practice diganostic trial","","j","practice","4","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","16","96356","0.0-26.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","96721","0.0-27.0","ffscwef9","1366","768","","","","","","","","","","","362","idy","Practice diganostic trial","","f","practice","5","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","18","97484","0.0-30.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","97837","0.0-31.0","ffscwef9","1366","768","","","","","","","","","","","351","ydi","Practice diganostic trial","","f","practice","6","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","20","98591","0.0-34.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","21","99134","0.0-35.0","ffscwef9","1366","768","","","","","","","","","","","541","ydi","Practice diganostic trial","","j","practice","7","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","22","99890","0.0-38.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","23","100269","0.0-39.0","ffscwef9","1366","768","","","","","","","","","","","377","ydi","Practice diganostic trial","","f","practice","8","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","24","101028","0.0-42.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","25","101442","0.0-43.0","ffscwef9","1366","768","","","","","","","","","","","412","ydi","Practice diganostic trial","","f","practice","9","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","26","102197","0.0-46.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","27","102754","0.0-47.0","ffscwef9","1366","768","","","","","","","","","","","555","ydi","Practice diganostic trial","","j","practice","10","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","28","103508","0.0-50.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","29","103966","0.0-51.0","ffscwef9","1366","768","","","","","","","","","","","456","idy","Practice diganostic trial","","f","practice","11","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","30","104729","0.0-54.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","31","105153","0.0-55.0","ffscwef9","1366","768","","","","","","","","","","","422","idy","Practice diganostic trial","","f","practice","12","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","32","105917","0.0-58.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","33","106337","0.0-59.0","ffscwef9","1366","768","","","","","","","","","","","417","ydi","Practice diganostic trial","","f","practice","13","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","34","107094","0.0-62.0","ffscwef9","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
