"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","1","0.0-0.0","jzn59dl4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","417","0.0-1.0","jzn59dl4","1920","957","true","chrome","122.0.0","false","Windows 10","true","146.13","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","54996","0.0-2.0","jzn59dl4","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":22702},{""page_index"":1,""viewing_time"":29443},{""page_index"":2,""viewing_time"":2432}]","54578","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","61119","0.0-3.0","jzn59dl4","","","","","","","","","","","","","5115","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","90334","0.0-4.0","jzn59dl4","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":17807},{""page_index"":1,""viewing_time"":11406}]","29214","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","108197","0.0-5.0","jzn59dl4","","","","","","","","","","","","","16356","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":true,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2_pilot"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":30,""cue_colour"":""blue"",""cue_shape"":""Triangle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":10,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","108953","0.0-6.0","jzn59dl4","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","109821","0.0-7.0","jzn59dl4","","","","","","","","","","","","","867","pcm","diagnostic practice","","f","","prac","0","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","8","110588","0.0-10.0","jzn59dl4","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","111088","0.0-11.0","jzn59dl4","","","","","","","","","","","","","499","goj","diagnostic practice","","j","","prac","1","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
