"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","2","0.0-0.0","mgbrh8v1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1012","0.0-1.0","mgbrh8v1","1272","606","true","edge-chromium","122.0.0","false","Windows 10","true","60.03","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","56294","0.0-2.0","mgbrh8v1","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":24674},{""page_index"":1,""viewing_time"":21638},{""page_index"":2,""viewing_time"":8970}]","55282","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","64301","0.0-3.0","mgbrh8v1","","","","","","","","","","","","","7004","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","101976","0.0-4.0","mgbrh8v1","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":27279},{""page_index"":1,""viewing_time"":10395}]","37674","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","113818","0.0-5.0","mgbrh8v1","","","","","","","","","","","","","10329","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""yellow"",""cue_shape"":""Triangle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""red"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","114580","0.0-6.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","115216","0.0-7.0","mgbrh8v1","","","","","","","","","","","","","635","dof","Diagnostic practice","","f","","Diagnostic practice","0","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","8","115968","0.0-10.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","116584","0.0-11.0","mgbrh8v1","","","","","","","","","","","","","615","dof","Diagnostic practice","","j","","Diagnostic practice","1","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","10","117346","0.0-14.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","117824","0.0-15.0","mgbrh8v1","","","","","","","","","","","","","477","bsh","Diagnostic practice","","f","","Diagnostic practice","2","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","12","118586","0.0-18.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","119048","0.0-19.0","mgbrh8v1","","","","","","","","","","","","","461","bsh","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","14","119805","0.0-22.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","120312","0.0-23.0","mgbrh8v1","","","","","","","","","","","","","506","dof","Diagnostic practice","","j","","Diagnostic practice","4","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","16","121075","0.0-26.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","121512","0.0-27.0","mgbrh8v1","","","","","","","","","","","","","436","bsh","Diagnostic practice","","j","","Diagnostic practice","5","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","18","122263","0.0-30.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","122696","0.0-31.0","mgbrh8v1","","","","","","","","","","","","","432","bsh","Diagnostic practice","","f","","Diagnostic practice","6","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","20","123453","0.0-34.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","123842","0.0-35.0","mgbrh8v1","","","","","","","","","","","","","388","bsh","Diagnostic practice","","f","","Diagnostic practice","7","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","22","124593","0.0-38.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","125168","0.0-39.0","mgbrh8v1","","","","","","","","","","","","","575","bsh","Diagnostic practice","","j","","Diagnostic practice","8","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","24","125925","0.0-42.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","126408","0.0-43.0","mgbrh8v1","","","","","","","","","","","","","482","bsh","Diagnostic practice","","f","","Diagnostic practice","9","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","26","127163","0.0-46.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","127640","0.0-47.0","mgbrh8v1","","","","","","","","","","","","","477","dof","Diagnostic practice","","f","","Diagnostic practice","10","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","28","128399","0.0-50.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","128992","0.0-51.0","mgbrh8v1","","","","","","","","","","","","","593","dof","Diagnostic practice","","j","","Diagnostic practice","11","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","30","129745","0.0-54.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","130368","0.0-55.0","mgbrh8v1","","","","","","","","","","","","","622","bsh","Diagnostic practice","","j","","Diagnostic practice","12","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","32","131133","0.0-58.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","33","131744","0.0-59.0","mgbrh8v1","","","","","","","","","","","","","611","dof","Diagnostic practice","","j","","Diagnostic practice","13","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","34","132509","0.0-62.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","35","132928","0.0-63.0","mgbrh8v1","","","","","","","","","","","","","419","dof","Diagnostic practice","","j","","Diagnostic practice","14","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","36","133690","0.0-66.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","134065","0.0-67.0","mgbrh8v1","","","","","","","","","","","","","375","bsh","Diagnostic practice","","f","","Diagnostic practice","15","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","38","134829","0.0-70.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","39","146176","0.0-71.0","mgbrh8v1","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":11346}]","11346","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","156857","0.0-72.0","mgbrh8v1","","","","","","","","","","","","","9170","If dpa press RIGHT | If ccx press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","157624","0.0-73.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","42","157992","0.0-74.0","mgbrh8v1","","","","","","","","","","","","","368","ccx","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
"","html-keyboard-response","43","158749","0.0-77.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","44","165568","0.0-78.0","mgbrh8v1","","","","","","","","","","","","","6819","If drk press RIGHT | If pbz press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","45","166323","0.0-79.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","166768","0.0-80.0","mgbrh8v1","","","","","","","","","","","","","445","drk","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","47","167529","0.0-83.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","170625","0.0-84.0","mgbrh8v1","","","","","","","","","","","","","3096","If bms press RIGHT | If uen press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","171380","0.0-85.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","50","171888","0.0-86.0","mgbrh8v1","","","","","","","","","","","","","508","bms","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","51","172645","0.0-89.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","52","174048","0.0-90.0","mgbrh8v1","","","","","","","","","","","","","1403","If hlb press RIGHT | If mik press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","53","174802","0.0-91.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","54","175288","0.0-92.0","mgbrh8v1","","","","","","","","","","","","","486","hlb","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","55","176050","0.0-95.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","56","179544","0.0-96.0","mgbrh8v1","","","","","","","","","","","","","3493","If lpn press RIGHT | If xet press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","57","180298","0.0-97.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","58","180665","0.0-98.0","mgbrh8v1","","","","","","","","","","","","","367","xet","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
"","html-keyboard-response","59","181422","0.0-101.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","60","184472","0.0-102.0","mgbrh8v1","","","","","","","","","","","","","3049","If rif press RIGHT | If mts press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","61","185228","0.0-103.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","62","185648","0.0-104.0","mgbrh8v1","","","","","","","","","","","","","419","mts","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
"","html-keyboard-response","63","186414","0.0-107.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","64","275263","0.0-108.0","mgbrh8v1","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":88848}]","88848","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","65","281080","0.0-109.0","mgbrh8v1","","","","","","","","","","","","","4301","If ori press RIGHT | If cta press LEFT","Cue practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","66","281841","0.0-110.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","67","282312","0.0-111.0","mgbrh8v1","","","","","","","","","","","","","471","ori","Cue practice","","j","","Practice","0","13","false","false","true","both pre & post","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","68","283077","0.0-114.0","mgbrh8v1","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
