"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","1","0.0-0.0","rxmeuvtm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1007","0.0-1.0","rxmeuvtm","2560","1271","true","chrome","123.0.0","false","Windows 10","true","60.05","false","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","491414","0.0-2.0","rxmeuvtm","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2226},{""page_index"":1,""viewing_time"":485633},{""page_index"":2,""viewing_time"":2547}]","490406","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","494574","0.0-3.0","rxmeuvtm","","","","","","","","","","","","","2159","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","508781","0.0-4.0","rxmeuvtm","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":10078},{""page_index"":1,""viewing_time"":4128}]","14206","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","524882","0.0-5.0","rxmeuvtm","","","","","","","","","","","","","14595","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""yellow"",""cue_shape"":""Triangle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""red"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","525635","0.0-6.0","rxmeuvtm","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","526265","0.0-7.0","rxmeuvtm","","","","","","","","","","","","","630","fuc","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","8","527017","0.0-10.0","rxmeuvtm","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","527433","0.0-11.0","rxmeuvtm","","","","","","","","","","","","","416","uen","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","10","528183","0.0-14.0","rxmeuvtm","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","528601","0.0-15.0","rxmeuvtm","","","","","","","","","","","","","417","fuc","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","12","529353","0.0-18.0","rxmeuvtm","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","529849","0.0-19.0","rxmeuvtm","","","","","","","","","","","","","496","uen","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","false","prac equal","LEFT","RIGHT","j","0","false","","","",""
"","call-function","14","529849","0.0-21.0-0.0","rxmeuvtm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
