"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","2","0.0-0.0","p2b9wnx1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","2035","0.0-1.0","p2b9wnx1","1366","917","true","safari","16.5.2","false","Mac OS","true","29.7","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","17222","0.0-2.0","p2b9wnx1","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3307},{""page_index"":1,""viewing_time"":6099},{""page_index"":2,""viewing_time"":5778}]","15185","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","25173","0.0-3.0","p2b9wnx1","","","","","","","","","","","","","6945","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","45865","0.0-4.0","p2b9wnx1","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":14175},{""page_index"":1,""viewing_time"":6515}]","20690","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","53164","0.0-5.0","p2b9wnx1","","","","","","","","","","","","","5793","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""red"",""cue_shape"":""Triangle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""blue"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","53918","0.0-6.0","p2b9wnx1","1366","1024","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","67598","0.0-7.0","p2b9wnx1","","","","","","","","","","","","","13674","gfm","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","false","prac equal","LEFT","LEFT","f","0","true","","","",""
"","call-function","8","67602","0.0-9.0-0.0","p2b9wnx1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","67906","0.0-9.0-1.0","p2b9wnx1","1366","917","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","10","67909","0.0-9.0-2.0","p2b9wnx1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","68663","0.0-10.0","p2b9wnx1","1366","917","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","12","69880","0.0-11.0","p2b9wnx1","","","","","","","","","","","","","1213","yna","Diagnostic practice","","j","","Diagnostic practice","1","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","13","70635","0.0-14.0","p2b9wnx1","1366","917","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","71664","0.0-15.0","p2b9wnx1","","","","","","","","","","","","","1025","yna","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","15","72419","0.0-18.0","p2b9wnx1","1366","917","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","73064","0.0-19.0","p2b9wnx1","","","","","","","","","","","","","642","gfm","Diagnostic practice","","j","","Diagnostic practice","3","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","17","73819","0.0-22.0","p2b9wnx1","1366","917","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","74495","0.0-23.0","p2b9wnx1","","","","","","","","","","","","","674","gfm","Diagnostic practice","","f","","Diagnostic practice","4","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","19","75249","0.0-26.0","p2b9wnx1","1366","917","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","75806","0.0-27.0","p2b9wnx1","","","","","","","","","","","","","554","gfm","Diagnostic practice","","j","","Diagnostic practice","5","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","21","76561","0.0-30.0","p2b9wnx1","1366","917","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","77169","0.0-31.0","p2b9wnx1","","","","","","","","","","","","","604","gfm","Diagnostic practice","","f","","Diagnostic practice","6","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","23","77923","0.0-34.0","p2b9wnx1","1366","917","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
