"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","3","0.0-0.0","mggwh2ro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1009","0.0-1.0","mggwh2ro","1205","541","true","chrome","122.0.0","false","Android OS","true","60.11","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","28983","0.0-2.0","mggwh2ro","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":13696},{""page_index"":1,""viewing_time"":11632},{""page_index"":2,""viewing_time"":2643}]","27971","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","32895","0.0-3.0","mggwh2ro","","","","","","","","","","","","","2903","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","58332","0.0-4.0","mggwh2ro","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":18669},{""page_index"":1,""viewing_time"":6763}]","25433","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","73451","0.0-5.0","mggwh2ro","","","","","","","","","","","","","13612","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""yellow"",""cue_shape"":""Square"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""red"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","74206","0.0-6.0","mggwh2ro","1205","753","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","75710","0.0-7.0","mggwh2ro","","","","","","","","","","","","","1502","drk","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","8","76464","0.0-10.0","mggwh2ro","1205","753","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","77107","0.0-11.0","mggwh2ro","","","","","","","","","","","","","641","gfm","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
