"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","5","0.0-0.0","stu9gaoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","985","0.0-1.0","stu9gaoa","1536","703","true","chrome","123.0.0","false","Windows 10","true","61.62","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","50670","0.0-2.0","stu9gaoa","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":18316},{""page_index"":1,""viewing_time"":22200},{""page_index"":2,""viewing_time"":9168}]","49684","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","2221666","0.0-3.0","stu9gaoa","","","","","","","","","","","","","2169939","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","2251856","0.0-4.0","stu9gaoa","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":20690},{""page_index"":1,""viewing_time"":9497}]","30187","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","2261263","0.0-5.0","stu9gaoa","","","","","","","","","","","","","7899","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""red"",""cue_shape"":""Triangle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","2262033","0.0-6.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","2262743","0.0-7.0","stu9gaoa","","","","","","","","","","","","","709","jft","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","8","2263511","0.0-10.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","2263991","0.0-11.0","stu9gaoa","","","","","","","","","","","","","479","bwe","Diagnostic practice","","j","","Diagnostic practice","1","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","10","2264750","0.0-14.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","2265183","0.0-15.0","stu9gaoa","","","","","","","","","","","","","433","jft","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","12","2265950","0.0-18.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","2266415","0.0-19.0","stu9gaoa","","","","","","","","","","","","","464","bwe","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","14","2267182","0.0-22.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","2267935","0.0-23.0","stu9gaoa","","","","","","","","","","","","","752","bwe","Diagnostic practice","","j","","Diagnostic practice","4","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","16","2268700","0.0-26.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","2269183","0.0-27.0","stu9gaoa","","","","","","","","","","","","","483","jft","Diagnostic practice","","f","","Diagnostic practice","5","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","18","2269948","0.0-30.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","2270462","0.0-31.0","stu9gaoa","","","","","","","","","","","","","513","jft","Diagnostic practice","","f","","Diagnostic practice","6","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","20","2271231","0.0-34.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","2271735","0.0-35.0","stu9gaoa","","","","","","","","","","","","","503","bwe","Diagnostic practice","","f","","Diagnostic practice","7","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","22","2272493","0.0-38.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","2272959","0.0-39.0","stu9gaoa","","","","","","","","","","","","","466","jft","Diagnostic practice","","j","","Diagnostic practice","8","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","24","2273724","0.0-42.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","2274271","0.0-43.0","stu9gaoa","","","","","","","","","","","","","547","jft","Diagnostic practice","","j","","Diagnostic practice","9","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","26","2275030","0.0-46.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","2275704","0.0-47.0","stu9gaoa","","","","","","","","","","","","","674","bwe","Diagnostic practice","","j","","Diagnostic practice","10","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","28","2276470","0.0-50.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","2276968","0.0-51.0","stu9gaoa","","","","","","","","","","","","","497","jft","Diagnostic practice","","f","","Diagnostic practice","11","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","30","2277728","0.0-54.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","2278255","0.0-55.0","stu9gaoa","","","","","","","","","","","","","526","bwe","Diagnostic practice","","f","","Diagnostic practice","12","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","32","2279021","0.0-58.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","33","2279826","0.0-59.0","stu9gaoa","","","","","","","","","","","","","809","bwe","Diagnostic practice","","j","","Diagnostic practice","13","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","34","2280583","0.0-62.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","35","2281051","0.0-63.0","stu9gaoa","","","","","","","","","","","","","467","jft","Diagnostic practice","","f","","Diagnostic practice","14","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","36","2281807","0.0-66.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","2282307","0.0-67.0","stu9gaoa","","","","","","","","","","","","","500","bwe","Diagnostic practice","","f","","Diagnostic practice","15","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","38","2283065","0.0-70.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","39","2291106","0.0-71.0","stu9gaoa","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8040}]","8041","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","2298581","0.0-72.0","stu9gaoa","","","","","","","","","","","","","5969","If geb press LEFT | If cnl press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","2299334","0.0-73.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","42","2300011","0.0-74.0","stu9gaoa","","","","","","","","","","","","","676","cnl","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","43","2300773","0.0-77.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","44","2305202","0.0-78.0","stu9gaoa","","","","","","","","","","","","","4428","If hlb press LEFT | If ecl press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","45","2305963","0.0-79.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","2306642","0.0-80.0","stu9gaoa","","","","","","","","","","","","","679","hlb","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
"","html-keyboard-response","47","2307399","0.0-83.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","2310082","0.0-84.0","stu9gaoa","","","","","","","","","","","","","2683","If ivr press LEFT | If cui press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","2310835","0.0-85.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","50","2311570","0.0-86.0","stu9gaoa","","","","","","","","","","","","","734","cui","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","51","2312340","0.0-89.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","52","2313978","0.0-90.0","stu9gaoa","","","","","","","","","","","","","1637","If hfs press LEFT | If swr press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","53","2314737","0.0-91.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","54","2315826","0.0-92.0","stu9gaoa","","","","","","","","","","","","","1088","hfs","Inducer practice","","j","","Practice","","","","true","","","","","f","0","","true","LEFT","",""
"","call-function","55","2315827","0.0-94.0-0.0","stu9gaoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","56","2316134","0.0-94.0-1.0","stu9gaoa","1536","864","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","57","2316134","0.0-94.0-2.0","stu9gaoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","58","2316898","0.0-95.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","59","2318026","0.0-96.0","stu9gaoa","","","","","","","","","","","","","1127","If faq press LEFT | If zpl press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","60","2318787","0.0-97.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","61","2319346","0.0-98.0","stu9gaoa","","","","","","","","","","","","","559","zpl","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","62","2320101","0.0-101.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","63","2321370","0.0-102.0","stu9gaoa","","","","","","","","","","","","","1269","If ume press LEFT | If ila press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","64","2322139","0.0-103.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","65","2322634","0.0-104.0","stu9gaoa","","","","","","","","","","","","","495","ume","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
"","html-keyboard-response","66","2323400","0.0-107.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","67","2352813","0.0-108.0","stu9gaoa","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":29402}]","29402","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","68","2357029","0.0-109.0","stu9gaoa","","","","","","","","","","","","","2714","If gso press LEFT | If bsh press RIGHT","Cue practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","69","2357793","0.0-110.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","70","2358317","0.0-111.0","stu9gaoa","","","","","","","","","","","","","523","bsh","Cue practice","","j","","Practice","0","13","false","false","true","both pre & post","RIGHT","LEFT","f","0","false","","","",""
"","call-function","71","2358317","0.0-113.0-0.0","stu9gaoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","72","2358623","0.0-113.0-1.0","stu9gaoa","1536","864","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","73","2358624","0.0-113.0-2.0","stu9gaoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","74","2359378","0.0-114.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","75","2360357","0.0-115.0","stu9gaoa","","","","","","","","","","","","","978","gso","Cue practice","","f","","Practice","1","13","false","false","true","both pre & post","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","76","2361123","0.0-118.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","77","2361805","0.0-119.0","stu9gaoa","","","","","","","","","","","","","681","gso","Cue practice","","f","","Practice","2","13","false","false","true","both pre & post","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","78","2362556","0.0-122.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","79","2363133","0.0-123.0","stu9gaoa","","","","","","","","","","","","","576","gso","Cue practice","","f","","Practice","3","13","false","false","true","both pre & post","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","80","2363892","0.0-126.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","81","2364757","0.0-127.0","stu9gaoa","","","","","","","","","","","","","864","bsh","Cue practice","","j","","Practice","4","13","false","false","false","both pre & post","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","82","2365523","0.0-130.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","83","2366221","0.0-131.0","stu9gaoa","","","","","","","","","","","","","698","bsh","Cue practice","","j","","Practice","5","13","false","false","false","both pre & post","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","84","2366989","0.0-134.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","85","2367718","0.0-135.0","stu9gaoa","","","","","","","","","","","","","728","bsh","Cue practice","","j","","Practice","6","13","false","false","false","both pre & post","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","86","2368476","0.0-138.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","87","2369845","0.0-139.0","stu9gaoa","","","","","","","","","","","","","1368","gso","Cue practice","","j","","Practice","7","13","false","false","false","both pre & post","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","88","2370611","0.0-142.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","89","2371541","0.0-143.0","stu9gaoa","","","","","","","","","","","","","929","gso","Cue practice","","j","","Practice","8","13","false","false","false","both pre & post","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","90","2372304","0.0-146.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","91","2373046","0.0-147.0","stu9gaoa","","","","","","","","","","","","","741","gso","Cue practice","","f","","Practice","9","13","false","false","true","both pre & post","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","92","2373811","0.0-150.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","93","2375070","0.0-151.0","stu9gaoa","","","","","","","","","","","","","1258","gso","Cue practice","","f","","Practice","10","13","false","false","true","both pre & post","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","94","2375822","0.0-154.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","95","2376349","0.0-155.0","stu9gaoa","","","","","","","","","","","","","526","gso","Cue practice","","f","","Practice","11","13","false","false","true","both pre & post","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","96","2377112","0.0-158.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","97","2377805","0.0-159.0","stu9gaoa","","","","","","","","","","","","","692","gso","Cue practice","","j","","Practice","12","13","false","false","false","both pre & post","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","98","2378568","0.0-162.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","99","2379843","0.0-163.0","stu9gaoa","","","","","","","","","","","","","null","Cue","Cue","","null","","Practice","12","","","false","","","","","","","","","","",""
"","html-keyboard-response","100","2380595","0.0-164.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","101","2381773","0.0-165.0","stu9gaoa","","","","","","","","","","","","","1178","gso","Cue practice","","f","","Practice","13","13","true","false","true","both pre & post","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","102","2382539","0.0-168.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","103","2383302","0.0-169.0","stu9gaoa","","","","","","","","","","","","","763","gso","Cue practice","","j","","Practice","14","13","true","false","false","both pre & post","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","104","2384064","0.0-172.0","stu9gaoa","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
