"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","2","0.0-0.0","5bdwq9g0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1008","0.0-1.0","5bdwq9g0","1678","917","true","chrome","123.0.0","false","Windows 10","true","60.09","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","74619","0.0-2.0","5bdwq9g0","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":33305},{""page_index"":1,""viewing_time"":30800},{""page_index"":2,""viewing_time"":9504}]","73609","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","84198","0.0-3.0","5bdwq9g0","","","","","","","","","","","","","8575","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","123330","0.0-4.0","5bdwq9g0","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":26730},{""page_index"":1,""viewing_time"":12400}]","39130","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","144843","0.0-5.0","5bdwq9g0","","","","","","","","","","","","","null","If italic press LEFT | If upright press RIGHT","Diagnostic instructions","","null","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""red"",""cue_shape"":""Circle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""blue"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","145610","0.0-6.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","147926","0.0-7.0","5bdwq9g0","","","","","","","","","","","","","2314","ndm","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","8","148688","0.0-10.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","150116","0.0-11.0","5bdwq9g0","","","","","","","","","","","","","1426","ndm","Diagnostic practice","","j","","Diagnostic practice","1","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","10","150867","0.0-14.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","152228","0.0-15.0","5bdwq9g0","","","","","","","","","","","","","1359","ndm","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","12","152982","0.0-18.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","154068","0.0-19.0","5bdwq9g0","","","","","","","","","","","","","1085","rbc","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","14","154824","0.0-22.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","155748","0.0-23.0","5bdwq9g0","","","","","","","","","","","","","923","rbc","Diagnostic practice","","f","","Diagnostic practice","4","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","16","156510","0.0-26.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","157348","0.0-27.0","5bdwq9g0","","","","","","","","","","","","","837","rbc","Diagnostic practice","","f","","Diagnostic practice","5","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","18","158108","0.0-30.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","158901","0.0-31.0","5bdwq9g0","","","","","","","","","","","","","792","ndm","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","20","159663","0.0-34.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","160468","0.0-35.0","5bdwq9g0","","","","","","","","","","","","","804","ndm","Diagnostic practice","","j","","Diagnostic practice","7","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","22","161229","0.0-38.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","161957","0.0-39.0","5bdwq9g0","","","","","","","","","","","","","726","ndm","Diagnostic practice","","j","","Diagnostic practice","8","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","24","162716","0.0-42.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","163796","0.0-43.0","5bdwq9g0","","","","","","","","","","","","","1078","rbc","Diagnostic practice","","j","","Diagnostic practice","9","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","26","164562","0.0-46.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","165460","0.0-47.0","5bdwq9g0","","","","","","","","","","","","","897","ndm","Diagnostic practice","","f","","Diagnostic practice","10","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","28","166222","0.0-50.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","166901","0.0-51.0","5bdwq9g0","","","","","","","","","","","","","678","ndm","Diagnostic practice","","f","","Diagnostic practice","11","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","30","167653","0.0-54.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","168420","0.0-55.0","5bdwq9g0","","","","","","","","","","","","","766","rbc","Diagnostic practice","","f","","Diagnostic practice","12","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","32","169172","0.0-58.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","33","169957","0.0-59.0","5bdwq9g0","","","","","","","","","","","","","784","rbc","Diagnostic practice","","f","","Diagnostic practice","13","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","34","170710","0.0-62.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","35","171492","0.0-63.0","5bdwq9g0","","","","","","","","","","","","","781","ndm","Diagnostic practice","","j","","Diagnostic practice","14","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","36","172244","0.0-66.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","173237","0.0-67.0","5bdwq9g0","","","","","","","","","","","","","991","ndm","Diagnostic practice","","f","","Diagnostic practice","15","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","38","173994","0.0-70.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","39","186010","0.0-71.0","5bdwq9g0","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":12014}]","12015","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","203957","0.0-72.0","5bdwq9g0","","","","","","","","","","","","","16429","If afp press LEFT | If dof press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","204712","0.0-73.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","42","205684","0.0-74.0","5bdwq9g0","","","","","","","","","","","","","971","dof","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","43","206445","0.0-77.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","44","211813","0.0-78.0","5bdwq9g0","","","","","","","","","","","","","5367","If yoy press LEFT | If idy press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","45","212565","0.0-79.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","213765","0.0-80.0","5bdwq9g0","","","","","","","","","","","","","1198","idy","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","47","214516","0.0-83.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","221253","0.0-84.0","5bdwq9g0","","","","","","","","","","","","","6735","If imm press LEFT | If jil press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","222011","0.0-85.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","50","222884","0.0-86.0","5bdwq9g0","","","","","","","","","","","","","872","imm","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
"","html-keyboard-response","51","223636","0.0-89.0","5bdwq9g0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
