"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","3","0.0-0.0","jpla3shf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","2164","0.0-1.0","jpla3shf","2048","1072","true","safari","16.6.0","false","Mac OS","true","62.24","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","18115","0.0-2.0","jpla3shf","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2207},{""page_index"":1,""viewing_time"":9907},{""page_index"":2,""viewing_time"":3837}]","15951","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","24069","0.0-3.0","jpla3shf","","","","","","","","","","","","","4918","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","45819","0.0-4.0","jpla3shf","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":13610},{""page_index"":1,""viewing_time"":8140}]","21750","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","53328","0.0-5.0","jpla3shf","","","","","","","","","","","","","6007","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""yellow"",""cue_shape"":""Triangle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""red"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","54080","0.0-6.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","54948","0.0-7.0","jpla3shf","","","","","","","","","","","","","867","yna","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","8","55700","0.0-10.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","56230","0.0-11.0","jpla3shf","","","","","","","","","","","","","529","cpt","Diagnostic practice","","j","","Diagnostic practice","1","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","10","56982","0.0-14.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","57490","0.0-15.0","jpla3shf","","","","","","","","","","","","","507","cpt","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","12","58242","0.0-18.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","58862","0.0-19.0","jpla3shf","","","","","","","","","","","","","619","yna","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","14","59614","0.0-22.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","60303","0.0-23.0","jpla3shf","","","","","","","","","","","","","688","cpt","Diagnostic practice","","f","","Diagnostic practice","4","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","16","61055","0.0-26.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","61495","0.0-27.0","jpla3shf","","","","","","","","","","","","","440","yna","Diagnostic practice","","f","","Diagnostic practice","5","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","18","62247","0.0-30.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","62778","0.0-31.0","jpla3shf","","","","","","","","","","","","","530","cpt","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","20","63530","0.0-34.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
