"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","2","0.0-0.0","bglkg64e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1032","0.0-1.0","bglkg64e","1536","730","true","chrome","123.0.0","false","Windows 10","true","58.95","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","177650","0.0-2.0","bglkg64e","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":39684},{""page_index"":1,""viewing_time"":128148},{""page_index"":2,""viewing_time"":8784}]","176618","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","184741","0.0-3.0","bglkg64e","","","","","","","","","","","","","6080","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","223946","0.0-4.0","bglkg64e","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":22335},{""page_index"":1,""viewing_time"":16867}]","39203","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","237842","0.0-5.0","bglkg64e","","","","","","","","","","","","","12387","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""red"",""cue_shape"":""Square"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""blue"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","238600","0.0-6.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","239591","0.0-7.0","bglkg64e","","","","","","","","","","","","","989","pmf","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","8","240347","0.0-10.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","240956","0.0-11.0","bglkg64e","","","","","","","","","","","","","608","rbc","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","10","241717","0.0-14.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","242334","0.0-15.0","bglkg64e","","","","","","","","","","","","","615","rbc","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","12","243086","0.0-18.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","243523","0.0-19.0","bglkg64e","","","","","","","","","","","","","436","rbc","Diagnostic practice","","j","","Diagnostic practice","3","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","14","244289","0.0-22.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","244805","0.0-23.0","bglkg64e","","","","","","","","","","","","","515","pmf","Diagnostic practice","","j","","Diagnostic practice","4","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","16","245558","0.0-26.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","245982","0.0-27.0","bglkg64e","","","","","","","","","","","","","423","rbc","Diagnostic practice","","f","","Diagnostic practice","5","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","18","246734","0.0-30.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","247162","0.0-31.0","bglkg64e","","","","","","","","","","","","","426","rbc","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","20","247921","0.0-34.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","248385","0.0-35.0","bglkg64e","","","","","","","","","","","","","464","pmf","Diagnostic practice","","f","","Diagnostic practice","7","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","22","249137","0.0-38.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","249560","0.0-39.0","bglkg64e","","","","","","","","","","","","","421","pmf","Diagnostic practice","","f","","Diagnostic practice","8","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","24","250314","0.0-42.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","250731","0.0-43.0","bglkg64e","","","","","","","","","","","","","417","pmf","Diagnostic practice","","f","","Diagnostic practice","9","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","26","251485","0.0-46.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","252096","0.0-47.0","bglkg64e","","","","","","","","","","","","","610","pmf","Diagnostic practice","","f","","Diagnostic practice","10","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","28","252856","0.0-50.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","253303","0.0-51.0","bglkg64e","","","","","","","","","","","","","446","pmf","Diagnostic practice","","f","","Diagnostic practice","11","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","30","254060","0.0-54.0","bglkg64e","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","254591","0.0-55.0","bglkg64e","","","","","","","","","","","","","530","rbc","Diagnostic practice","","f","","Diagnostic practice","12","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
