"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","2","0.0-0.0","32c05fch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","4562","0.0-1.0","32c05fch","1280","559","true","chrome","123.0.0","false","Windows 10","true","13.17","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","67807","0.0-2.0","32c05fch","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":20484},{""page_index"":1,""viewing_time"":34168},{""page_index"":2,""viewing_time"":8592}]","63245","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","72970","0.0-3.0","32c05fch","","","","","","","","","","","","","4151","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","103824","0.0-4.0","32c05fch","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":16754},{""page_index"":1,""viewing_time"":14096}]","30851","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","115906","0.0-5.0","32c05fch","","","","","","","","","","","","","10565","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""blue"",""cue_shape"":""Square"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","116666","0.0-6.0","32c05fch","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","117346","0.0-7.0","32c05fch","","","","","","","","","","","","","678","dnc","Diagnostic practice","","f","","Diagnostic practice","0","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","8","118104","0.0-10.0","32c05fch","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","118687","0.0-11.0","32c05fch","","","","","","","","","","","","","581","vsc","Diagnostic practice","","j","","Diagnostic practice","1","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","10","119446","0.0-14.0","32c05fch","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","121545","0.0-15.0","32c05fch","","","","","","","","","","","","","2099","vsc","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","12","122304","0.0-18.0","32c05fch","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","123019","0.0-19.0","32c05fch","","","","","","","","","","","","","714","dnc","Diagnostic practice","","j","","Diagnostic practice","3","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","14","123784","0.0-22.0","32c05fch","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","124279","0.0-23.0","32c05fch","","","","","","","","","","","","","493","vsc","Diagnostic practice","","j","","Diagnostic practice","4","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","16","125035","0.0-26.0","32c05fch","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","125692","0.0-27.0","32c05fch","","","","","","","","","","","","","656","dnc","Diagnostic practice","","j","","Diagnostic practice","5","-84","true","false","true","prac equal","RIGHT","LEFT","f","0","false","","","",""
"","call-function","18","125692","0.0-29.0-0.0","32c05fch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","126002","0.0-29.0-1.0","32c05fch","1280","720","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","20","126003","0.0-29.0-2.0","32c05fch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","126756","0.0-30.0","32c05fch","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","127155","0.0-31.0","32c05fch","","","","","","","","","","","","","399","dnc","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","true","prac equal","RIGHT","LEFT","f","0","false","","","",""
"","call-function","23","127156","0.0-33.0-0.0","32c05fch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
