"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","1","0.0-0.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","986","0.0-1.0","wzvrqbzm","1440","652","true","chrome","123.0.0","false","Mac OS","true","61.22","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","10074","0.0-2.0","wzvrqbzm","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1839},{""page_index"":1,""viewing_time"":5835},{""page_index"":2,""viewing_time"":1412}]","9086","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","12258","0.0-3.0","wzvrqbzm","","","","","","","","","","","","","1181","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","36315","0.0-4.0","wzvrqbzm","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":20998},{""page_index"":1,""viewing_time"":3057}]","24055","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","44894","0.0-5.0","wzvrqbzm","","","","","","","","","","","","","7075","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""blue"",""cue_shape"":""Square"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","45647","0.0-6.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","47415","0.0-7.0","wzvrqbzm","","","","","","","","","","","","","1766","psl","Diagnostic practice","","f","","Diagnostic practice","0","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","8","48169","0.0-10.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","48796","0.0-11.0","wzvrqbzm","","","","","","","","","","","","","626","lff","Diagnostic practice","","j","","Diagnostic practice","1","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","10","49549","0.0-14.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","50160","0.0-15.0","wzvrqbzm","","","","","","","","","","","","","610","lff","Diagnostic practice","","f","","Diagnostic practice","2","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","12","50913","0.0-18.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","51388","0.0-19.0","wzvrqbzm","","","","","","","","","","","","","474","lff","Diagnostic practice","","j","","Diagnostic practice","3","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","14","52140","0.0-22.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","52610","0.0-23.0","wzvrqbzm","","","","","","","","","","","","","468","psl","Diagnostic practice","","f","","Diagnostic practice","4","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","16","53363","0.0-26.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","54062","0.0-27.0","wzvrqbzm","","","","","","","","","","","","","698","psl","Diagnostic practice","","f","","Diagnostic practice","5","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","18","54815","0.0-30.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","55318","0.0-31.0","wzvrqbzm","","","","","","","","","","","","","502","lff","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","20","56070","0.0-34.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","56615","0.0-35.0","wzvrqbzm","","","","","","","","","","","","","543","psl","Diagnostic practice","","j","","Diagnostic practice","7","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","22","57368","0.0-38.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","57888","0.0-39.0","wzvrqbzm","","","","","","","","","","","","","519","psl","Diagnostic practice","","j","","Diagnostic practice","8","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","24","58641","0.0-42.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","59163","0.0-43.0","wzvrqbzm","","","","","","","","","","","","","521","lff","Diagnostic practice","","j","","Diagnostic practice","9","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","26","59916","0.0-46.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","60348","0.0-47.0","wzvrqbzm","","","","","","","","","","","","","431","lff","Diagnostic practice","","j","","Diagnostic practice","10","-84","true","false","false","prac equal","LEFT","LEFT","f","0","true","","","",""
"","call-function","28","60349","0.0-49.0-0.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","60650","0.0-49.0-1.0","wzvrqbzm","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","30","60651","0.0-49.0-2.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","61403","0.0-50.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","32","62012","0.0-51.0","wzvrqbzm","","","","","","","","","","","","","607","lff","Diagnostic practice","","j","","Diagnostic practice","11","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","33","62765","0.0-54.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","63352","0.0-55.0","wzvrqbzm","","","","","","","","","","","","","586","psl","Diagnostic practice","","f","","Diagnostic practice","12","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","35","64105","0.0-58.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","64708","0.0-59.0","wzvrqbzm","","","","","","","","","","","","","602","lff","Diagnostic practice","","j","","Diagnostic practice","13","-84","true","false","false","prac equal","LEFT","LEFT","f","0","true","","","",""
"","call-function","37","64708","0.0-61.0-0.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","65011","0.0-61.0-1.0","wzvrqbzm","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","39","65012","0.0-61.0-2.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","65764","0.0-62.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","66410","0.0-63.0","wzvrqbzm","","","","","","","","","","","","","644","psl","Diagnostic practice","","j","","Diagnostic practice","14","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","42","67163","0.0-66.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","43","67695","0.0-67.0","wzvrqbzm","","","","","","","","","","","","","531","psl","Diagnostic practice","","f","","Diagnostic practice","15","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","44","68448","0.0-70.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","45","73749","0.0-71.0","wzvrqbzm","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5299}]","5300","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","81733","0.0-72.0","wzvrqbzm","","","","","","","","","","","","","6481","If hhd press RIGHT | If byy press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","47","82487","0.0-73.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","82948","0.0-74.0","wzvrqbzm","","","","","","","","","","","","","460","hhd","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","49","83701","0.0-77.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","50","86663","0.0-78.0","wzvrqbzm","","","","","","","","","","","","","2961","If cmj press RIGHT | If vrm press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","51","87416","0.0-79.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","52","87949","0.0-80.0","wzvrqbzm","","","","","","","","","","","","","531","vrm","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
"","html-keyboard-response","53","88701","0.0-83.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","54","90883","0.0-84.0","wzvrqbzm","","","","","","","","","","","","","2180","If drk press RIGHT | If cnl press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","55","91635","0.0-85.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","56","92068","0.0-86.0","wzvrqbzm","","","","","","","","","","","","","431","drk","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","57","92820","0.0-89.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","58","94088","0.0-90.0","wzvrqbzm","","","","","","","","","","","","","1266","If feg press RIGHT | If nga press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","59","94839","0.0-91.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","60","95371","0.0-92.0","wzvrqbzm","","","","","","","","","","","","","531","feg","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","61","96124","0.0-95.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","62","98235","0.0-96.0","wzvrqbzm","","","","","","","","","","","","","2109","If ydi press RIGHT | If guf press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","63","98987","0.0-97.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","64","99405","0.0-98.0","wzvrqbzm","","","","","","","","","","","","","417","guf","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
"","html-keyboard-response","65","100158","0.0-101.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","66","101103","0.0-102.0","wzvrqbzm","","","","","","","","","","","","","943","If crf press RIGHT | If dlg press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","67","101856","0.0-103.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","68","102448","0.0-104.0","wzvrqbzm","","","","","","","","","","","","","591","dlg","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
"","html-keyboard-response","69","103200","0.0-107.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","70","111019","0.0-108.0","wzvrqbzm","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7817}]","7817","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","71","115113","0.0-109.0","wzvrqbzm","","","","","","","","","","","","","2591","If afp press RIGHT | If xet press LEFT","Cue practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","72","115866","0.0-110.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","73","116392","0.0-111.0","wzvrqbzm","","","","","","","","","","","","","525","xet","Cue practice","","f","","Practice","0","13","false","false","false","both pre & post","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","74","117144","0.0-114.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","75","118027","0.0-115.0","wzvrqbzm","","","","","","","","","","","","","882","afp","Cue practice","","j","","Practice","1","13","false","false","true","both pre & post","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","76","118780","0.0-118.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","77","119529","0.0-119.0","wzvrqbzm","","","","","","","","","","","","","748","afp","Cue practice","","j","","Practice","2","13","false","false","false","both pre & post","RIGHT","LEFT","f","0","false","","","",""
"","call-function","78","119530","0.0-121.0-0.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","79","119832","0.0-121.0-1.0","wzvrqbzm","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","80","119833","0.0-121.0-2.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","81","120586","0.0-122.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","82","121909","0.0-123.0","wzvrqbzm","","","","","","","","","","","","","1323","xet","Cue practice","","f","","Practice","3","13","false","false","false","both pre & post","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","83","122662","0.0-126.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","84","123457","0.0-127.0","wzvrqbzm","","","","","","","","","","","","","794","afp","Cue practice","","j","","Practice","4","13","false","false","false","both pre & post","RIGHT","LEFT","f","0","false","","","",""
"","call-function","85","123457","0.0-129.0-0.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","86","123760","0.0-129.0-1.0","wzvrqbzm","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","87","123761","0.0-129.0-2.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","88","124513","0.0-130.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","89","125347","0.0-131.0","wzvrqbzm","","","","","","","","","","","","","833","xet","Cue practice","","f","","Practice","5","13","false","false","true","both pre & post","LEFT","RIGHT","j","0","false","","","",""
"","call-function","90","125348","0.0-133.0-0.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","91","125651","0.0-133.0-1.0","wzvrqbzm","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","92","125651","0.0-133.0-2.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","93","126404","0.0-134.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","94","127505","0.0-135.0","wzvrqbzm","","","","","","","","","","","","","1100","xet","Cue practice","","j","","Practice","6","13","false","false","true","both pre & post","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","95","128258","0.0-138.0","wzvrqbzm","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","96","129743","0.0-139.0","wzvrqbzm","","","","","","","","","","","","","1484","afp","Cue practice","","j","","Practice","7","13","false","false","false","both pre & post","RIGHT","LEFT","f","0","false","","","",""
"","call-function","97","129744","0.0-141.0-0.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","98","130046","0.0-141.0-1.0","wzvrqbzm","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","99","130047","0.0-141.0-2.0","wzvrqbzm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
