"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","8","0.0-0.0","fja98dr0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1010","0.0-1.0","fja98dr0","1920","937","true","firefox","124.0.0","false","Windows 10","true","60.3","true","false","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","43530","0.0-2.0","fja98dr0","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":18787},{""page_index"":1,""viewing_time"":18221},{""page_index"":2,""viewing_time"":5511}]","42519","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","48090","0.0-3.0","fja98dr0","","","","","","","","","","","","","3551","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","78251","0.0-4.0","fja98dr0","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":21880},{""page_index"":1,""viewing_time"":8280}]","30160","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","93856","0.0-5.0","fja98dr0","","","","","","","","","","","","","14088","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""blue"",""cue_shape"":""Circle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","94616","0.0-6.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","95800","0.0-7.0","fja98dr0","","","","","","","","","","","","","1183","jlm","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","8","96552","0.0-10.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","97231","0.0-11.0","fja98dr0","","","","","","","","","","","","","679","bgi","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","10","97993","0.0-14.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","98623","0.0-15.0","fja98dr0","","","","","","","","","","","","","629","jlm","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","12","99384","0.0-18.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","100065","0.0-19.0","fja98dr0","","","","","","","","","","","","","679","jlm","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","14","100827","0.0-22.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","101519","0.0-23.0","fja98dr0","","","","","","","","","","","","","692","bgi","Diagnostic practice","","f","","Diagnostic practice","4","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","16","102284","0.0-26.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","102928","0.0-27.0","fja98dr0","","","","","","","","","","","","","643","bgi","Diagnostic practice","","j","","Diagnostic practice","5","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","18","103693","0.0-30.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","104399","0.0-31.0","fja98dr0","","","","","","","","","","","","","706","jlm","Diagnostic practice","","f","","Diagnostic practice","6","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","20","105164","0.0-34.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","105823","0.0-35.0","fja98dr0","","","","","","","","","","","","","659","jlm","Diagnostic practice","","f","","Diagnostic practice","7","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","22","106581","0.0-38.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","107239","0.0-39.0","fja98dr0","","","","","","","","","","","","","658","jlm","Diagnostic practice","","j","","Diagnostic practice","8","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","24","108001","0.0-42.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","108591","0.0-43.0","fja98dr0","","","","","","","","","","","","","590","bgi","Diagnostic practice","","f","","Diagnostic practice","9","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","26","109355","0.0-46.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","109959","0.0-47.0","fja98dr0","","","","","","","","","","","","","603","jlm","Diagnostic practice","","j","","Diagnostic practice","10","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","28","110717","0.0-50.0","fja98dr0","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","111368","0.0-51.0","fja98dr0","","","","","","","","","","","","","652","jlm","Diagnostic practice","","f","","Diagnostic practice","11","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
