"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","3","0.0-0.0","8cau8syb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1013","0.0-1.0","8cau8syb","1015","586","true","chrome","122.0.0","false","Mac OS","true","60.05","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","40327","0.0-2.0","8cau8syb","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":20681},{""page_index"":1,""viewing_time"":16130},{""page_index"":2,""viewing_time"":2502}]","39313","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","45449","0.0-3.0","8cau8syb","","","","","","","","","","","","","4118","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","69484","0.0-4.0","8cau8syb","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":11490},{""page_index"":1,""viewing_time"":12544}]","24034","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","78712","0.0-5.0","8cau8syb","","","","","","","","","","","","","7724","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""blue"",""cue_shape"":""Circle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","79465","0.0-6.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","80348","0.0-7.0","8cau8syb","","","","","","","","","","","","","881","bms","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","8","81101","0.0-10.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","81679","0.0-11.0","8cau8syb","","","","","","","","","","","","","576","bms","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","10","82431","0.0-14.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","83227","0.0-15.0","8cau8syb","","","","","","","","","","","","","796","bms","Diagnostic practice","","f","","Diagnostic practice","2","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","12","83980","0.0-18.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","84554","0.0-19.0","8cau8syb","","","","","","","","","","","","","574","bms","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","14","85307","0.0-22.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","85933","0.0-23.0","8cau8syb","","","","","","","","","","","","","625","ydi","Diagnostic practice","","f","","Diagnostic practice","4","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","16","86686","0.0-26.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","87301","0.0-27.0","8cau8syb","","","","","","","","","","","","","614","ydi","Diagnostic practice","","j","","Diagnostic practice","5","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","18","88053","0.0-30.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","88584","0.0-31.0","8cau8syb","","","","","","","","","","","","","530","ydi","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","20","89336","0.0-34.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","90003","0.0-35.0","8cau8syb","","","","","","","","","","","","","666","bms","Diagnostic practice","","f","","Diagnostic practice","7","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","22","90755","0.0-38.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","91465","0.0-39.0","8cau8syb","","","","","","","","","","","","","710","bms","Diagnostic practice","","j","","Diagnostic practice","8","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","24","92217","0.0-42.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","93020","0.0-43.0","8cau8syb","","","","","","","","","","","","","802","ydi","Diagnostic practice","","j","","Diagnostic practice","9","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","26","93777","0.0-46.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","94488","0.0-47.0","8cau8syb","","","","","","","","","","","","","710","bms","Diagnostic practice","","j","","Diagnostic practice","10","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","28","95239","0.0-50.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","95681","0.0-51.0","8cau8syb","","","","","","","","","","","","","441","bms","Diagnostic practice","","j","","Diagnostic practice","11","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","30","96433","0.0-54.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","96859","0.0-55.0","8cau8syb","","","","","","","","","","","","","425","ydi","Diagnostic practice","","f","","Diagnostic practice","12","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","32","97611","0.0-58.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","33","98153","0.0-59.0","8cau8syb","","","","","","","","","","","","","541","bms","Diagnostic practice","","f","","Diagnostic practice","13","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","34","98906","0.0-62.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","35","99376","0.0-63.0","8cau8syb","","","","","","","","","","","","","469","bms","Diagnostic practice","","f","","Diagnostic practice","14","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","36","100128","0.0-66.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","100725","0.0-67.0","8cau8syb","","","","","","","","","","","","","596","bms","Diagnostic practice","","j","","Diagnostic practice","15","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","38","101478","0.0-70.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","39","111486","0.0-71.0","8cau8syb","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":10006}]","10007","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","121014","0.0-72.0","8cau8syb","","","","","","","","","","","","","8026","If glp press LEFT | If aor press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","121767","0.0-73.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","42","122461","0.0-74.0","8cau8syb","","","","","","","","","","","","","693","aor","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","43","123214","0.0-77.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","44","129182","0.0-78.0","8cau8syb","","","","","","","","","","","","","5967","If wab press LEFT | If drk press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","45","129934","0.0-79.0","8cau8syb","1920","1200","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","130416","0.0-80.0","8cau8syb","","","","","","","","","","","","","480","wab","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
