"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","2","0.0-0.0","3psambgt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1000","0.0-1.0","3psambgt","635","686","true","edge-chromium","122.0.0","false","Windows 10","true","60.3","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","17382","0.0-2.0","3psambgt","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3097},{""page_index"":1,""viewing_time"":11646},{""page_index"":2,""viewing_time"":1638}]","16381","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","27986","0.0-3.0","3psambgt","","","","","","","","","","","","","9603","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","45276","0.0-4.0","3psambgt","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":10915},{""page_index"":1,""viewing_time"":6374}]","17289","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","51661","0.0-5.0","3psambgt","","","","","","","","","","","","","4879","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""yellow"",""cue_shape"":""Square"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""blue"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","52427","0.0-6.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","52947","0.0-7.0","3psambgt","","","","","","","","","","","","","520","dlg","Diagnostic practice","","f","","Diagnostic practice","0","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","8","53712","0.0-10.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","54148","0.0-11.0","3psambgt","","","","","","","","","","","","","435","vpu","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","10","54899","0.0-14.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","55316","0.0-15.0","3psambgt","","","","","","","","","","","","","416","vpu","Diagnostic practice","","f","","Diagnostic practice","2","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","12","56078","0.0-18.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","56412","0.0-19.0","3psambgt","","","","","","","","","","","","","333","vpu","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","14","57162","0.0-22.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","57492","0.0-23.0","3psambgt","","","","","","","","","","","","","329","vpu","Diagnostic practice","","f","","Diagnostic practice","4","-84","true","false","true","prac equal","LEFT","RIGHT","j","0","false","","","",""
"","call-function","16","57492","0.0-25.0-0.0","3psambgt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","57798","0.0-25.0-1.0","3psambgt","973","1128","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","18","57799","0.0-25.0-2.0","3psambgt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","58562","0.0-26.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","58939","0.0-27.0","3psambgt","","","","","","","","","","","","","377","dlg","Diagnostic practice","","f","","Diagnostic practice","5","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","21","59694","0.0-30.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","60220","0.0-31.0","3psambgt","","","","","","","","","","","","","525","dlg","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","23","60971","0.0-34.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","61315","0.0-35.0","3psambgt","","","","","","","","","","","","","344","dlg","Diagnostic practice","","j","","Diagnostic practice","7","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","25","62080","0.0-38.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","62748","0.0-39.0","3psambgt","","","","","","","","","","","","","668","dlg","Diagnostic practice","","f","","Diagnostic practice","8","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","27","63510","0.0-42.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","28","64083","0.0-43.0","3psambgt","","","","","","","","","","","","","573","vpu","Diagnostic practice","","j","","Diagnostic practice","9","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","29","64848","0.0-46.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","30","65451","0.0-47.0","3psambgt","","","","","","","","","","","","","603","vpu","Diagnostic practice","","f","","Diagnostic practice","10","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","31","66204","0.0-50.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","32","67459","0.0-51.0","3psambgt","","","","","","","","","","","","","1255","dlg","Diagnostic practice","","j","","Diagnostic practice","11","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","33","68212","0.0-54.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","69011","0.0-55.0","3psambgt","","","","","","","","","","","","","798","dlg","Diagnostic practice","","j","","Diagnostic practice","12","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","35","69766","0.0-58.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","70707","0.0-59.0","3psambgt","","","","","","","","","","","","","940","vpu","Diagnostic practice","","j","","Diagnostic practice","13","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","37","71458","0.0-62.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","71851","0.0-63.0","3psambgt","","","","","","","","","","","","","392","vpu","Diagnostic practice","","f","","Diagnostic practice","14","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","39","72609","0.0-66.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","73060","0.0-67.0","3psambgt","","","","","","","","","","","","","451","vpu","Diagnostic practice","","j","","Diagnostic practice","15","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","41","73814","0.0-70.0","3psambgt","973","1128","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","42","78651","0.0-71.0","3psambgt","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4836}]","4836","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
