subject	blocknr	blocktype	preDT	trialtype	congruency	response	correct	RT	P_correct	Pre_Post	mini_block	first_trial
1	9	0	4	0	1	49	1	759	1	0	0	0
1	9	0	4	0	0	47	1	480	1	0	0	0
1	9	0	4	0	1	47	1	483	1	0	0	0
1	9	0	4	0	0	47	0	344	1	0	0	0
1	9	0	4	1	666	47	1	368	1	0	0	0
1	9	0	4	0	0	47	1	368	1	1	1	0
1	9	0	4	0	1	47	1	526	1	1	1	1
1	9	0	4	0	0	47	0	364	1	1	1	1
1	9	0	4	0	0	47	1	510	1	1	1	1
1	9	0	4	0	1	47	0	430	1	1	2	1
1	9	0	4	0	0	47	1	356	1	1	2	1
1	9	0	4	0	1	49	1	360	1	1	2	1
1	9	0	4	0	1	47	1	369	1	1	2	1
1	9	0	4	0	1	49	1	535	1	1	3	1
1	9	0	4	0	0	49	1	446	1	1	3	1
1	9	0	4	0	0	49	1	409	1	1	3	1
1	9	0	4	0	1	47	1	375	1	1	3	1
1	10	1	0	2	666	0	0	1250	0	1	1	0
1	10	1	0	0	1	47	1	808	0	1	1	0
1	10	1	0	0	0	47	0	428	0	1	1	1
1	10	1	0	0	0	47	1	621	0	1	1	1
1	10	1	0	0	0	49	1	675	0	1	1	1
1	10	1	0	0	1	49	1	480	0	1	2	1
1	10	1	0	0	0	49	0	322	0	1	2	1
1	10	1	0	0	0	49	1	508	0	1	2	1
1	10	1	0	0	1	49	1	463	0	1	2	1
1	10	1	0	0	1	49	1	361	0	1	3	1
1	10	1	0	0	0	47	1	558	0	1	3	1
1	10	1	0	0	1	47	1	543	0	1	3	1
1	10	1	0	0	1	47	1	483	0	1	3	1
1	11	2	0	0	0	47	1	581	1	1	1	0
1	11	2	0	0	1	47	1	462	1	1	1	1
1	11	2	0	0	0	47	1	347	1	1	1	1
1	11	2	0	0	1	49	1	378	1	1	1	1
1	11	2	0	0	0	47	1	438	1	1	2	1
1	11	2	0	0	1	47	1	369	1	1	2	1
1	11	2	0	0	0	49	1	325	1	1	2	1
1	11	2	0	0	1	49	1	437	1	1	2	1
1	11	2	0	0	1	47	1	344	1	1	3	1
1	11	2	0	0	1	47	0	630	1	1	3	1
1	11	2	0	0	0	47	0	485	1	1	3	1
1	11	2	0	0	0	49	1	583	1	1	3	1
1	11	2	0	1	666	47	1	636	1	1	3	1
1	12	1	4	0	0	47	1	438	1	0	0	0
1	12	1	4	0	0	49	1	602	1	0	0	0
1	12	1	4	0	1	47	1	484	1	0	0	0
1	12	1	4	0	1	49	1	472	1	0	0	0
1	12	1	4	2	666	57	1	727	1	0	0	0
1	12	1	4	0	0	49	1	667	1	1	1	0
1	12	1	4	0	0	47	1	1054	1	1	1	1
1	12	1	4	0	0	49	1	653	1	1	1	1
1	12	1	4	0	0	47	1	781	1	1	1	1
1	12	1	4	0	0	47	1	708	1	1	2	1
1	12	1	4	0	1	49	1	591	1	1	2	1
1	12	1	4	0	1	47	0	694	1	1	2	1
1	12	1	4	0	1	47	1	513	1	1	2	1
1	12	1	4	0	1	47	1	519	1	1	3	1
1	12	1	4	0	1	47	0	387	1	1	3	1
1	12	1	4	0	0	49	1	798	1	1	3	1
1	12	1	4	0	1	47	1	560	1	1	3	1
1	13	0	0	1	666	47	1	561	1	1	1	0
1	13	0	0	0	1	47	1	607	1	1	1	0
1	13	0	0	0	0	49	1	411	1	1	1	1
1	13	0	0	0	0	49	1	489	1	1	1	1
1	13	0	0	0	1	49	1	452	1	1	1	1
1	13	0	0	0	1	49	1	654	1	1	2	1
1	13	0	0	0	0	47	1	399	1	1	2	1
1	13	0	0	0	0	49	1	693	1	1	2	1
1	13	0	0	0	1	47	1	439	1	1	2	1
1	13	0	0	0	0	47	1	743	1	1	3	1
1	13	0	0	0	1	49	1	433	1	1	3	1
1	13	0	0	0	0	47	1	511	1	1	3	1
1	13	0	0	0	1	47	1	595	1	1	3	1
