subject	blocknum	blocktype	preDT	trialnum	trialtype	congruency	response	correct	latency	stimulusnumber1	Mcorrect	RelTrial	RunType
1	12	2	0	4	0	0	47	1	1027	1	1	1	0
1	12	2	0	5	0	0	47	1	605	1	1	1	0
1	12	2	0	6	0	0	49	1	576	1	1	1	0
1	12	2	0	7	0	0	47	1	740	1	1	1	0
1	12	2	0	8	0	1	49	1	677	1	1	1	0
1	12	2	0	9	0	1	49	1	494	1	1	1	0
1	12	2	0	10	0	1	47	1	614	1	1	1	0
1	12	2	0	11	0	1	47	1	772	1	1	1	0
1	12	2	0	12	0	0	49	1	613	1	1	1	0
1	12	2	0	13	0	1	47	1	1107	1	1	1	0
1	12	2	0	14	0	1	49	1	666	1	1	1	0
1	12	2	0	15	0	0	49	1	780	1	1	1	0
1	12	2	0	16	1	666	47	1	789	1	1	0	0
1	18	2	0	4	0	1	47	1	936	1	1	1	0
1	18	2	0	5	0	0	49	1	718	1	1	1	0
1	18	2	0	6	0	0	47	1	1115	1	1	1	0
1	18	2	0	7	0	1	49	1	506	1	1	1	0
1	18	2	0	8	0	1	49	1	549	1	1	1	0
1	18	2	0	9	0	0	49	0	420	1	1	1	0
1	18	2	0	11	0	1	47	1	596	1	1	1	0
1	18	2	0	12	0	1	47	1	652	1	1	1	0
1	18	2	0	13	0	1	49	1	411	1	1	1	0
1	18	2	0	14	0	0	49	1	753	1	1	1	0
1	18	2	0	15	0	0	47	1	444	1	1	1	0
1	18	2	0	16	0	0	49	1	811	1	1	1	0
1	18	2	0	17	1	666	47	1	869	1	1	0	0
1	25	2	0	4	0	0	49	1	701	1	1	1	0
1	25	2	0	5	0	1	49	1	988	1	1	1	0
1	25	2	0	6	0	0	47	1	598	1	1	1	0
1	25	2	0	7	0	0	47	1	789	1	1	1	0
1	25	2	0	8	0	1	47	1	1330	1	1	1	0
1	25	2	0	9	0	1	49	1	820	1	1	1	0
1	25	2	0	10	0	1	49	1	718	1	1	1	0
1	25	2	0	11	0	1	47	1	652	1	1	1	0
1	25	2	0	12	0	1	47	1	571	1	1	1	0
1	25	2	0	13	0	0	47	1	748	1	1	1	0
1	25	2	0	14	0	0	49	1	544	1	1	1	0
1	25	2	0	15	0	0	49	1	595	1	1	1	0
1	25	2	0	16	1	666	49	1	1267	1	1	0	0
1	34	2	0	4	0	1	47	1	778	1	1	1	0
1	34	2	0	5	0	0	49	1	828	1	1	1	0
1	34	2	0	6	0	1	49	1	609	1	1	1	0
1	34	2	0	7	0	0	49	1	580	1	1	1	0
1	34	2	0	8	0	0	47	1	657	1	1	1	0
1	34	2	0	9	0	0	49	1	527	1	1	1	0
1	34	2	0	10	0	1	49	1	552	1	1	1	0
1	34	2	0	11	0	0	47	1	631	1	1	1	0
1	34	2	0	12	0	1	49	1	759	1	1	1	0
1	34	2	0	13	0	1	47	1	686	1	1	1	0
1	34	2	0	14	0	1	47	1	610	1	1	1	0
1	34	2	0	15	0	0	47	1	629	1	1	1	0
1	34	2	0	16	1	666	47	1	1326	1	1	0	0
1	40	2	0	4	0	1	47	1	740	1	1	1	0
1	40	2	0	5	0	1	49	1	501	1	1	1	0
1	40	2	0	6	0	1	49	1	552	1	1	1	0
1	40	2	0	7	0	0	49	1	534	1	1	1	0
1	40	2	0	8	0	1	47	1	786	1	1	1	0
1	40	2	0	9	0	0	47	1	831	1	1	1	0
1	40	2	0	10	0	0	49	1	500	1	1	1	0
1	40	2	0	11	0	1	49	1	599	1	1	1	0
1	40	2	0	12	0	0	47	1	455	1	1	1	0
1	40	2	0	13	0	0	49	1	557	1	1	1	0
1	40	2	0	14	0	1	47	1	596	1	1	1	0
1	40	2	0	15	0	0	47	1	732	1	1	1	0
1	40	2	0	16	1	666	49	1	708	1	1	0	0
1	47	2	0	4	0	0	47	1	852	1	1	1	0
1	47	2	0	5	0	1	49	1	567	1	1	1	0
1	47	2	0	6	0	0	47	1	593	1	1	1	0
1	47	2	0	7	0	1	49	0	1417	1	1	1	0
1	47	2	0	9	0	1	49	1	772	1	1	1	0
1	47	2	0	10	0	1	47	1	798	1	1	1	0
1	47	2	0	11	0	1	47	1	837	1	1	1	0
1	47	2	0	12	0	0	49	1	694	1	1	1	0
1	47	2	0	13	0	0	47	1	557	1	1	1	0
1	47	2	0	14	0	1	49	1	476	1	1	1	0
1	47	2	0	15	0	0	49	1	481	1	1	1	0
1	47	2	0	16	0	0	49	1	502	1	1	1	0
1	47	2	0	17	1	666	47	1	1040	1	1	0	0
1	56	2	0	4	0	1	49	1	517	1	1	1	0
1	56	2	0	5	0	1	49	1	667	1	1	1	0
1	56	2	0	6	0	0	47	1	469	1	1	1	0
1	56	2	0	7	0	0	49	1	623	1	1	1	0
1	56	2	0	8	0	1	47	1	644	1	1	1	0
1	56	2	0	9	0	1	47	1	608	1	1	1	0
1	56	2	0	10	0	0	49	1	539	1	1	1	0
1	56	2	0	11	0	1	49	1	590	1	1	1	0
1	56	2	0	12	0	0	47	1	638	1	1	1	0
