"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","5","0.0-0.0","jjrpqbuy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1007","0.0-1.0","jjrpqbuy","1440","716","true","chrome","116.0.0","false","Mac OS","true","60.75","true","true","","","","","","","","","","","","","","","","","",""
"","instructions","2","107015","0.0-2.0","jjrpqbuy","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":65537},{""page_index"":1,""viewing_time"":13243},{""page_index"":2,""viewing_time"":27230}]","106013","The experiment and consent","The experiment and consent","","","","","","","","","","","","","",""
"","fullscreen","3","166378","0.0-3.0","jjrpqbuy","1440","900","","","","","","","","","","","58346","","Full screen","true","","","","","","","","","","","","",""
"","instructions","4","279384","0.0-4.0","jjrpqbuy","1440","900","","","","","","","","","","[{""page_index"":0,""viewing_time"":106226},{""page_index"":1,""viewing_time"":6774}]","113001","Instructions","Basic overview explanation","","","","","","","","","","","","","",""
"","html-keyboard-response","5","284341","0.0-5.0","jjrpqbuy","1440","900","","","","","","","","","","","3444","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","",""
"","html-keyboard-response","6","285100","0.0-6.0","jjrpqbuy","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","7","285948","0.0-7.0","jjrpqbuy","1440","900","","","","","","","","","","","839","v&t","Practice diganostic trial","","j","practice","0","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","8","286707","0.0-10.0","jjrpqbuy","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","9","287275","0.0-11.0","jjrpqbuy","1440","900","","","","","","","","","","","567","v&t","Practice diganostic trial","","j","practice","1","false","false","RIGHT","j","1","","","","",""
