"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1014","0.0-1.0","2u5ya5yy","1350","957","true","chrome","120.0.0","false","Windows 10","true","59.95","true","true","","","","","","","","","","","","","","","","","",""
"","instructions","2","98858","0.0-2.0","2u5ya5yy","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":50394},{""page_index"":1,""viewing_time"":15912},{""page_index"":2,""viewing_time"":31536}]","97842","The experiment and consent","The experiment and consent","","","","","","","","","","","","","",""
"","fullscreen","3","110318","0.0-3.0","2u5ya5yy","2560","1440","","","","","","","","","","","10454","","Full screen","true","","","","","","","","","","","","",""
"","instructions","4","166226","0.0-4.0","2u5ya5yy","2560","1440","","","","","","","","","","[{""page_index"":0,""viewing_time"":49594},{""page_index"":1,""viewing_time"":6312}]","55906","Instructions","Basic overview explanation","","","","","","","","","","","","","",""
"","html-keyboard-response","5","180380","0.0-5.0","2u5ya5yy","2560","1440","","","","","","","","","","","12644","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","",""
"","html-keyboard-response","6","181137","0.0-6.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","7","183148","0.0-7.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","t&g","Practice diganostic trial","","null","practice","0","false","true","RIGHT","j","NaN","","","","",""
"","call-function","8","183150","0.0-8.0-0.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","183451","0.0-8.0-1.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","Slow","Feedback","","null","","","","","","","","","","","",""
"","call-function","10","183452","0.0-8.0-2.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","184207","0.0-10.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","12","184722","0.0-11.0","2u5ya5yy","2560","1440","","","","","","","","","","","515","t&g","Practice diganostic trial","","j","practice","1","false","false","LEFT","f","0","","","","",""
"","call-function","13","184723","0.0-13.0-0.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","185035","0.0-13.0-1.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","15","185035","0.0-13.0-2.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","185791","0.0-14.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","17","186682","0.0-15.0","2u5ya5yy","2560","1440","","","","","","","","","","","890","t&g","Practice diganostic trial","","j","practice","2","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","18","187441","0.0-18.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","19","188058","0.0-19.0","2u5ya5yy","2560","1440","","","","","","","","","","","617","t&g","Practice diganostic trial","","j","practice","3","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","20","188825","0.0-22.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","21","189378","0.0-23.0","2u5ya5yy","2560","1440","","","","","","","","","","","553","t&g","Practice diganostic trial","","j","practice","4","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","22","190144","0.0-26.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","23","190763","0.0-27.0","2u5ya5yy","2560","1440","","","","","","","","","","","618","enw","Practice diganostic trial","","j","practice","5","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","24","191516","0.0-30.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","25","192130","0.0-31.0","2u5ya5yy","2560","1440","","","","","","","","","","","614","t&g","Practice diganostic trial","","j","practice","6","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","26","192882","0.0-34.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","27","193282","0.0-35.0","2u5ya5yy","2560","1440","","","","","","","","","","","399","t&g","Practice diganostic trial","","j","practice","7","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","28","194048","0.0-38.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","29","194410","0.0-39.0","2u5ya5yy","2560","1440","","","","","","","","","","","361","t&g","Practice diganostic trial","","j","practice","8","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","30","195165","0.0-42.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","31","195627","0.0-43.0","2u5ya5yy","2560","1440","","","","","","","","","","","460","enw","Practice diganostic trial","","j","practice","9","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","32","196384","0.0-46.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","33","196722","0.0-47.0","2u5ya5yy","2560","1440","","","","","","","","","","","338","enw","Practice diganostic trial","","j","practice","10","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","34","197483","0.0-50.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
