"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","page_index1","page_index2","page_index3","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","1","0.0-0.0","2j3ecyxr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","250","0.0-1.0","2j3ecyxr","1699","945","true","edge-chromium","120.0.0","false","Windows 10","true","243.01","true","true","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","76959","0.0-2.0","2j3ecyxr","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":37292},{""page_index"":1,""viewing_time"":31767},{""page_index"":2,""viewing_time"":7648}]","76708","The experiment and consent","The experiment and consent","37292","31767","7648","","","","","","","","","","","","","",""
"","fullscreen","3","90572","0.0-3.0","2j3ecyxr","1707","1067","","","","","","","","","","","12598","","Full screen","","","","true","","","","","","","","","","","","",""
"","instructions","4","565238","0.0-4.0","2j3ecyxr","1707","1067","","","","","","","","","","[{""page_index"":0,""viewing_time"":191869},{""page_index"":1,""viewing_time"":109518},{""page_index"":2,""viewing_time"":173276}]","474663","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","578066","0.0-5.0","2j3ecyxr","1707","1067","","","","","","","","","","","11322","If italic press LEFT | If upright press RIGHT","Diagnostic instructions","","","",""," ","","","","","","","","","","","",""
"","html-keyboard-response","6","578823","0.0-6.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","7","579992","0.0-7.0","2j3ecyxr","1707","1067","","","","","","","","","","","1168","s.r","practice","","","","","f","0","0","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","8","580753","0.0-10.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","9","581716","0.0-11.0","2j3ecyxr","1707","1067","","","","","","","","","","","962","ff4","practice","","","","","f","0","1","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","10","582475","0.0-14.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","11","583172","0.0-15.0","2j3ecyxr","1707","1067","","","","","","","","","","","696","s.r","practice","","","","","f","0","2","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","12","583924","0.0-18.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","13","584410","0.0-19.0","2j3ecyxr","1707","1067","","","","","","","","","","","485","s.r","practice","","","","","f","0","3","false","false","RIGHT","j","0","","","","",""
