"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","page_index1","page_index2","page_index3","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","1","0.0-0.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","508","0.0-1.0","2wv3v4as","1440","765","true","chrome","120.0.0","false","Windows 10","true","120","true","true","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","77386","0.0-2.0","2wv3v4as","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":11633},{""page_index"":1,""viewing_time"":26528},{""page_index"":2,""viewing_time"":38715}]","76877","The experiment and consent","The experiment and consent","11633","26528","38715","","","","","","","","","","","","","",""
"","fullscreen","3","104445","0.0-3.0","2wv3v4as","1440","900","","","","","","","","","","","26042","","Full screen","","","","true","","","","","","","","","","","","",""
"","instructions","4","403675","0.0-4.0","2wv3v4as","1440","900","","","","","","","","","","[{""page_index"":0,""viewing_time"":13510},{""page_index"":1,""viewing_time"":148973},{""page_index"":2,""viewing_time"":136744}]","299227","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","415721","0.0-5.0","2wv3v4as","1440","900","","","","","","","","","","","10539","If italic press RIGHT | If upright press LEFT","Diagnostic instructions","","","",""," ","","","","","","","","","","","",""
"","html-keyboard-response","6","416473","0.0-6.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","7","417632","0.0-7.0","2wv3v4as","1440","900","","","","","","","","","","","1159","yrl","practice","","","","","f","0","0","false","false","LEFT","f","1","","","","",""
"","html-keyboard-response","8","418399","0.0-10.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","9","419040","0.0-11.0","2wv3v4as","1440","900","","","","","","","","","","","641","sht","practice","","","","","j","0","1","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","10","419799","0.0-14.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","11","420296","0.0-15.0","2wv3v4as","1440","900","","","","","","","","","","","497","yrl","practice","","","","","f","0","2","false","false","LEFT","f","1","","","","",""
"","html-keyboard-response","12","421056","0.0-18.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","13","421628","0.0-19.0","2wv3v4as","1440","900","","","","","","","","","","","571","yrl","practice","","","","","f","0","3","false","false","LEFT","f","1","","","","",""
"","html-keyboard-response","14","422381","0.0-22.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","15","422908","0.0-23.0","2wv3v4as","1440","900","","","","","","","","","","","526","sht","practice","","","","","j","0","4","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","16","423672","0.0-26.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","17","424060","0.0-27.0","2wv3v4as","1440","900","","","","","","","","","","","388","yrl","practice","","","","","f","0","5","false","false","LEFT","f","1","","","","",""
"","html-keyboard-response","18","424823","0.0-30.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","19","425324","0.0-31.0","2wv3v4as","1440","900","","","","","","","","","","","500","yrl","practice","","","","","f","0","6","false","false","LEFT","f","1","","","","",""
"","html-keyboard-response","20","426082","0.0-34.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","21","426517","0.0-35.0","2wv3v4as","1440","900","","","","","","","","","","","435","yrl","practice","","","","","f","0","7","false","true","RIGHT","j","0","","","","",""
"","call-function","22","426518","0.0-37.0-0.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","426832","0.0-37.0-1.0","2wv3v4as","1440","900","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","24","426833","0.0-37.0-2.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","427590","0.0-38.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","26","428078","0.0-39.0","2wv3v4as","1440","900","","","","","","","","","","","488","yrl","practice","","","","","f","0","8","false","false","LEFT","f","1","","","","",""
"","html-keyboard-response","27","428832","0.0-42.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","28","429217","0.0-43.0","2wv3v4as","1440","900","","","","","","","","","","","385","yrl","practice","","","","","f","0","9","false","false","LEFT","f","1","","","","",""
"","html-keyboard-response","29","429973","0.0-46.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","30","434629","0.0-47.0","2wv3v4as","1440","900","","","","","","","","","","","4654","If yrl press LEFT | If sht press RIGHT","Inducer instructions","","","",""," ","1","","","","","","","","","","",""
"","html-keyboard-response","31","435382","0.0-50.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","32","436268","0.0-51.0","2wv3v4as","1440","900","","","","","","","","","","","886","sht","practice","","","","","j","0","0","false","false","LEFT","f","0","","","","",""
"","call-function","33","436269","0.0-53.0-0.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","436582","0.0-53.0-1.0","2wv3v4as","1440","900","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","35","436582","0.0-53.0-2.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","437349","0.0-54.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","37","438337","0.0-55.0","2wv3v4as","1440","900","","","","","","","","","","","987","yrl","practice","","","","","j","0","1","false","false","LEFT","f","0","","","","",""
"","call-function","38","438338","0.0-57.0-0.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","39","438646","0.0-57.0-1.0","2wv3v4as","1440","900","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","40","438647","0.0-57.0-2.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","439399","0.0-58.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","42","440334","0.0-59.0","2wv3v4as","1440","900","","","","","","","","","","","933","sht","practice","","","","","j","0","2","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","43","441091","0.0-62.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","44","441902","0.0-63.0","2wv3v4as","1440","900","","","","","","","","","","","810","yrl","practice","","","","","j","0","3","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","45","442666","0.0-66.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","46","443298","0.0-67.0","2wv3v4as","1440","900","","","","","","","","","","","631","sht","practice","","","","","f","0","4","false","false","LEFT","f","1","","","","",""
"","html-keyboard-response","47","444057","0.0-70.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","48","444677","0.0-71.0","2wv3v4as","1440","900","","","","","","","","","","","619","sht","practice","","","","","j","0","5","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","49","445432","0.0-74.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","50","446205","0.0-75.0","2wv3v4as","1440","900","","","","","","","","","","","772","yrl","practice","","","","","j","0","6","false","true","RIGHT","j","1","","","","",""
"","html-keyboard-response","51","446958","0.0-78.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","52","447522","0.0-79.0","2wv3v4as","1440","900","","","","","","","","","","","563","yrl","practice","","","","","f","0","7","false","false","LEFT","f","1","","","","",""
"","html-keyboard-response","53","448274","0.0-82.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","54","449139","0.0-83.0","2wv3v4as","1440","900","","","","","","","","","","","863","yrl","practice","","","","","f","0","8","false","false","LEFT","f","1","","","","",""
"","html-keyboard-response","55","449891","0.0-86.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","56","450474","0.0-87.0","2wv3v4as","1440","900","","","","","","","","","","","582","yrl","practice","","","","","f","0","9","false","false","LEFT","f","1","","","","",""
"","html-keyboard-response","57","451241","0.0-90.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","58","452329","0.0-91.0","2wv3v4as","1440","900","","","","","","","","","","","1087","sht","Inducer trial","","","","","f","practice","","true","","","j","0","RIGHT","","","",""
"","call-function","59","452330","0.0-93.0-0.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","60","452641","0.0-93.0-1.0","2wv3v4as","1440","900","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","61","452642","0.0-93.0-2.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","62","458720","0.0-94.0","2wv3v4as","1440","900","","","","","","","","","","","6077","End practice","End of practice","","","",""," ","","","","","","","","","","","",""
"","html-keyboard-response","63","459472","0.0-95.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","64","464728","0.0-96.0","2wv3v4as","1440","900","","","","","","","","","","","5255","If kil press LEFT | If dv6 press RIGHT","Inducer instructions","","","",""," ","0","","","","","","","","","","",""
"","html-keyboard-response","65","465483","0.0-97.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","66","465995","0.0-98.0","2wv3v4as","1440","900","","","","","","","","","","","511","kil","Diagnostic trial","","","","","f","0","0","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","67","466747","0.0-101.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","68","467248","0.0-102.0","2wv3v4as","1440","900","","","","","","","","","","","501","kil","Diagnostic trial","","","","","f","0","1","false","true","RIGHT","j","0","LEFT","false","","",""
"","call-function","69","467249","0.0-104.0-0.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","70","467558","0.0-104.0-1.0","2wv3v4as","1440","900","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","71","467559","0.0-104.0-2.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","72","468325","0.0-105.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","73","469080","0.0-106.0","2wv3v4as","1440","900","","","","","","","","","","","755","dv6","Diagnostic trial","","","","","f","0","2","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","74","469842","0.0-109.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","75","470428","0.0-110.0","2wv3v4as","1440","900","","","","","","","","","","","585","dv6","Diagnostic trial","","","","","f","0","3","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","76","471183","0.0-113.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","77","471785","0.0-114.0","2wv3v4as","1440","900","","","","","","","","","","","601","dv6","Diagnostic trial","","","","","j","0","4","false","true","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","78","472542","0.0-117.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","79","473376","0.0-118.0","2wv3v4as","1440","900","","","","","","","","","","","834","dv6","Diagnostic trial","","","","","f","0","5","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","80","474134","0.0-121.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","81","474576","0.0-122.0","2wv3v4as","1440","900","","","","","","","","","","","442","kil","Diagnostic trial","","","","","j","0","6","false","true","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","82","475333","0.0-125.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","83","475877","0.0-126.0","2wv3v4as","1440","900","","","","","","","","","","","543","dv6","Diagnostic trial","","","","","f","0","7","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","84","476634","0.0-129.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","85","477344","0.0-130.0","2wv3v4as","1440","900","","","","","","","","","","","709","dv6","Diagnostic trial","","","","","j","0","8","false","true","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","86","478109","0.0-133.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","87","479032","0.0-134.0","2wv3v4as","1440","900","","","","","","","","","","","922","kil","Inducer trial","","","","","f","0","","true","","","f","1","LEFT","","","",""
"","html-keyboard-response","88","480542","0.0-137.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","89","485954","0.0-138.0","2wv3v4as","1440","900","","","","","","","","","","","5411","If j&j press LEFT | If uau press RIGHT","Inducer instructions","","","",""," ","1","","","","","","","","","","",""
"","html-keyboard-response","90","486708","0.0-139.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","91","487994","0.0-140.0","2wv3v4as","1440","900","","","","","","","","","","","1285","uau","Diagnostic trial","","","","","f","1","0","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","92","488748","0.0-143.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","93","489550","0.0-144.0","2wv3v4as","1440","900","","","","","","","","","","","802","j&j","Diagnostic trial","","","","","j","1","1","false","false","LEFT","f","0","LEFT","true","","",""
"","call-function","94","489551","0.0-146.0-0.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","95","489859","0.0-146.0-1.0","2wv3v4as","1440","900","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","96","489860","0.0-146.0-2.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","97","490627","0.0-147.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","98","491378","0.0-148.0","2wv3v4as","1440","900","","","","","","","","","","","751","j&j","Diagnostic trial","","","","","j","1","2","false","true","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","99","492135","0.0-151.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","100","492659","0.0-152.0","2wv3v4as","1440","900","","","","","","","","","","","523","uau","Diagnostic trial","","","","","f","1","3","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","101","493418","0.0-155.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","102","494414","0.0-156.0","2wv3v4as","1440","900","","","","","","","","","","","995","uau","Diagnostic trial","","","","","j","1","4","false","true","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","103","495167","0.0-159.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","104","495774","0.0-160.0","2wv3v4as","1440","900","","","","","","","","","","","606","uau","Diagnostic trial","","","","","f","1","5","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","105","496535","0.0-163.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","106","496995","0.0-164.0","2wv3v4as","1440","900","","","","","","","","","","","459","uau","Diagnostic trial","","","","","f","1","6","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","107","497760","0.0-167.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","108","498346","0.0-168.0","2wv3v4as","1440","900","","","","","","","","","","","585","uau","Diagnostic trial","","","","","j","1","7","false","true","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","109","499101","0.0-171.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","110","499786","0.0-172.0","2wv3v4as","1440","900","","","","","","","","","","","685","uau","Diagnostic trial","","","","","f","1","8","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","111","500542","0.0-175.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","112","501087","0.0-176.0","2wv3v4as","1440","900","","","","","","","","","","","544","uau","Diagnostic trial","","","","","f","1","9","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","113","501843","0.0-179.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","114","502795","0.0-180.0","2wv3v4as","1440","900","","","","","","","","","","","951","j&j","Diagnostic trial","","","","","f","1","10","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","115","503552","0.0-183.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","116","504467","0.0-184.0","2wv3v4as","1440","900","","","","","","","","","","","914","uau","Inducer trial","","","","","f","1","","true","","","j","0","RIGHT","","","",""
"","call-function","117","504467","0.0-186.0-0.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","118","504777","0.0-186.0-1.0","2wv3v4as","1440","900","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","119","504777","0.0-186.0-2.0","2wv3v4as","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","120","506285","0.0-187.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","121","514833","0.0-188.0","2wv3v4as","1440","900","","","","","","","","","","","8547","If lgs press RIGHT | If r22 press LEFT","Inducer instructions","","","",""," ","2","","","","","","","","","","",""
"","html-keyboard-response","122","515594","0.0-189.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","123","516545","0.0-190.0","2wv3v4as","1440","900","","","","","","","","","","","950","lgs","Diagnostic trial","","","","","j","2","0","false","true","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","124","517302","0.0-193.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","125","517913","0.0-194.0","2wv3v4as","1440","900","","","","","","","","","","","609","lgs","Diagnostic trial","","","","","f","2","1","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","126","518667","0.0-197.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","127","519705","0.0-198.0","2wv3v4as","1440","900","","","","","","","","","","","1037","r22","Diagnostic trial","","","","","f","2","2","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","128","520470","0.0-201.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","129","521037","0.0-202.0","2wv3v4as","1440","900","","","","","","","","","","","566","lgs","Diagnostic trial","","","","","f","2","3","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","130","521794","0.0-205.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","131","522316","0.0-206.0","2wv3v4as","1440","900","","","","","","","","","","","521","r22","Diagnostic trial","","","","","f","2","4","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","132","523069","0.0-209.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","133","523601","0.0-210.0","2wv3v4as","1440","900","","","","","","","","","","","531","lgs","Diagnostic trial","","","","","j","2","5","false","true","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","134","524361","0.0-213.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","135","524867","0.0-214.0","2wv3v4as","1440","900","","","","","","","","","","","504","r22","Diagnostic trial","","","","","f","2","6","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","136","525621","0.0-217.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","137","526079","0.0-218.0","2wv3v4as","1440","900","","","","","","","","","","","457","r22","Diagnostic trial","","","","","f","2","7","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","138","526846","0.0-221.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","139","527395","0.0-222.0","2wv3v4as","1440","900","","","","","","","","","","","548","r22","Diagnostic trial","","","","","j","2","8","false","true","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","140","528154","0.0-225.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","141","528779","0.0-226.0","2wv3v4as","1440","900","","","","","","","","","","","624","r22","Diagnostic trial","","","","","f","2","9","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","142","529538","0.0-229.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","143","530215","0.0-230.0","2wv3v4as","1440","900","","","","","","","","","","","676","lgs","Inducer trial","","","","","j","2","","true","","","j","1","RIGHT","","","",""
"","html-keyboard-response","144","531730","0.0-233.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","145","536757","0.0-234.0","2wv3v4as","1440","900","","","","","","","","","","","5026","If m3p press RIGHT | If jca press LEFT","Inducer instructions","","","",""," ","3","","","","","","","","","","",""
"","html-keyboard-response","146","537516","0.0-235.0","2wv3v4as","1440","900","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","147","537937","0.0-236.0","2wv3v4as","1440","900","","","","","","","","","","","420","m3p","Diagnostic trial","","","","","f","3","0","false","false","LEFT","f","1","RIGHT","false","","",""
