"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","page_index1","page_index2","page_index3","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","1","0.0-0.0","cq7hhxa8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","993","0.0-1.0","cq7hhxa8","3440","1279","true","firefox","121.0.0","false","Windows 10","true","60.61","true","true","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","30081","0.0-2.0","cq7hhxa8","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8106},{""page_index"":1,""viewing_time"":15900},{""page_index"":2,""viewing_time"":5111}]","29117","The experiment and consent","The experiment and consent","8106","15900","5111","","","","","","","","","","","","","",""
"","fullscreen","3","37704","0.0-3.0","cq7hhxa8","3440","1440","","","","","","","","","","","6616","","Full screen","","","","true","","","","","","","","","","","","",""
"","instructions","4","151028","0.0-4.0","cq7hhxa8","3440","1440","","","","","","","","","","[{""page_index"":0,""viewing_time"":32570},{""page_index"":1,""viewing_time"":56222},{""page_index"":2,""viewing_time"":24648}]","113440","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","160933","0.0-5.0","cq7hhxa8","3440","1440","","","","","","","","","","","8399","If italic press LEFT | If upright press RIGHT","Diagnostic instructions","","","",""," ","","","","","","","","","","","",""
"","html-keyboard-response","6","161683","0.0-6.0","cq7hhxa8","3440","1440","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","7","162646","0.0-7.0","cq7hhxa8","3440","1440","","","","","","","","","","","963","ysh","practice","","","","","j","0","0","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","8","163401","0.0-10.0","cq7hhxa8","3440","1440","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","9","164020","0.0-11.0","cq7hhxa8","3440","1440","","","","","","","","","","","619","cea","practice","","","","","j","0","1","false","false","RIGHT","j","1","","","","",""
