"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","page_index1","page_index2","page_index3","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","1","0.0-0.0","dprk0dd9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","502","0.0-1.0","dprk0dd9","1920","911","true","chrome","120.0.0","false","Windows 10","true","120.48","false","false","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","6860292","0.0-2.0","dprk0dd9","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6742815},{""page_index"":1,""viewing_time"":87978},{""page_index"":2,""viewing_time"":28996}]","6859789","The experiment and consent","The experiment and consent","6742815","87978","28996","","","","","","","","","","","","","",""
"","fullscreen","3","6876794","0.0-3.0","dprk0dd9","1920","1080","","","","","","","","","","","15489","","Full screen","","","","true","","","","","","","","","","","","",""
"","instructions","4","7177730","0.0-4.0","dprk0dd9","1920","1080","","","","","","","","","","[{""page_index"":0,""viewing_time"":113843},{""page_index"":1,""viewing_time"":149956},{""page_index"":2,""viewing_time"":37135}]","300935","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","7187250","0.0-5.0","dprk0dd9","1920","1080","","","","","","","","","","","8009","If italic press LEFT | If upright press RIGHT","Diagnostic instructions","","","",""," ","","","","","","","","","","","",""
"","html-keyboard-response","6","7188007","0.0-6.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","7","7188567","0.0-7.0","dprk0dd9","1920","1080","","","","","","","","","","","560","cjm","practice","","","","","j","0","0","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","8","7189324","0.0-10.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","9","7189886","0.0-11.0","dprk0dd9","1920","1080","","","","","","","","","","","562","cjm","practice","","","","","f","0","1","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","10","7190649","0.0-14.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","11","7191130","0.0-15.0","dprk0dd9","1920","1080","","","","","","","","","","","481","f47","practice","","","","","f","0","2","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","12","7191890","0.0-18.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","13","7192254","0.0-19.0","dprk0dd9","1920","1080","","","","","","","","","","","364","f47","practice","","","","","f","0","3","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","14","7193008","0.0-22.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","15","7193452","0.0-23.0","dprk0dd9","1920","1080","","","","","","","","","","","443","f47","practice","","","","","j","0","4","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","16","7194214","0.0-26.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","17","7194799","0.0-27.0","dprk0dd9","1920","1080","","","","","","","","","","","585","cjm","practice","","","","","j","0","5","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","18","7195557","0.0-30.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","19","7195972","0.0-31.0","dprk0dd9","1920","1080","","","","","","","","","","","414","cjm","practice","","","","","j","0","6","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","20","7196732","0.0-34.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","21","7197243","0.0-35.0","dprk0dd9","1920","1080","","","","","","","","","","","511","f47","practice","","","","","f","0","7","false","false","RIGHT","j","0","","","","",""
"","call-function","22","7197243","0.0-37.0-0.0","dprk0dd9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","7197544","0.0-37.0-1.0","dprk0dd9","1920","1080","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","24","7197544","0.0-37.0-2.0","dprk0dd9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","7198301","0.0-38.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","26","7198984","0.0-39.0","dprk0dd9","1920","1080","","","","","","","","","","","683","cjm","practice","","","","","f","0","8","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","27","7199746","0.0-42.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","28","7200284","0.0-43.0","dprk0dd9","1920","1080","","","","","","","","","","","538","f47","practice","","","","","j","0","9","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","29","7201043","0.0-46.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","30","7208228","0.0-47.0","dprk0dd9","1920","1080","","","","","","","","","","","7184","If cjm press LEFT | If f47 press RIGHT","Inducer instructions","","","",""," ","1","","","","","","","","","","",""
"","html-keyboard-response","31","7208982","0.0-50.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","32","7209401","0.0-51.0","dprk0dd9","1920","1080","","","","","","","","","","","418","cjm","practice","","","","","f","0","0","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","33","7210153","0.0-54.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","34","7210655","0.0-55.0","dprk0dd9","1920","1080","","","","","","","","","","","501","cjm","practice","","","","","f","0","1","false","false","RIGHT","j","0","","","","",""
"","call-function","35","7210655","0.0-57.0-0.0","dprk0dd9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","7210967","0.0-57.0-1.0","dprk0dd9","1920","1080","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","37","7210968","0.0-57.0-2.0","dprk0dd9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","7211722","0.0-58.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","39","7212481","0.0-59.0","dprk0dd9","1920","1080","","","","","","","","","","","759","cjm","practice","","","","","f","0","2","false","false","RIGHT","j","0","","","","",""
"","call-function","40","7212481","0.0-61.0-0.0","dprk0dd9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","7212791","0.0-61.0-1.0","dprk0dd9","1920","1080","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","42","7212791","0.0-61.0-2.0","dprk0dd9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","43","7213543","0.0-62.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","44","7214386","0.0-63.0","dprk0dd9","1920","1080","","","","","","","","","","","842","f47","practice","","","","","j","0","3","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","45","7215147","0.0-66.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","46","7215759","0.0-67.0","dprk0dd9","1920","1080","","","","","","","","","","","611","cjm","practice","","","","","j","0","4","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","47","7216516","0.0-70.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","48","7217199","0.0-71.0","dprk0dd9","1920","1080","","","","","","","","","","","683","cjm","practice","","","","","j","0","5","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","49","7217958","0.0-74.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","50","7218454","0.0-75.0","dprk0dd9","1920","1080","","","","","","","","","","","496","cjm","practice","","","","","j","0","6","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","51","7219207","0.0-78.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","52","7220045","0.0-79.0","dprk0dd9","1920","1080","","","","","","","","","","","838","f47","practice","","","","","f","0","7","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","53","7220810","0.0-82.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","54","7221507","0.0-83.0","dprk0dd9","1920","1080","","","","","","","","","","","696","f47","practice","","","","","f","0","8","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","55","7222268","0.0-86.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","56","7222792","0.0-87.0","dprk0dd9","1920","1080","","","","","","","","","","","523","f47","practice","","","","","j","0","9","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","57","7223547","0.0-90.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","58","7224361","0.0-91.0","dprk0dd9","1920","1080","","","","","","","","","","","813","f47","Inducer trial","","","","","j","practice","","true","","","j","1","RIGHT","","","",""
"","html-keyboard-response","59","7230910","0.0-94.0","dprk0dd9","1920","1080","","","","","","","","","","","6549","End practice","End of practice","","","",""," ","","","","","","","","","","","",""
"","html-keyboard-response","60","7231668","0.0-95.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","61","7245565","0.0-96.0","dprk0dd9","1920","1080","","","","","","","","","","","13896","If dts press RIGHT | If fef press LEFT","Inducer instructions","","","",""," ","0","","","","","","","","","","",""
"","html-keyboard-response","62","7246321","0.0-97.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","63","7246958","0.0-98.0","dprk0dd9","1920","1080","","","","","","","","","","","636","fef","Diagnostic trial","","","","","j","0","0","false","true","LEFT","f","0","LEFT","true","","",""
"","call-function","64","7246958","0.0-100.0-0.0","dprk0dd9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","65","7247266","0.0-100.0-1.0","dprk0dd9","1920","1080","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","66","7247266","0.0-100.0-2.0","dprk0dd9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","67","7248023","0.0-101.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","68","7248764","0.0-102.0","dprk0dd9","1920","1080","","","","","","","","","","","740","dts","Diagnostic trial","","","","","f","0","1","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","69","7249521","0.0-105.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","70","7250517","0.0-106.0","dprk0dd9","1920","1080","","","","","","","","","","","995","fef","Diagnostic trial","","","","","f","0","2","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","71","7251276","0.0-109.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","72","7251936","0.0-110.0","dprk0dd9","1920","1080","","","","","","","","","","","659","dts","Diagnostic trial","","","","","f","0","3","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","73","7252691","0.0-113.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","74","7253431","0.0-114.0","dprk0dd9","1920","1080","","","","","","","","","","","739","fef","Diagnostic trial","","","","","f","0","4","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","75","7254195","0.0-117.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","76","7254705","0.0-118.0","dprk0dd9","1920","1080","","","","","","","","","","","509","dts","Diagnostic trial","","","","","j","0","5","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","77","7255469","0.0-121.0","dprk0dd9","1920","1080","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
