"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","rq3ouf4v","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1129","0.0-1.0","rq3ouf4v","1512","858","true","chrome","120.0.0","false","Mac OS","true","119.12","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","31274","0.0-2.0","rq3ouf4v","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7912},{""page_index"":1,""viewing_time"":19785},{""page_index"":2,""viewing_time"":2448}]","30145","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","34150","0.0-3.0","rq3ouf4v","1512","945","","","","","","","","","","","1874","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","63843","0.0-4.0","rq3ouf4v","1512","945","","","","","","","","","","[{""page_index"":0,""viewing_time"":19521},{""page_index"":1,""viewing_time"":10170}]","29691","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","85351","0.0-5.0","rq3ouf4v","1512","945","","","","","","","","","","","null","If italic press RIGHT | If upright press LEFT","Diagnostic instructions","","null","","","","","","","","","","","","",""
"","html-keyboard-response","6","86106","0.0-6.0","rq3ouf4v","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","87413","0.0-7.0","rq3ouf4v","1512","945","","","","","","","","","","","1304","pte","Practice diganostic trial","","j","practice","0","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","88167","0.0-10.0","rq3ouf4v","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","88866","0.0-11.0","rq3ouf4v","1512","945","","","","","","","","","","","697","pte","Practice diganostic trial","","f","practice","1","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","10","89620","0.0-14.0","rq3ouf4v","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","90248","0.0-15.0","rq3ouf4v","1512","945","","","","","","","","","","","625","pte","Practice diganostic trial","","j","practice","2","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","12","91001","0.0-18.0","rq3ouf4v","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","91741","0.0-19.0","rq3ouf4v","1512","945","","","","","","","","","","","738","cer","Practice diganostic trial","","f","practice","3","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","14","92495","0.0-22.0","rq3ouf4v","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","93066","0.0-23.0","rq3ouf4v","1512","945","","","","","","","","","","","568","pte","Practice diganostic trial","","f","practice","4","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","16","93819","0.0-26.0","rq3ouf4v","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","94244","0.0-27.0","rq3ouf4v","1512","945","","","","","","","","","","","424","cer","Practice diganostic trial","","f","practice","5","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","18","94998","0.0-30.0","rq3ouf4v","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","95434","0.0-31.0","rq3ouf4v","1512","945","","","","","","","","","","","435","pte","Practice diganostic trial","","f","practice","6","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","20","96187","0.0-34.0","rq3ouf4v","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","21","96585","0.0-35.0","rq3ouf4v","1512","945","","","","","","","","","","","397","pte","Practice diganostic trial","","f","practice","7","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","22","97339","0.0-38.0","rq3ouf4v","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","23","97850","0.0-39.0","rq3ouf4v","1512","945","","","","","","","","","","","510","cer","Practice diganostic trial","","j","practice","8","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","24","98603","0.0-42.0","rq3ouf4v","1512","945","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","25","99257","0.0-43.0","rq3ouf4v","1512","945","","","","","","","","","","","652","cer","Practice diganostic trial","","f","practice","9","false","0","LEFT","f","1","","","","","",""
