"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","4","0.0-0.0","r35stz2p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1019","0.0-1.0","r35stz2p","1303","654","true","edge-chromium","121.0.0","false","Windows 10","true","60.13","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","98428","0.0-2.0","r35stz2p","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":13875},{""page_index"":1,""viewing_time"":78698},{""page_index"":2,""viewing_time"":4829}]","97405","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","112907","0.0-3.0","r35stz2p","1366","768","","","","","","","","","","","13462","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","159428","0.0-4.0","r35stz2p","1366","768","","","","","","","","","","[{""page_index"":0,""viewing_time"":33488},{""page_index"":1,""viewing_time"":13028}]","46517","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","174659","0.0-5.0","r35stz2p","1366","768","","","","","","","","","","","13710","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","175428","0.0-6.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","184977","0.0-7.0","r35stz2p","1366","768","","","","","","","","","","","9546","hlb","Practice diganostic trial","","j","practice","0","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","185743","0.0-10.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","192113","0.0-11.0","r35stz2p","1366","768","","","","","","","","","","","6367","amb","Practice diganostic trial","","j","practice","1","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","10","192876","0.0-14.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","194982","0.0-15.0","r35stz2p","1366","768","","","","","","","","","","","2104","amb","Practice diganostic trial","","f","practice","2","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","12","195744","0.0-18.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","196960","0.0-19.0","r35stz2p","1366","768","","","","","","","","","","","1214","amb","Practice diganostic trial","","f","practice","3","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","14","197726","0.0-22.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","198388","0.0-23.0","r35stz2p","1366","768","","","","","","","","","","","660","amb","Practice diganostic trial","","j","practice","4","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","16","199146","0.0-26.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","201319","0.0-27.0","r35stz2p","1366","768","","","","","","","","","","","2171","amb","Practice diganostic trial","","j","practice","5","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","18","202079","0.0-30.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","204818","0.0-31.0","r35stz2p","1366","768","","","","","","","","","","","2737","hlb","Practice diganostic trial","","f","practice","6","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","20","205585","0.0-34.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","21","206501","0.0-35.0","r35stz2p","1366","768","","","","","","","","","","","914","hlb","Practice diganostic trial","","f","practice","7","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","22","207259","0.0-38.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","23","208034","0.0-39.0","r35stz2p","1366","768","","","","","","","","","","","773","hlb","Practice diganostic trial","","j","practice","8","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","24","208792","0.0-42.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","25","211214","0.0-43.0","r35stz2p","1366","768","","","","","","","","","","","2420","amb","Practice diganostic trial","","f","practice","9","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","26","211976","0.0-46.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","27","212427","0.0-47.0","r35stz2p","1366","768","","","","","","","","","","","449","hlb","Practice diganostic trial","","f","practice","10","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","28","213192","0.0-50.0","r35stz2p","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
