"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","13","0.0-0.0","hpwxvcom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1184","0.0-1.0","hpwxvcom","1440","682","true","chrome","119.0.0","false","Mac OS","true","52.66","false","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","20918","0.0-2.0","hpwxvcom","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2164},{""page_index"":1,""viewing_time"":15368},{""page_index"":2,""viewing_time"":2201}]","19734","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","23258","0.0-3.0","hpwxvcom","1440","867","","","","","","","","","","","1326","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","54435","0.0-4.0","hpwxvcom","1440","900","","","","","","","","","","[{""page_index"":0,""viewing_time"":23362},{""page_index"":1,""viewing_time"":7811}]","31173","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","65458","0.0-5.0","hpwxvcom","1440","900","","","","","","","","","","","9514","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","66210","0.0-6.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","69369","0.0-7.0","hpwxvcom","1440","900","","","","","","","","","","","3158","dij","Practice diganostic trial","","j","practice","0","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","70125","0.0-10.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","71481","0.0-11.0","hpwxvcom","1440","900","","","","","","","","","","","1354","vnn","Practice diganostic trial","","j","practice","1","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","10","72236","0.0-14.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","72894","0.0-15.0","hpwxvcom","1440","900","","","","","","","","","","","657","dij","Practice diganostic trial","","f","practice","2","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","12","73648","0.0-18.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","74179","0.0-19.0","hpwxvcom","1440","900","","","","","","","","","","","530","vnn","Practice diganostic trial","","j","practice","3","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","14","74935","0.0-22.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","75658","0.0-23.0","hpwxvcom","1440","900","","","","","","","","","","","722","dij","Practice diganostic trial","","j","practice","4","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","16","76410","0.0-26.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","77123","0.0-27.0","hpwxvcom","1440","900","","","","","","","","","","","712","dij","Practice diganostic trial","","f","practice","5","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","18","77878","0.0-30.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","78392","0.0-31.0","hpwxvcom","1440","900","","","","","","","","","","","513","dij","Practice diganostic trial","","f","practice","6","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","20","79149","0.0-34.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","21","79602","0.0-35.0","hpwxvcom","1440","900","","","","","","","","","","","453","dij","Practice diganostic trial","","f","practice","7","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","22","80357","0.0-38.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","23","80818","0.0-39.0","hpwxvcom","1440","900","","","","","","","","","","","460","dij","Practice diganostic trial","","f","practice","8","false","0","RIGHT","j","0","","","","","",""
"","call-function","24","80819","0.0-41.0-0.0","hpwxvcom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","81124","0.0-41.0-1.0","hpwxvcom","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","26","81125","0.0-41.0-2.0","hpwxvcom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","81879","0.0-42.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","28","82643","0.0-43.0","hpwxvcom","1440","900","","","","","","","","","","","764","vnn","Practice diganostic trial","","j","practice","9","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","29","83398","0.0-46.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","30","83946","0.0-47.0","hpwxvcom","1440","900","","","","","","","","","","","547","dij","Practice diganostic trial","","f","practice","10","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","31","84701","0.0-50.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","32","85255","0.0-51.0","hpwxvcom","1440","900","","","","","","","","","","","553","dij","Practice diganostic trial","","j","practice","11","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","33","86008","0.0-54.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","34","86664","0.0-55.0","hpwxvcom","1440","900","","","","","","","","","","","655","dij","Practice diganostic trial","","f","practice","12","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","35","87418","0.0-58.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","36","88062","0.0-59.0","hpwxvcom","1440","900","","","","","","","","","","","643","dij","Practice diganostic trial","","f","practice","13","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","37","88816","0.0-62.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","38","89432","0.0-63.0","hpwxvcom","1440","900","","","","","","","","","","","615","dij","Practice diganostic trial","","j","practice","14","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","39","90186","0.0-66.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","40","90953","0.0-67.0","hpwxvcom","1440","900","","","","","","","","","","","767","vnn","Practice diganostic trial","","f","practice","15","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","41","91710","0.0-70.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","instructions","42","104353","0.0-71.0","hpwxvcom","1440","900","","","","","","","","","","[{""page_index"":0,""viewing_time"":12642}]","12642","Instructions","Final experiment explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","43","113443","0.0-72.0","hpwxvcom","1440","900","","","","","","","","","","","7585","If lpn press LEFT | If pbz press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","44","115080","0.0-73.0","hpwxvcom","1440","900","","","","","","","","","","","1636","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","45","115835","0.0-76.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","46","121007","0.0-77.0","hpwxvcom","1440","900","","","","","","","","","","","5170","If rbc press LEFT | If jup press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","47","121968","0.0-78.0","hpwxvcom","1440","900","","","","","","","","","","","958","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","48","122722","0.0-81.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","49","125003","0.0-82.0","hpwxvcom","1440","900","","","","","","","","","","","2280","If kho press LEFT | If cnl press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","50","125784","0.0-83.0","hpwxvcom","1440","900","","","","","","","","","","","780","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","51","126540","0.0-86.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","52","128436","0.0-87.0","hpwxvcom","1440","900","","","","","","","","","","","1895","If lff press LEFT | If ibg press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","53","129370","0.0-88.0","hpwxvcom","1440","900","","","","","","","","","","","933","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","54","130125","0.0-91.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","55","132440","0.0-92.0","hpwxvcom","1440","900","","","","","","","","","","","2313","If sdw press LEFT | If rrd press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","56","133143","0.0-93.0","hpwxvcom","1440","900","","","","","","","","","","","700","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","57","133898","0.0-96.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","58","134942","0.0-97.0","hpwxvcom","1440","900","","","","","","","","","","","1043","If pcm press LEFT | If dul press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","59","135764","0.0-98.0","hpwxvcom","1440","900","","","","","","","","","","","822","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","60","136519","0.0-101.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","61","144106","0.0-102.0","hpwxvcom","1440","900","","","","","","","","","","","7582","End practice","End of practice",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","62","145610","0.0-103.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","","",""
"","html-keyboard-response","63","147317","0.0-104.0","hpwxvcom","1440","900","","","","","","","","","","","1706","If hhd press LEFT | If glp press RIGHT","Inducer instructions",""," ","0","","","","","","","","","","","",""
"","html-keyboard-response","64","148074","0.0-105.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","65","148826","0.0-106.0","hpwxvcom","1440","900","","","","","","","","","","","752","glp","Diagnostic trial","","j","0","0","false","true","LEFT","f","0","","RIGHT","false","","",""
"","call-function","66","148828","0.0-108.0-0.0","hpwxvcom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","67","149132","0.0-108.0-1.0","hpwxvcom","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","68","149132","0.0-108.0-2.0","hpwxvcom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","69","149888","0.0-109.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","70","151034","0.0-110.0","hpwxvcom","1440","900","","","","","","","","","","","1145","hhd","Diagnostic trial","","f","0","1","false","true","LEFT","f","1","","LEFT","true","","",""
"","html-keyboard-response","71","151785","0.0-113.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","72","152557","0.0-114.0","hpwxvcom","1440","900","","","","","","","","","","","771","hhd","Diagnostic trial","","f","0","2","false","false","RIGHT","j","0","","LEFT","false","","",""
"","call-function","73","152558","0.0-116.0-0.0","hpwxvcom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","74","152862","0.0-116.0-1.0","hpwxvcom","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","75","152863","0.0-116.0-2.0","hpwxvcom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","76","153619","0.0-117.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","77","154326","0.0-118.0","hpwxvcom","1440","900","","","","","","","","","","","707","hhd","Diagnostic trial","","f","0","3","false","true","LEFT","f","1","","LEFT","true","","",""
"","html-keyboard-response","78","155082","0.0-121.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","79","156472","0.0-122.0","hpwxvcom","1440","900","","","","","","","","","","","1388","glp","Inducer trial","","f","0","","true","","","j","0","RIGHT","","","","",""
"","call-function","80","156473","0.0-124.0-0.0","hpwxvcom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","81","156777","0.0-124.0-1.0","hpwxvcom","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","82","156780","0.0-124.0-2.0","hpwxvcom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","83","158286","0.0-125.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","","",""
"","html-keyboard-response","84","164672","0.0-126.0","hpwxvcom","1440","900","","","","","","","","","","","6385","If bgi press LEFT | If dnc press RIGHT","Inducer instructions",""," ","1","","","","","","","","","","","",""
"","html-keyboard-response","85","165426","0.0-127.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","86","166159","0.0-128.0","hpwxvcom","1440","900","","","","","","","","","","","732","bgi","Diagnostic trial","","f","1","0","false","true","LEFT","f","1","","LEFT","true","","",""
"","html-keyboard-response","87","166913","0.0-131.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","88","167571","0.0-132.0","hpwxvcom","1440","900","","","","","","","","","","","657","bgi","Diagnostic trial","","f","1","1","false","false","RIGHT","j","0","","LEFT","false","","",""
"","call-function","89","167572","0.0-134.0-0.0","hpwxvcom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","90","167877","0.0-134.0-1.0","hpwxvcom","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","91","167877","0.0-134.0-2.0","hpwxvcom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","92","168631","0.0-135.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","93","170618","0.0-136.0","hpwxvcom","1440","900","","","","","","","","","","","1987","dnc","Diagnostic trial","","j","1","2","false","false","RIGHT","j","1","","RIGHT","true","","",""
"","html-keyboard-response","94","171377","0.0-139.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","95","172262","0.0-140.0","hpwxvcom","1440","900","","","","","","","","","","","884","dnc","Diagnostic trial","","f","1","3","false","true","LEFT","f","1","","RIGHT","false","","",""
"","html-keyboard-response","96","173016","0.0-143.0","hpwxvcom","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","97","174249","0.0-144.0","hpwxvcom","1440","900","","","","","","","","","","","1232","dnc","Diagnostic trial","","f","1","4","false","true","LEFT","f","1","","RIGHT","false","","",""
