"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","9ocxe3ob","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1043","0.0-1.0","9ocxe3ob","1536","703","true","chrome","121.0.0","false","Windows 10","true","57.94","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","120518","0.0-2.0","9ocxe3ob","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":9371},{""page_index"":1,""viewing_time"":67972},{""page_index"":2,""viewing_time"":42129}]","119474","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","224457","0.0-3.0","9ocxe3ob","1536","864","","","","","","","","","","","102904","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","262497","0.0-4.0","9ocxe3ob","1536","864","","","","","","","","","","[{""page_index"":0,""viewing_time"":33582},{""page_index"":1,""viewing_time"":4456}]","38038","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","277716","0.0-5.0","9ocxe3ob","1536","864","","","","","","","","","","","13714","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","278472","0.0-6.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","279500","0.0-7.0","9ocxe3ob","1536","864","","","","","","","","","","","1026","xlv","Practice diganostic trial","","j","practice","0","false","0","LEFT","f","0","","","","","",""
"","call-function","8","279501","0.0-9.0-0.0","9ocxe3ob","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","279804","0.0-9.0-1.0","9ocxe3ob","1536","864","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","10","279804","0.0-9.0-2.0","9ocxe3ob","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","280560","0.0-10.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","281289","0.0-11.0","9ocxe3ob","1536","864","","","","","","","","","","","728","xlv","Practice diganostic trial","","f","practice","1","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","13","282044","0.0-14.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","14","282760","0.0-15.0","9ocxe3ob","1536","864","","","","","","","","","","","714","dlg","Practice diganostic trial","","j","practice","2","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","15","283517","0.0-18.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","16","284033","0.0-19.0","9ocxe3ob","1536","864","","","","","","","","","","","515","xlv","Practice diganostic trial","","f","practice","3","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","17","284797","0.0-22.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","18","285385","0.0-23.0","9ocxe3ob","1536","864","","","","","","","","","","","587","dlg","Practice diganostic trial","","j","practice","4","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","19","286138","0.0-26.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","20","286449","0.0-27.0","9ocxe3ob","1536","864","","","","","","","","","","","309","xlv","Practice diganostic trial","","f","practice","5","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","21","287212","0.0-30.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","22","287740","0.0-31.0","9ocxe3ob","1536","864","","","","","","","","","","","527","xlv","Practice diganostic trial","","f","practice","6","false","1","RIGHT","j","0","","","","","",""
"","call-function","23","287741","0.0-33.0-0.0","9ocxe3ob","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","288053","0.0-33.0-1.0","9ocxe3ob","1536","864","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","25","288054","0.0-33.0-2.0","9ocxe3ob","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","288819","0.0-34.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","27","289683","0.0-35.0","9ocxe3ob","1536","864","","","","","","","","","","","863","xlv","Practice diganostic trial","","j","practice","7","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","28","290438","0.0-38.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","29","290843","0.0-39.0","9ocxe3ob","1536","864","","","","","","","","","","","404","xlv","Practice diganostic trial","","j","practice","8","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","30","291604","0.0-42.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","31","292243","0.0-43.0","9ocxe3ob","1536","864","","","","","","","","","","","637","dlg","Practice diganostic trial","","j","practice","9","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","32","293007","0.0-46.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","33","293559","0.0-47.0","9ocxe3ob","1536","864","","","","","","","","","","","551","xlv","Practice diganostic trial","","f","practice","10","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","34","294321","0.0-50.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","35","294775","0.0-51.0","9ocxe3ob","1536","864","","","","","","","","","","","453","xlv","Practice diganostic trial","","j","practice","11","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","36","295527","0.0-54.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","37","296199","0.0-55.0","9ocxe3ob","1536","864","","","","","","","","","","","671","xlv","Practice diganostic trial","","j","practice","12","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","38","296952","0.0-58.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","39","297464","0.0-59.0","9ocxe3ob","1536","864","","","","","","","","","","","512","xlv","Practice diganostic trial","","f","practice","13","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","40","298217","0.0-62.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","41","298913","0.0-63.0","9ocxe3ob","1536","864","","","","","","","","","","","695","dlg","Practice diganostic trial","","f","practice","14","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","42","299672","0.0-66.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","43","300701","0.0-67.0","9ocxe3ob","1536","864","","","","","","","","","","","1028","xlv","Practice diganostic trial","","f","practice","15","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","44","301460","0.0-70.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","instructions","45","355410","0.0-71.0","9ocxe3ob","1536","864","","","","","","","","","","[{""page_index"":0,""viewing_time"":53948}]","53948","Instructions","Final experiment explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","363002","0.0-72.0","9ocxe3ob","1536","864","","","","","","","","","","","6076","If wab press RIGHT | If cpt press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","47","363671","0.0-73.0","9ocxe3ob","1536","864","","","","","","","","","","","667","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","48","364428","0.0-76.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","49","366273","0.0-77.0","9ocxe3ob","1536","864","","","","","","","","","","","1845","If jsf press RIGHT | If ibg press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","50","366893","0.0-78.0","9ocxe3ob","1536","864","","","","","","","","","","","619","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","51","367647","0.0-81.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","52","368529","0.0-82.0","9ocxe3ob","1536","864","","","","","","","","","","","881","If ndm press RIGHT | If sdw press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","53","369506","0.0-83.0","9ocxe3ob","1536","864","","","","","","","","","","","975","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","54","370265","0.0-86.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","55","372433","0.0-87.0","9ocxe3ob","1536","864","","","","","","","","","","","2167","If bwe press RIGHT | If pph press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","56","372891","0.0-88.0","9ocxe3ob","1536","864","","","","","","","","","","","458","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","57","373656","0.0-91.0","9ocxe3ob","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
