"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","azenm3o6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","351","0.0-1.0","azenm3o6","1243","973","true","chrome","121.0.0","false","Windows 10","true","173.66","false","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","19946","0.0-2.0","azenm3o6","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6683},{""page_index"":1,""viewing_time"":9863},{""page_index"":2,""viewing_time"":3049}]","19595","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","25490","0.0-3.0","azenm3o6","2560","1440","","","","","","","","","","","4529","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","48522","0.0-4.0","azenm3o6","2560","1440","","","","","","","","","","[{""page_index"":0,""viewing_time"":14707},{""page_index"":1,""viewing_time"":8325}]","23032","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","56955","0.0-5.0","azenm3o6","2560","1440","","","","","","","","","","","6923","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","57710","0.0-6.0","azenm3o6","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","58187","0.0-7.0","azenm3o6","2560","1440","","","","","","","","","","","476","gfm","Practice diganostic trial","","j","practice","0","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","58951","0.0-10.0","azenm3o6","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","59539","0.0-11.0","azenm3o6","2560","1440","","","","","","","","","","","587","gfm","Practice diganostic trial","","f","practice","1","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","10","60300","0.0-14.0","azenm3o6","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","61200","0.0-15.0","azenm3o6","2560","1440","","","","","","","","","","","899","ccx","Practice diganostic trial","","j","practice","2","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","12","61965","0.0-18.0","azenm3o6","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","62522","0.0-19.0","azenm3o6","2560","1440","","","","","","","","","","","557","ccx","Practice diganostic trial","","f","practice","3","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","14","63286","0.0-22.0","azenm3o6","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","64075","0.0-23.0","azenm3o6","2560","1440","","","","","","","","","","","790","gfm","Practice diganostic trial","","f","practice","4","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","16","64839","0.0-26.0","azenm3o6","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","65385","0.0-27.0","azenm3o6","2560","1440","","","","","","","","","","","546","gfm","Practice diganostic trial","","j","practice","5","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","18","66150","0.0-30.0","azenm3o6","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","66811","0.0-31.0","azenm3o6","2560","1440","","","","","","","","","","","661","ccx","Practice diganostic trial","","j","practice","6","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","20","67574","0.0-34.0","azenm3o6","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","21","68096","0.0-35.0","azenm3o6","2560","1440","","","","","","","","","","","521","ccx","Practice diganostic trial","","f","practice","7","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","22","68853","0.0-38.0","azenm3o6","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","23","69509","0.0-39.0","azenm3o6","2560","1440","","","","","","","","","","","655","gfm","Practice diganostic trial","","j","practice","8","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","24","70270","0.0-42.0","azenm3o6","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","25","70981","0.0-43.0","azenm3o6","2560","1440","","","","","","","","","","","710","ccx","Practice diganostic trial","","j","practice","9","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","26","71740","0.0-46.0","azenm3o6","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
