"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","tmp7bwa5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","2688","0.0-1.0","tmp7bwa5","1116","1186","true","chrome","121.0.0","false","Linux","true","59.37","false","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","79687","0.0-2.0","tmp7bwa5","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":42023},{""page_index"":1,""viewing_time"":29731},{""page_index"":2,""viewing_time"":5243}]","76998","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","107157","0.0-3.0","tmp7bwa5","3440","1440","","","","","","","","","","","26467","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","165305","0.0-4.0","tmp7bwa5","3440","1440","","","","","","","","","","[{""page_index"":0,""viewing_time"":32652},{""page_index"":1,""viewing_time"":25495}]","58147","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","174238","0.0-5.0","tmp7bwa5","3440","1440","","","","","","","","","","","7430","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","174989","0.0-6.0","tmp7bwa5","3440","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","175609","0.0-7.0","tmp7bwa5","3440","1440","","","","","","","","","","","618","feg","Practice diganostic trial","","j","practice","0","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","176360","0.0-10.0","tmp7bwa5","3440","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","176868","0.0-11.0","tmp7bwa5","3440","1440","","","","","","","","","","","507","feg","Practice diganostic trial","","f","practice","1","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","10","177620","0.0-14.0","tmp7bwa5","3440","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","178237","0.0-15.0","tmp7bwa5","3440","1440","","","","","","","","","","","617","feg","Practice diganostic trial","","j","practice","2","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","12","178988","0.0-18.0","tmp7bwa5","3440","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","179761","0.0-19.0","tmp7bwa5","3440","1440","","","","","","","","","","","772","efg","Practice diganostic trial","","j","practice","3","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","14","180513","0.0-22.0","tmp7bwa5","3440","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","181126","0.0-23.0","tmp7bwa5","3440","1440","","","","","","","","","","","612","feg","Practice diganostic trial","","f","practice","4","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","16","181877","0.0-26.0","tmp7bwa5","3440","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","182435","0.0-27.0","tmp7bwa5","3440","1440","","","","","","","","","","","558","feg","Practice diganostic trial","","j","practice","5","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","18","183186","0.0-30.0","tmp7bwa5","3440","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","183588","0.0-31.0","tmp7bwa5","3440","1440","","","","","","","","","","","400","feg","Practice diganostic trial","","f","practice","6","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","20","184339","0.0-34.0","tmp7bwa5","3440","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","21","184980","0.0-35.0","tmp7bwa5","3440","1440","","","","","","","","","","","640","feg","Practice diganostic trial","","j","practice","7","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","22","185731","0.0-38.0","tmp7bwa5","3440","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","23","186300","0.0-39.0","tmp7bwa5","3440","1440","","","","","","","","","","","569","feg","Practice diganostic trial","","f","practice","8","false","1","LEFT","f","1","","","","","",""
