"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","3","0.0-0.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","4067","0.0-1.0","18volbmw","1600","773","true","chrome","121.0.0","false","Windows 10","true","14.79","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","40799","0.0-2.0","18volbmw","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":15836},{""page_index"":1,""viewing_time"":17787},{""page_index"":2,""viewing_time"":3108}]","36731","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","48395","0.0-3.0","18volbmw","1600","900","","","","","","","","","","","6575","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","96639","0.0-4.0","18volbmw","1600","900","","","","","","","","","","[{""page_index"":0,""viewing_time"":42414},{""page_index"":1,""viewing_time"":5827}]","48241","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","118157","0.0-5.0","18volbmw","1600","900","","","","","","","","","","","null","If italic press LEFT | If upright press RIGHT","Diagnostic instructions","","null","","","","","","","","","","","","",""
"","html-keyboard-response","6","118914","0.0-6.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","120146","0.0-7.0","18volbmw","1600","900","","","","","","","","","","","1230","yoy","Practice diganostic trial","","j","practice","0","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","120912","0.0-10.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","121667","0.0-11.0","18volbmw","1600","900","","","","","","","","","","","753","yna","Practice diganostic trial","","j","practice","1","false","1","LEFT","f","0","","","","","",""
"","call-function","10","121668","0.0-13.0-0.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","121980","0.0-13.0-1.0","18volbmw","1600","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","12","121980","0.0-13.0-2.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","122737","0.0-14.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","14","123281","0.0-15.0","18volbmw","1600","900","","","","","","","","","","","543","yna","Practice diganostic trial","","f","practice","2","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","15","124041","0.0-18.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","16","124685","0.0-19.0","18volbmw","1600","900","","","","","","","","","","","643","yna","Practice diganostic trial","","j","practice","3","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","17","125448","0.0-22.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","18","126107","0.0-23.0","18volbmw","1600","900","","","","","","","","","","","657","yna","Practice diganostic trial","","j","practice","4","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","19","126873","0.0-26.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","20","127332","0.0-27.0","18volbmw","1600","900","","","","","","","","","","","457","yna","Practice diganostic trial","","j","practice","5","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","21","128095","0.0-30.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","22","128561","0.0-31.0","18volbmw","1600","900","","","","","","","","","","","465","yna","Practice diganostic trial","","f","practice","6","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","23","129319","0.0-34.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","24","129897","0.0-35.0","18volbmw","1600","900","","","","","","","","","","","577","yna","Practice diganostic trial","","j","practice","7","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","25","130668","0.0-38.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","26","131129","0.0-39.0","18volbmw","1600","900","","","","","","","","","","","459","yna","Practice diganostic trial","","j","practice","8","false","1","LEFT","f","0","","","","","",""
"","call-function","27","131129","0.0-41.0-0.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","28","131434","0.0-41.0-1.0","18volbmw","1600","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","29","131434","0.0-41.0-2.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","30","132192","0.0-42.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","31","132727","0.0-43.0","18volbmw","1600","900","","","","","","","","","","","534","yoy","Practice diganostic trial","","j","practice","9","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","32","133483","0.0-46.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","33","133950","0.0-47.0","18volbmw","1600","900","","","","","","","","","","","467","yoy","Practice diganostic trial","","j","practice","10","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","34","134706","0.0-50.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","35","135223","0.0-51.0","18volbmw","1600","900","","","","","","","","","","","516","yoy","Practice diganostic trial","","j","practice","11","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","36","135976","0.0-54.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","37","136657","0.0-55.0","18volbmw","1600","900","","","","","","","","","","","680","yoy","Practice diganostic trial","","f","practice","12","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","38","137421","0.0-58.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","39","137925","0.0-59.0","18volbmw","1600","900","","","","","","","","","","","503","yoy","Practice diganostic trial","","j","practice","13","false","1","LEFT","f","0","","","","","",""
"","call-function","40","137926","0.0-61.0-0.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","138242","0.0-61.0-1.0","18volbmw","1600","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","42","138242","0.0-61.0-2.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","43","139014","0.0-62.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","44","139544","0.0-63.0","18volbmw","1600","900","","","","","","","","","","","529","yoy","Practice diganostic trial","","f","practice","14","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","45","140299","0.0-66.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","46","141024","0.0-67.0","18volbmw","1600","900","","","","","","","","","","","724","yna","Practice diganostic trial","","f","practice","15","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","47","141790","0.0-70.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","instructions","48","159969","0.0-71.0","18volbmw","1600","900","","","","","","","","","","[{""page_index"":0,""viewing_time"":18177}]","18178","Instructions","Final experiment explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","169398","0.0-72.0","18volbmw","1600","900","","","","","","","","","","","7913","If asn press LEFT | If oez press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","50","170178","0.0-73.0","18volbmw","1600","900","","","","","","","","","","","778","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","51","170944","0.0-76.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","52","176046","0.0-77.0","18volbmw","1600","900","","","","","","","","","","","5100","If fuc press LEFT | If edc press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","53","176607","0.0-78.0","18volbmw","1600","900","","","","","","","","","","","560","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","54","177367","0.0-81.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","55","180072","0.0-82.0","18volbmw","1600","900","","","","","","","","","","","2704","If ume press LEFT | If jil press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","56","180612","0.0-83.0","18volbmw","1600","900","","","","","","","","","","","539","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","57","181377","0.0-86.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","58","183211","0.0-87.0","18volbmw","1600","900","","","","","","","","","","","1833","If lct press LEFT | If kmh press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","59","183845","0.0-88.0","18volbmw","1600","900","","","","","","","","","","","632","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","60","184611","0.0-91.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","61","185960","0.0-92.0","18volbmw","1600","900","","","","","","","","","","","1348","If ttm press LEFT | If hfs press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","62","186521","0.0-93.0","18volbmw","1600","900","","","","","","","","","","","560","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","63","187273","0.0-96.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","64","188711","0.0-97.0","18volbmw","1600","900","","","","","","","","","","","1436","If uus press LEFT | If ofa press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","65","189393","0.0-98.0","18volbmw","1600","900","","","","","","","","","","","681","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","66","190154","0.0-101.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","67","207681","0.0-102.0","18volbmw","1600","900","","","","","","","","","","","17524","End practice","End of practice",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","68","209193","0.0-103.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","","",""
"","html-keyboard-response","69","213565","0.0-104.0","18volbmw","1600","900","","","","","","","","","","","4370","If rpw press LEFT | If ois press RIGHT","Inducer instructions",""," ","0","","","","","","","","","","","",""
"","html-keyboard-response","70","214342","0.0-105.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","71","214905","0.0-106.0","18volbmw","1600","900","","","","","","","","","","","562","rpw","Diagnostic trial","","f","0","0","false","false","RIGHT","j","0","","LEFT","false","","",""
"","call-function","72","214906","0.0-108.0-0.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","73","215225","0.0-108.0-1.0","18volbmw","1600","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","74","215225","0.0-108.0-2.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","75","215980","0.0-109.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","76","216677","0.0-110.0","18volbmw","1600","900","","","","","","","","","","","696","ois","Diagnostic trial","","f","0","1","false","true","LEFT","f","1","","RIGHT","false","","",""
"","html-keyboard-response","77","217434","0.0-113.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","78","218216","0.0-114.0","18volbmw","1600","900","","","","","","","","","","","781","ois","Diagnostic trial","","f","0","2","false","false","RIGHT","j","0","","RIGHT","true","","",""
"","call-function","79","218217","0.0-116.0-0.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","80","218524","0.0-116.0-1.0","18volbmw","1600","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","81","218525","0.0-116.0-2.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","82","219282","0.0-117.0","18volbmw","1600","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","83","219809","0.0-118.0","18volbmw","1600","900","","","","","","","","","","","526","ois","Diagnostic trial","","j","0","3","false","true","LEFT","f","0","","RIGHT","false","","",""
"","call-function","84","219809","0.0-120.0-0.0","18volbmw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
