"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","uco9hwky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1015","0.0-1.0","uco9hwky","1920","953","true","chrome","121.0.0","false","Windows 10","true","60.02","false","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","58510","0.0-2.0","uco9hwky","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":24694},{""page_index"":1,""viewing_time"":16377},{""page_index"":2,""viewing_time"":16424}]","57495","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","70043","0.0-3.0","uco9hwky","1920","1080","","","","","","","","","","","10519","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","99639","0.0-4.0","uco9hwky","1920","1080","","","","","","","","","","[{""page_index"":0,""viewing_time"":21179},{""page_index"":1,""viewing_time"":8416}]","29595","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","116712","0.0-5.0","uco9hwky","1920","1080","","","","","","","","","","","15570","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","117474","0.0-6.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","118347","0.0-7.0","uco9hwky","1920","1080","","","","","","","","","","","873","ibg","Practice diganostic trial","","j","practice","0","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","119113","0.0-10.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","119912","0.0-11.0","uco9hwky","1920","1080","","","","","","","","","","","798","uen","Practice diganostic trial","","j","practice","1","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","10","120663","0.0-14.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","121549","0.0-15.0","uco9hwky","1920","1080","","","","","","","","","","","886","uen","Practice diganostic trial","","j","practice","2","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","12","122314","0.0-18.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","122809","0.0-19.0","uco9hwky","1920","1080","","","","","","","","","","","495","uen","Practice diganostic trial","","f","practice","3","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","14","123568","0.0-22.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","124078","0.0-23.0","uco9hwky","1920","1080","","","","","","","","","","","509","ibg","Practice diganostic trial","","j","practice","4","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","16","124836","0.0-26.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","125475","0.0-27.0","uco9hwky","1920","1080","","","","","","","","","","","638","ibg","Practice diganostic trial","","j","practice","5","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","18","126226","0.0-30.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","126776","0.0-31.0","uco9hwky","1920","1080","","","","","","","","","","","549","uen","Practice diganostic trial","","f","practice","6","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","20","127531","0.0-34.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","21","128279","0.0-35.0","uco9hwky","1920","1080","","","","","","","","","","","747","uen","Practice diganostic trial","","j","practice","7","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","22","129045","0.0-38.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","23","129617","0.0-39.0","uco9hwky","1920","1080","","","","","","","","","","","571","uen","Practice diganostic trial","","f","practice","8","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","24","130380","0.0-42.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","25","130964","0.0-43.0","uco9hwky","1920","1080","","","","","","","","","","","584","uen","Practice diganostic trial","","f","practice","9","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","26","131721","0.0-46.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","27","132297","0.0-47.0","uco9hwky","1920","1080","","","","","","","","","","","575","uen","Practice diganostic trial","","f","practice","10","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","28","133062","0.0-50.0","uco9hwky","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","29","133633","0.0-51.0","uco9hwky","1920","1080","","","","","","","","","","","570","ibg","Practice diganostic trial","","j","practice","11","false","1","RIGHT","j","1","","","","","",""
