"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","0yoaazzx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","995","0.0-1.0","0yoaazzx","935","510","true","chrome","121.0.0","false","Windows 10","true","60.78","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","88747","0.0-2.0","0yoaazzx","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":35152},{""page_index"":1,""viewing_time"":30273},{""page_index"":2,""viewing_time"":22325}]","87751","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","122960","0.0-3.0","0yoaazzx","1366","768","","","","","","","","","","","33207","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","199160","0.0-4.0","0yoaazzx","1366","768","","","","","","","","","","[{""page_index"":0,""viewing_time"":59551},{""page_index"":1,""viewing_time"":16649}]","76200","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","220675","0.0-5.0","0yoaazzx","935","510","","","","","","","","","","","null","If italic press LEFT | If upright press RIGHT","Diagnostic instructions","","null","","","","","","","","","","","","",""
"","html-keyboard-response","6","221439","0.0-6.0","0yoaazzx","935","510","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","222986","0.0-7.0","0yoaazzx","935","510","","","","","","","","","","","1547","hhd","Practice diganostic trial","","j","practice","0","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","223748","0.0-10.0","0yoaazzx","935","510","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","224897","0.0-11.0","0yoaazzx","935","510","","","","","","","","","","","1149","hhd","Practice diganostic trial","","f","practice","1","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","10","225670","0.0-14.0","0yoaazzx","935","510","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","226333","0.0-15.0","0yoaazzx","935","510","","","","","","","","","","","662","hhd","Practice diganostic trial","","j","practice","2","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","12","227086","0.0-18.0","0yoaazzx","935","510","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","227957","0.0-19.0","0yoaazzx","935","510","","","","","","","","","","","871","amb","Practice diganostic trial","","j","practice","3","false","0","RIGHT","j","1","","","","","",""
"","html-keyboard-response","14","228712","0.0-22.0","0yoaazzx","935","510","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
