"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","971ous1l","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","999","0.0-1.0","971ous1l","935","510","true","chrome","121.0.0","false","Windows 10","true","60.52","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","1310871","0.0-2.0","971ous1l","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1304571},{""page_index"":1,""viewing_time"":1316},{""page_index"":2,""viewing_time"":3984}]","1309871","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","1313874","0.0-3.0","971ous1l","1366","768","","","","","","","","","","","1994","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","1322668","0.0-4.0","971ous1l","935","510","","","","","","","","","","[{""page_index"":0,""viewing_time"":2663},{""page_index"":1,""viewing_time"":1374},{""page_index"":0,""viewing_time"":2084},{""page_index"":1,""viewing_time"":2672}]","8793","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","1328596","0.0-5.0","971ous1l","935","510","","","","","","","","","","","4416","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","1329362","0.0-6.0","971ous1l","935","510","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","1330163","0.0-7.0","971ous1l","935","510","","","","","","","","","","","801","ois","Practice diganostic trial","","f","practice","0","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","8","1330923","0.0-10.0","971ous1l","935","510","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","1331625","0.0-11.0","971ous1l","935","510","","","","","","","","","","","702","rrd","Practice diganostic trial","","f","practice","1","false","1","RIGHT","j","0","","","","","",""
"","call-function","10","1331626","0.0-13.0-0.0","971ous1l","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","1331930","0.0-13.0-1.0","971ous1l","935","510","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","",""
"","call-function","12","1331930","0.0-13.0-2.0","971ous1l","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","1332684","0.0-14.0","971ous1l","935","510","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","14","1333635","0.0-15.0","971ous1l","935","510","","","","","","","","","","","951","ois","Practice diganostic trial","","j","practice","2","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","15","1334393","0.0-18.0","971ous1l","935","510","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","16","1335375","0.0-19.0","971ous1l","935","510","","","","","","","","","","","982","ois","Practice diganostic trial","","j","practice","3","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","17","1336140","0.0-22.0","971ous1l","935","510","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","18","1336768","0.0-23.0","971ous1l","935","510","","","","","","","","","","","628","rrd","Practice diganostic trial","","j","practice","4","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","19","1337525","0.0-26.0","971ous1l","935","510","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
