"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","3","0.0-0.0","7h089edp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1005","0.0-1.0","7h089edp","1920","919","true","chrome","121.0.0","false","Windows 10","true","60.24","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","47385","0.0-2.0","7h089edp","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":16564},{""page_index"":1,""viewing_time"":22471},{""page_index"":2,""viewing_time"":7343}]","46379","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","56663","0.0-3.0","7h089edp","1920","1080","","","","","","","","","","","8264","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","92835","0.0-4.0","7h089edp","1920","1080","","","","","","","","","","[{""page_index"":0,""viewing_time"":27906},{""page_index"":1,""viewing_time"":8265}]","36171","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","105084","0.0-5.0","7h089edp","1920","1080","","","","","","","","","","","10738","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","105850","0.0-6.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","106353","0.0-7.0","7h089edp","1920","1080","","","","","","","","","","","502","rif","Practice diganostic trial","","j","practice","0","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","8","107120","0.0-10.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","107655","0.0-11.0","7h089edp","1920","1080","","","","","","","","","","","534","efg","Practice diganostic trial","","f","practice","1","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","10","108417","0.0-14.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","108872","0.0-15.0","7h089edp","1920","1080","","","","","","","","","","","454","rif","Practice diganostic trial","","f","practice","2","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","12","109632","0.0-18.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","110015","0.0-19.0","7h089edp","1920","1080","","","","","","","","","","","381","efg","Practice diganostic trial","","j","practice","3","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","14","110781","0.0-22.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","111258","0.0-23.0","7h089edp","1920","1080","","","","","","","","","","","475","rif","Practice diganostic trial","","j","practice","4","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","16","112021","0.0-26.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","17","112499","0.0-27.0","7h089edp","1920","1080","","","","","","","","","","","477","rif","Practice diganostic trial","","f","practice","5","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","18","113259","0.0-30.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","113737","0.0-31.0","7h089edp","1920","1080","","","","","","","","","","","478","efg","Practice diganostic trial","","j","practice","6","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","20","114498","0.0-34.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","21","114914","0.0-35.0","7h089edp","1920","1080","","","","","","","","","","","414","efg","Practice diganostic trial","","j","practice","7","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","22","115676","0.0-38.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","23","116138","0.0-39.0","7h089edp","1920","1080","","","","","","","","","","","460","efg","Practice diganostic trial","","f","practice","8","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","24","116892","0.0-42.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","25","117314","0.0-43.0","7h089edp","1920","1080","","","","","","","","","","","421","rif","Practice diganostic trial","","f","practice","9","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","26","118077","0.0-46.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","27","118503","0.0-47.0","7h089edp","1920","1080","","","","","","","","","","","424","rif","Practice diganostic trial","","j","practice","10","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","28","119267","0.0-50.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","29","119743","0.0-51.0","7h089edp","1920","1080","","","","","","","","","","","475","rif","Practice diganostic trial","","j","practice","11","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","30","120497","0.0-54.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","31","120972","0.0-55.0","7h089edp","1920","1080","","","","","","","","","","","473","efg","Practice diganostic trial","","j","practice","12","false","1","RIGHT","j","1","","","","","",""
"","html-keyboard-response","32","121733","0.0-58.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","33","122239","0.0-59.0","7h089edp","1920","1080","","","","","","","","","","","504","efg","Practice diganostic trial","","f","practice","13","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","34","122994","0.0-62.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","35","123444","0.0-63.0","7h089edp","1920","1080","","","","","","","","","","","448","rif","Practice diganostic trial","","f","practice","14","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","36","124196","0.0-66.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","37","124672","0.0-67.0","7h089edp","1920","1080","","","","","","","","","","","475","rif","Practice diganostic trial","","f","practice","15","false","0","LEFT","f","1","","","","","",""
"","html-keyboard-response","38","125426","0.0-70.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","instructions","39","139682","0.0-71.0","7h089edp","1920","1080","","","","","","","","","","[{""page_index"":0,""viewing_time"":14254}]","14255","Instructions","Final experiment explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","147870","0.0-72.0","7h089edp","1920","1080","","","","","","","","","","","6683","If mik press RIGHT | If otr press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","41","148801","0.0-73.0","7h089edp","1920","1080","","","","","","","","","","","929","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","42","149559","0.0-76.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","43","153904","0.0-77.0","7h089edp","1920","1080","","","","","","","","","","","4343","If ila press RIGHT | If wwt press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","44","154867","0.0-78.0","7h089edp","1920","1080","","","","","","","","","","","961","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","45","155632","0.0-81.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","46","157466","0.0-82.0","7h089edp","1920","1080","","","","","","","","","","","1832","If jsf press RIGHT | If kho press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","47","158251","0.0-83.0","7h089edp","1920","1080","","","","","","","","","","","785","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","48","159009","0.0-86.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","49","160475","0.0-87.0","7h089edp","1920","1080","","","","","","","","","","","1465","If cpt press RIGHT | If pbz press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","50","161058","0.0-88.0","7h089edp","1920","1080","","","","","","","","","","","583","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","51","161825","0.0-91.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","52","163184","0.0-92.0","7h089edp","1920","1080","","","","","","","","","","","1358","If dlg press RIGHT | If lpn press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","53","163636","0.0-93.0","7h089edp","1920","1080","","","","","","","","","","","451","","Practice inducer trial","","j","practice","","true","","","j","1","RIGHT","","","","",""
"","html-keyboard-response","54","164389","0.0-96.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","55","165575","0.0-97.0","7h089edp","1920","1080","","","","","","","","","","","1186","If ois press RIGHT | If anz press LEFT","Practice inducer instructions",""," ","practice","","","","","","","","","","","",""
"","html-keyboard-response","56","166124","0.0-98.0","7h089edp","1920","1080","","","","","","","","","","","547","","Practice inducer trial","","f","practice","","true","","","f","1","LEFT","","","","",""
"","html-keyboard-response","57","166889","0.0-101.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","58","192400","0.0-102.0","7h089edp","1920","1080","","","","","","","","","","","25509","End practice","End of practice",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","59","193903","0.0-103.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","","",""
"","html-keyboard-response","60","198484","0.0-104.0","7h089edp","1920","1080","","","","","","","","","","","4579","If eeu press RIGHT | If faq press LEFT","Inducer instructions",""," ","0","","","","","","","","","","","",""
"","html-keyboard-response","61","199243","0.0-105.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","62","199978","0.0-106.0","7h089edp","1920","1080","","","","","","","","","","","734","eeu","Diagnostic trial","","j","0","0","false","true","RIGHT","j","1","","LEFT","false","","",""
"","html-keyboard-response","63","200737","0.0-109.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","64","202748","0.0-110.0","7h089edp","1920","1080","","","","","","","","","","","2010","eeu","Diagnostic trial","","f","0","1","false","false","LEFT","f","1","","LEFT","true","","",""
"","html-keyboard-response","65","203501","0.0-113.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","66","204122","0.0-114.0","7h089edp","1920","1080","","","","","","","","","","","620","faq","Diagnostic trial","","f","0","2","false","false","LEFT","f","1","","RIGHT","false","","",""
"","html-keyboard-response","67","204875","0.0-117.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","68","205877","0.0-118.0","7h089edp","1920","1080","","","","","","","","","","","1000","eeu","Diagnostic trial","","f","0","3","false","false","LEFT","f","1","","LEFT","true","","",""
"","html-keyboard-response","69","206629","0.0-121.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","70","207295","0.0-122.0","7h089edp","1920","1080","","","","","","","","","","","664","eeu","Diagnostic trial","","j","0","4","false","true","RIGHT","j","1","","LEFT","false","","",""
"","html-keyboard-response","71","208058","0.0-125.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","72","208804","0.0-126.0","7h089edp","1920","1080","","","","","","","","","","","744","faq","Diagnostic trial","","f","0","5","false","false","LEFT","f","1","","RIGHT","false","","",""
"","html-keyboard-response","73","209566","0.0-129.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","74","210183","0.0-130.0","7h089edp","1920","1080","","","","","","","","","","","615","eeu","Diagnostic trial","","j","0","6","false","true","RIGHT","j","1","","LEFT","false","","",""
"","html-keyboard-response","75","210936","0.0-133.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","76","211608","0.0-134.0","7h089edp","1920","1080","","","","","","","","","","","671","eeu","Diagnostic trial","","j","0","7","false","true","RIGHT","j","1","","LEFT","false","","",""
"","html-keyboard-response","77","212370","0.0-137.0","7h089edp","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
