"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","2","0.0-0.0","fpf9pe0j","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","996","0.0-1.0","fpf9pe0j","1440","779","true","chrome","122.0.0","false","Mac OS","true","60.8","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","127183","0.0-2.0","fpf9pe0j","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":36542},{""page_index"":1,""viewing_time"":64721},{""page_index"":2,""viewing_time"":24919}]","126183","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","140616","0.0-3.0","fpf9pe0j","","","","","","","","","","","","","12428","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","221354","0.0-4.0","fpf9pe0j","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":50320},{""page_index"":1,""viewing_time"":30414}]","80734","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","242862","0.0-5.0","fpf9pe0j","","","","","","","","","","","","","null","If italic press LEFT | If upright press RIGHT","Diagnostic instructions","","null","{""debug"":true,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2_pilot"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":30,""cue_colour"":""yellow"",""cue_shape"":""Triangle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""blue"",""number_of_inducers"":10,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","243615","0.0-6.0","fpf9pe0j","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","246906","0.0-7.0","fpf9pe0j","","","","","","","","","","","","","3290","faq","diagnostic practice","","f","","prac","0","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","8","247659","0.0-10.0","fpf9pe0j","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","248920","0.0-11.0","fpf9pe0j","","","","","","","","","","","","","1259","faq","diagnostic practice","","j","","prac","1","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","10","249672","0.0-14.0","fpf9pe0j","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","250319","0.0-15.0","fpf9pe0j","","","","","","","","","","","","","646","mts","diagnostic practice","","j","","prac","2","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","12","251072","0.0-18.0","fpf9pe0j","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","251455","0.0-19.0","fpf9pe0j","","","","","","","","","","","","","382","mts","diagnostic practice","","j","","prac","3","-84","true","false","true","prac equal","LEFT","LEFT","f","0","true","","","",""
"","call-function","14","251456","0.0-21.0-0.0","fpf9pe0j","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","251758","0.0-21.0-1.0","fpf9pe0j","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","16","251759","0.0-21.0-2.0","fpf9pe0j","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","252511","0.0-22.0","fpf9pe0j","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","253402","0.0-23.0","fpf9pe0j","","","","","","","","","","","","","890","mts","diagnostic practice","","f","","prac","4","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","19","254155","0.0-26.0","fpf9pe0j","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
