"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","5","0.0-0.0","ynq2zrra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1042","0.0-1.0","ynq2zrra","1440","719","true","chrome","122.0.0","false","Mac OS","true","58.41","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","992443","0.0-2.0","ynq2zrra","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":926200},{""page_index"":1,""viewing_time"":41158},{""page_index"":2,""viewing_time"":24036}]","991396","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","1000955","0.0-3.0","ynq2zrra","","","","","","","","","","","","","7505","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","1055617","0.0-4.0","ynq2zrra","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":31359},{""page_index"":1,""viewing_time"":23301}]","54660","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","1068184","0.0-5.0","ynq2zrra","","","","","","","","","","","","","11063","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":true,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2_pilot"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":30,""cue_colour"":""red"",""cue_shape"":""Circle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":10,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","1068937","0.0-6.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","1069447","0.0-7.0","ynq2zrra","","","","","","","","","","","","","508","bwe","diagnostic practice","","j","","prac","0","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","8","1070200","0.0-10.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","1070647","0.0-11.0","ynq2zrra","","","","","","","","","","","","","446","nga","diagnostic practice","","f","","prac","1","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","10","1071399","0.0-14.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","1071839","0.0-15.0","ynq2zrra","","","","","","","","","","","","","439","bwe","diagnostic practice","","j","","prac","2","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","12","1072591","0.0-18.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","1072978","0.0-19.0","ynq2zrra","","","","","","","","","","","","","386","bwe","diagnostic practice","","j","","prac","3","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","14","1073729","0.0-22.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","1074143","0.0-23.0","ynq2zrra","","","","","","","","","","","","","413","nga","diagnostic practice","","f","","prac","4","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","16","1074895","0.0-26.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","1075282","0.0-27.0","ynq2zrra","","","","","","","","","","","","","385","nga","diagnostic practice","","f","","prac","5","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","18","1076033","0.0-30.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","1076463","0.0-31.0","ynq2zrra","","","","","","","","","","","","","428","nga","diagnostic practice","","f","","prac","6","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","20","1077215","0.0-34.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","1077626","0.0-35.0","ynq2zrra","","","","","","","","","","","","","410","nga","diagnostic practice","","f","","prac","7","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","22","1078378","0.0-38.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","1078831","0.0-39.0","ynq2zrra","","","","","","","","","","","","","452","bwe","diagnostic practice","","j","","prac","8","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","24","1079584","0.0-42.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","1080074","0.0-43.0","ynq2zrra","","","","","","","","","","","","","489","bwe","diagnostic practice","","j","","prac","9","-84","true","false","true","prac equal","LEFT","LEFT","f","0","true","","","",""
"","call-function","26","1080075","0.0-45.0-0.0","ynq2zrra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","1080377","0.0-45.0-1.0","ynq2zrra","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","28","1080378","0.0-45.0-2.0","ynq2zrra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","1081131","0.0-46.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","30","1081887","0.0-47.0","ynq2zrra","","","","","","","","","","","","","755","nga","diagnostic practice","","j","","prac","10","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","31","1082639","0.0-50.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","32","1083098","0.0-51.0","ynq2zrra","","","","","","","","","","","","","458","nga","diagnostic practice","","j","","prac","11","-84","true","false","true","prac equal","RIGHT","LEFT","f","0","false","","","",""
"","call-function","33","1083098","0.0-53.0-0.0","ynq2zrra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","1083401","0.0-53.0-1.0","ynq2zrra","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","35","1083401","0.0-53.0-2.0","ynq2zrra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","1084153","0.0-54.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","1084743","0.0-55.0","ynq2zrra","","","","","","","","","","","","","588","nga","diagnostic practice","","f","","prac","12","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","38","1085495","0.0-58.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","39","1086191","0.0-59.0","ynq2zrra","","","","","","","","","","","","","694","nga","diagnostic practice","","j","","prac","13","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","40","1086943","0.0-62.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","1087544","0.0-63.0","ynq2zrra","","","","","","","","","","","","","600","bwe","diagnostic practice","","j","","prac","14","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","42","1088296","0.0-66.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","43","1088815","0.0-67.0","ynq2zrra","","","","","","","","","","","","","518","bwe","diagnostic practice","","j","","prac","15","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","44","1089568","0.0-70.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","45","1102223","0.0-71.0","ynq2zrra","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":12654}]","12655","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","1120376","0.0-72.0","ynq2zrra","","","","","","","","","","","","","16651","If gso press LEFT | If cmj press RIGHT","inducer practice",""," ","","prac","","","","","","","","","","","","","","",""
"","html-keyboard-response","47","1121129","0.0-73.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","1121879","0.0-74.0","ynq2zrra","","","","","","","","","","","","","748","gso","inducer practice","","f","","prac","","","","true","","","","","f","1","","false","LEFT","",""
"","html-keyboard-response","49","1122631","0.0-77.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","50","1128358","0.0-78.0","ynq2zrra","","","","","","","","","","","","","5726","If vib press LEFT | If dlg press RIGHT","inducer practice",""," ","","prac","","","","","","","","","","","","","","",""
"","html-keyboard-response","51","1129111","0.0-79.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","52","1129616","0.0-80.0","ynq2zrra","","","","","","","","","","","","","504","vib","inducer practice","","f","","prac","","","","true","","","","","f","1","","false","LEFT","",""
"","html-keyboard-response","53","1130367","0.0-83.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","54","1136781","0.0-84.0","ynq2zrra","","","","","","","","","","","","","6412","If jil press LEFT | If ivr press RIGHT","inducer practice",""," ","","prac","","","","","","","","","","","","","","",""
"","html-keyboard-response","55","1137533","0.0-85.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","56","1138100","0.0-86.0","ynq2zrra","","","","","","","","","","","","","567","jil","inducer practice","","f","","prac","","","","true","","","","","f","1","","false","LEFT","",""
"","html-keyboard-response","57","1138853","0.0-89.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","58","1143260","0.0-90.0","ynq2zrra","","","","","","","","","","","","","4406","If hhd press LEFT | If fja press RIGHT","inducer practice",""," ","","prac","","","","","","","","","","","","","","",""
"","html-keyboard-response","59","1144013","0.0-91.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","60","1144556","0.0-92.0","ynq2zrra","","","","","","","","","","","","","542","hhd","inducer practice","","f","","prac","","","","true","","","","","f","1","","false","LEFT","",""
"","html-keyboard-response","61","1145309","0.0-95.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","62","1148740","0.0-96.0","ynq2zrra","","","","","","","","","","","","","3430","If zpl press LEFT | If xet press RIGHT","inducer practice",""," ","","prac","","","","","","","","","","","","","","",""
"","html-keyboard-response","63","1149493","0.0-97.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","64","1149892","0.0-98.0","ynq2zrra","","","","","","","","","","","","","398","xet","inducer practice","","j","","prac","","","","true","","","","","j","1","","false","RIGHT","",""
"","html-keyboard-response","65","1150645","0.0-101.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","66","1159669","0.0-102.0","ynq2zrra","","","","","","","","","","","","","9023","If kmh press LEFT | If asn press RIGHT","inducer practice",""," ","","prac","","","","","","","","","","","","","","",""
"","html-keyboard-response","67","1160422","0.0-103.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","68","1160876","0.0-104.0","ynq2zrra","","","","","","","","","","","","","453","kmh","inducer practice","","f","","prac","","","","true","","","","","f","1","","false","LEFT","",""
"","html-keyboard-response","69","1161629","0.0-107.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","70","1352071","0.0-108.0","ynq2zrra","","","","","","","","","","","","","190439","Cue practice","Cue practice",""," ","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","71","1358002","0.0-109.0","ynq2zrra","","","","","","","","","","","","","5927","If rif press LEFT | If pxv press RIGHT","cue practice",""," ","","prac","","","","","","","","","","","","","","",""
"","html-keyboard-response","72","1358754","0.0-110.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","73","1359271","0.0-111.0","ynq2zrra","","","","","","","","","","","","","516","rif","cue practice","","f","","prac","0","13","false","false","false","only pre","LEFT","RIGHT","j","0","false","","","",""
"","call-function","74","1359272","0.0-113.0-0.0","ynq2zrra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","75","1359575","0.0-113.0-1.0","ynq2zrra","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","76","1359575","0.0-113.0-2.0","ynq2zrra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","77","1360327","0.0-114.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","78","1363247","0.0-115.0","ynq2zrra","","","","","","","","","","","","","2919","pxv","cue practice","","f","","prac","1","13","false","false","true","only pre","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","79","1364000","0.0-118.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","80","1364557","0.0-119.0","ynq2zrra","","","","","","","","","","","","","556","rif","cue practice","","f","","prac","2","13","false","false","true","only pre","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","81","1365309","0.0-122.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","82","1365997","0.0-123.0","ynq2zrra","","","","","","","","","","","","","687","rif","cue practice","","j","","prac","3","13","false","false","","only pre","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","83","1366749","0.0-126.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","84","1367864","0.0-127.0","ynq2zrra","","","","","","","","","","","","","1114","pxv","cue practice","","j","","prac","4","13","false","false","","only pre","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","85","1368616","0.0-130.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","86","1369356","0.0-131.0","ynq2zrra","","","","","","","","","","","","","739","pxv","cue practice","","j","","prac","5","13","false","false","","only pre","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","87","1370110","0.0-134.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","88","1370576","0.0-135.0","ynq2zrra","","","","","","","","","","","","","465","pxv","cue practice","","j","","prac","6","13","false","false","","only pre","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","89","1371329","0.0-138.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","90","1371765","0.0-139.0","ynq2zrra","","","","","","","","","","","","","435","pxv","cue practice","","j","","prac","7","13","false","false","","only pre","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","91","1372517","0.0-142.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","92","1372905","0.0-143.0","ynq2zrra","","","","","","","","","","","","","386","pxv","cue practice","","j","","prac","8","13","false","false","","only pre","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","93","1373657","0.0-146.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","94","1375958","0.0-147.0","ynq2zrra","","","","","","","","","","","","","2299","rif","cue practice","","f","","prac","9","13","false","false","","only pre","LEFT","RIGHT","j","0","false","","","",""
"","call-function","95","1375958","0.0-149.0-0.0","ynq2zrra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","96","1376261","0.0-149.0-1.0","ynq2zrra","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","97","1376261","0.0-149.0-2.0","ynq2zrra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","98","1377014","0.0-150.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","99","1377701","0.0-151.0","ynq2zrra","","","","","","","","","","","","","686","rif","cue practice","","j","","prac","10","13","false","false","","only pre","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","100","1378453","0.0-154.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","101","1378904","0.0-155.0","ynq2zrra","","","","","","","","","","","","","450","rif","cue practice","","j","","prac","11","13","false","false","","only pre","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","102","1379657","0.0-158.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","103","1380069","0.0-159.0","ynq2zrra","","","","","","","","","","","","","411","rif","cue practice","","j","","prac","12","13","false","false","","only pre","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","104","1380821","0.0-162.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","105","1382141","0.0-163.0","ynq2zrra","","","","","","","","","","","","","null","Cue","Cue","","null","","prac","12","","","false","","","","","","","","","","",""
"","html-keyboard-response","106","1382894","0.0-164.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","107","1383836","0.0-165.0","ynq2zrra","","","","","","","","","","","","","941","pxv","cue practice","","j","","prac","13","13","true","false","false","only pre","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","108","1384589","0.0-168.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","109","1385426","0.0-169.0","ynq2zrra","","","","","","","","","","","","","836","rif","cue practice","","j","","prac","14","13","true","false","false","only pre","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","110","1386178","0.0-172.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","111","1387228","0.0-173.0","ynq2zrra","","","","","","","","","","","","","1049","pxv","cue practice","","j","","prac","15","13","true","false","false","only pre","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","112","1387981","0.0-176.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","113","1389984","0.0-177.0","ynq2zrra","","","","","","","","","","","","","null","rif","inducer practice","","null","","prac","","","","true","","","","","f","NaN","","false","LEFT","",""
"","call-function","114","1389985","0.0-178.0-0.0","ynq2zrra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","115","1390287","0.0-178.0-1.0","ynq2zrra","1440","900","","","","","","","","","","","null","Slow","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","116","1390288","0.0-178.0-2.0","ynq2zrra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","117","1391040","0.0-180.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","118","1401853","0.0-181.0","ynq2zrra","","","","","","","","","","","","","10812","End practice","End of practice",""," ","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","119","1403357","0.0-182.0","ynq2zrra","1440","900","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","120","1409457","0.0-183.0","ynq2zrra","","","","","","","","","","","","","6099","If gfm press LEFT | If kho press RIGHT","inducer instructions",""," ","","0","","","","","","","","","","","","","","",""
