"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","1","0.0-0.0","nvp313vw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1094","0.0-1.0","nvp313vw","1920","955","true","firefox","123.0.0","false","Windows 10","true","60","false","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","69173","0.0-2.0","nvp313vw","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":35504},{""page_index"":1,""viewing_time"":25008},{""page_index"":2,""viewing_time"":7568}]","68080","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","79952","0.0-3.0","nvp313vw","","","","","","","","","","","","","9774","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","2473254","0.0-4.0","nvp313vw","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2370644},{""page_index"":1,""viewing_time"":21616}]","2392260","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","2489418","0.0-5.0","nvp313vw","","","","","","","","","","","","","14652","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":true,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2_pilot"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":30,""cue_colour"":""yellow"",""cue_shape"":""Triangle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""blue"",""number_of_inducers"":10,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","2490181","0.0-6.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","2491537","0.0-7.0","nvp313vw","","","","","","","","","","","","","1355","iei","diagnostic practice","","j","","prac","0","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","8","2492288","0.0-10.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","2493081","0.0-11.0","nvp313vw","","","","","","","","","","","","","792","quy","diagnostic practice","","j","","prac","1","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","10","2493840","0.0-14.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","2494296","0.0-15.0","nvp313vw","","","","","","","","","","","","","454","quy","diagnostic practice","","j","","prac","2","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","12","2495061","0.0-18.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","2495688","0.0-19.0","nvp313vw","","","","","","","","","","","","","626","iei","diagnostic practice","","f","","prac","3","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","14","2496453","0.0-22.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","2496872","0.0-23.0","nvp313vw","","","","","","","","","","","","","419","quy","diagnostic practice","","j","","prac","4","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","16","2497689","0.0-26.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","2498185","0.0-27.0","nvp313vw","","","","","","","","","","","","","495","quy","diagnostic practice","","f","","prac","5","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","18","2498948","0.0-30.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","2499456","0.0-31.0","nvp313vw","","","","","","","","","","","","","507","iei","diagnostic practice","","f","","prac","6","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","20","2500210","0.0-34.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","2500633","0.0-35.0","nvp313vw","","","","","","","","","","","","","422","iei","diagnostic practice","","f","","prac","7","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","22","2501394","0.0-38.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","2501849","0.0-39.0","nvp313vw","","","","","","","","","","","","","453","iei","diagnostic practice","","j","","prac","8","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","24","2502603","0.0-42.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","2503257","0.0-43.0","nvp313vw","","","","","","","","","","","","","653","iei","diagnostic practice","","f","","prac","9","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","26","2504012","0.0-46.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","2504801","0.0-47.0","nvp313vw","","","","","","","","","","","","","789","quy","diagnostic practice","","j","","prac","10","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","28","2505553","0.0-50.0","nvp313vw","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
