"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","1","0.0-0.0","yfpp9st5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1008","0.0-1.0","yfpp9st5","1440","720","true","safari","17.4.0","false","Mac OS","true","60","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","58594","0.0-2.0","yfpp9st5","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":20931},{""page_index"":1,""viewing_time"":31592},{""page_index"":2,""viewing_time"":5062}]","57586","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","62715","0.0-3.0","yfpp9st5","","","","","","","","","","","","","3115","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","94798","0.0-4.0","yfpp9st5","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":20410},{""page_index"":1,""viewing_time"":11672}]","32082","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","107975","0.0-5.0","yfpp9st5","","","","","","","","","","","","","11671","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""blue"",""cue_shape"":""Circle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","108729","0.0-6.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","112239","0.0-7.0","yfpp9st5","","","","","","","","","","","","","3507","dpa","Diagnostic practice","","f","","Diagnostic practice","0","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","8","112993","0.0-10.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","115766","0.0-11.0","yfpp9st5","","","","","","","","","","","","","2770","dpa","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","10","116520","0.0-14.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","123251","0.0-15.0","yfpp9st5","","","","","","","","","","","","","6729","dpa","Diagnostic practice","","f","","Diagnostic practice","2","-84","true","false","true","prac equal","LEFT","RIGHT","j","0","false","","","",""
"","call-function","12","123253","0.0-17.0-0.0","yfpp9st5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","123556","0.0-17.0-1.0","yfpp9st5","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","14","123557","0.0-17.0-2.0","yfpp9st5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","124310","0.0-18.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","135089","0.0-19.0","yfpp9st5","","","","","","","","","","","","","10776","dpa","Diagnostic practice","","j","","Diagnostic practice","3","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","17","135842","0.0-22.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","137146","0.0-23.0","yfpp9st5","","","","","","","","","","","","","1301","dpa","Diagnostic practice","","j","","Diagnostic practice","4","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","19","137899","0.0-26.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","138962","0.0-27.0","yfpp9st5","","","","","","","","","","","","","1061","mda","Diagnostic practice","","f","","Diagnostic practice","5","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","21","139716","0.0-30.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","140442","0.0-31.0","yfpp9st5","","","","","","","","","","","","","724","mda","Diagnostic practice","","f","","Diagnostic practice","6","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","23","141195","0.0-34.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","141975","0.0-35.0","yfpp9st5","","","","","","","","","","","","","777","mda","Diagnostic practice","","j","","Diagnostic practice","7","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","25","142728","0.0-38.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","143712","0.0-39.0","yfpp9st5","","","","","","","","","","","","","981","dpa","Diagnostic practice","","j","","Diagnostic practice","8","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","27","144465","0.0-42.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","28","145021","0.0-43.0","yfpp9st5","","","","","","","","","","","","","555","dpa","Diagnostic practice","","f","","Diagnostic practice","9","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","29","145775","0.0-46.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","30","146474","0.0-47.0","yfpp9st5","","","","","","","","","","","","","697","dpa","Diagnostic practice","","f","","Diagnostic practice","10","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","31","147227","0.0-50.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","32","147802","0.0-51.0","yfpp9st5","","","","","","","","","","","","","573","mda","Diagnostic practice","","j","","Diagnostic practice","11","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","33","148555","0.0-54.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","151346","0.0-55.0","yfpp9st5","","","","","","","","","","","","","2790","dpa","Diagnostic practice","","j","","Diagnostic practice","12","-84","true","false","false","prac equal","LEFT","LEFT","f","0","true","","","",""
"","call-function","35","151348","0.0-57.0-0.0","yfpp9st5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","151651","0.0-57.0-1.0","yfpp9st5","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","37","151652","0.0-57.0-2.0","yfpp9st5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","152405","0.0-58.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","39","153128","0.0-59.0","yfpp9st5","","","","","","","","","","","","","722","mda","Diagnostic practice","","j","","Diagnostic practice","13","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","40","153882","0.0-62.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","154520","0.0-63.0","yfpp9st5","","","","","","","","","","","","","637","dpa","Diagnostic practice","","j","","Diagnostic practice","14","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","42","155274","0.0-66.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","43","155918","0.0-67.0","yfpp9st5","","","","","","","","","","","","","643","mda","Diagnostic practice","","f","","Diagnostic practice","15","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","44","156671","0.0-70.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","45","165408","0.0-71.0","yfpp9st5","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8734}]","8735","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","182356","0.0-72.0","yfpp9st5","","","","","","","","","","","","","15445","If geb press RIGHT | If dlg press LEFT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","47","183108","0.0-73.0","yfpp9st5","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","185669","0.0-74.0","yfpp9st5","","","","","","","","","","","","","2559","geb","Inducer practice","","f","","Practice","","","","true","","","","","j","0","","true","RIGHT","",""
