"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","2","0.0-0.0","bsphs7xb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1002","0.0-1.0","bsphs7xb","1920","963","true","chrome","122.0.0","false","Windows 10","true","60.31","false","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","50659","0.0-2.0","bsphs7xb","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":24307},{""page_index"":1,""viewing_time"":14577},{""page_index"":2,""viewing_time"":10771}]","49656","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","58729","0.0-3.0","bsphs7xb","","","","","","","","","","","","","7062","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","97782","0.0-4.0","bsphs7xb","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":22924},{""page_index"":1,""viewing_time"":16128}]","39052","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","109048","0.0-5.0","bsphs7xb","","","","","","","","","","","","","9757","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""red"",""cue_shape"":""Circle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","109802","0.0-6.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","111271","0.0-7.0","bsphs7xb","","","","","","","","","","","","","1468","mts","Diagnostic practice","","f","","Diagnostic practice","0","-84","true","false","true","prac equal","LEFT","RIGHT","j","0","false","","","",""
"","call-function","8","111271","0.0-9.0-0.0","bsphs7xb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","111577","0.0-9.0-1.0","bsphs7xb","1920","1080","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","10","111577","0.0-9.0-2.0","bsphs7xb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","112341","0.0-10.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","12","113198","0.0-11.0","bsphs7xb","","","","","","","","","","","","","856","ivr","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","13","113959","0.0-14.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","114495","0.0-15.0","bsphs7xb","","","","","","","","","","","","","536","mts","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","15","115261","0.0-18.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","115857","0.0-19.0","bsphs7xb","","","","","","","","","","","","","595","ivr","Diagnostic practice","","j","","Diagnostic practice","3","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","17","116614","0.0-22.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","116984","0.0-23.0","bsphs7xb","","","","","","","","","","","","","369","ivr","Diagnostic practice","","j","","Diagnostic practice","4","-84","true","false","false","prac equal","RIGHT","LEFT","f","0","false","","","",""
"","call-function","19","116984","0.0-25.0-0.0","bsphs7xb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","117290","0.0-25.0-1.0","bsphs7xb","1920","1080","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","21","117290","0.0-25.0-2.0","bsphs7xb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","118055","0.0-26.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","118741","0.0-27.0","bsphs7xb","","","","","","","","","","","","","686","mts","Diagnostic practice","","j","","Diagnostic practice","5","-84","true","false","false","prac equal","LEFT","LEFT","f","0","true","","","",""
"","call-function","24","118741","0.0-29.0-0.0","bsphs7xb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","119056","0.0-29.0-1.0","bsphs7xb","1920","1080","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","26","119056","0.0-29.0-2.0","bsphs7xb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","119820","0.0-30.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","28","120393","0.0-31.0","bsphs7xb","","","","","","","","","","","","","573","ivr","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","29","121148","0.0-34.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","30","121650","0.0-35.0","bsphs7xb","","","","","","","","","","","","","501","mts","Diagnostic practice","","f","","Diagnostic practice","7","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","31","122411","0.0-38.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","32","122821","0.0-39.0","bsphs7xb","","","","","","","","","","","","","410","mts","Diagnostic practice","","j","","Diagnostic practice","8","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","33","123585","0.0-42.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","124093","0.0-43.0","bsphs7xb","","","","","","","","","","","","","508","mts","Diagnostic practice","","f","","Diagnostic practice","9","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","35","124847","0.0-46.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","125250","0.0-47.0","bsphs7xb","","","","","","","","","","","","","402","ivr","Diagnostic practice","","f","","Diagnostic practice","10","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","37","126016","0.0-50.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","126416","0.0-51.0","bsphs7xb","","","","","","","","","","","","","400","ivr","Diagnostic practice","","f","","Diagnostic practice","11","-84","true","false","true","prac equal","RIGHT","RIGHT","j","0","true","","","",""
"","call-function","39","126417","0.0-53.0-0.0","bsphs7xb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","126719","0.0-53.0-1.0","bsphs7xb","1920","1080","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","41","126719","0.0-53.0-2.0","bsphs7xb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","42","127486","0.0-54.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","43","128204","0.0-55.0","bsphs7xb","","","","","","","","","","","","","718","mts","Diagnostic practice","","j","","Diagnostic practice","12","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","44","128967","0.0-58.0","bsphs7xb","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
