"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","3","0.0-0.0","4f32gkws","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1010","0.0-1.0","4f32gkws","1440","680","true","chrome","123.0.0","false","Mac OS","true","60.05","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","42164","0.0-2.0","4f32gkws","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":10547},{""page_index"":1,""viewing_time"":27946},{""page_index"":2,""viewing_time"":2657}]","41150","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","46658","0.0-3.0","4f32gkws","","","","","","","","","","","","","3491","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","63980","0.0-4.0","4f32gkws","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":13101},{""page_index"":1,""viewing_time"":4218}]","17320","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","70925","0.0-5.0","4f32gkws","","","","","","","","","","","","","5441","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""red"",""cue_shape"":""Square"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","71678","0.0-6.0","4f32gkws","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","72326","0.0-7.0","4f32gkws","","","","","","","","","","","","","647","jup","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","8","73080","0.0-10.0","4f32gkws","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","73753","0.0-11.0","4f32gkws","","","","","","","","","","","","","671","jup","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","10","74505","0.0-14.0","4f32gkws","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","75138","0.0-15.0","4f32gkws","","","","","","","","","","","","","631","xlv","Diagnostic practice","","f","","Diagnostic practice","2","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","12","75891","0.0-18.0","4f32gkws","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","76586","0.0-19.0","4f32gkws","","","","","","","","","","","","","694","jup","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
