"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","7","0.0-0.0","6uo93rsj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","997","0.0-1.0","6uo93rsj","1366","607","true","chrome","119.0.0","false","Windows 10","true","61.72","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","11361","0.0-2.0","6uo93rsj","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6416},{""page_index"":1,""viewing_time"":2247},{""page_index"":2,""viewing_time"":1699}]","10362","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","14330","0.0-3.0","6uo93rsj","","","","","","","","","","","","","1964","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","17337","0.0-4.0","6uo93rsj","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1692},{""page_index"":1,""viewing_time"":1312}]","3005","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","21351","0.0-5.0","6uo93rsj","","","","","","","","","","","","","2498","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""red"",""cue_shape"":""Square"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","22114","0.0-6.0","6uo93rsj","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","24727","0.0-7.0","6uo93rsj","","","","","","","","","","","","","2612","ila","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","8","25495","0.0-10.0","6uo93rsj","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","26262","0.0-11.0","6uo93rsj","","","","","","","","","","","","","765","frn","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","true","prac equal","LEFT","RIGHT","j","0","false","","","",""
"","call-function","10","26263","0.0-13.0-0.0","6uo93rsj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","26574","0.0-13.0-1.0","6uo93rsj","1366","768","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","12","26575","0.0-13.0-2.0","6uo93rsj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","27328","0.0-14.0","6uo93rsj","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","27369","0.0-15.0","6uo93rsj","","","","","","","","","","","","","39","frn","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","15","28122","0.0-18.0","6uo93rsj","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","28206","0.0-19.0","6uo93rsj","","","","","","","","","","","","","82","ila","Diagnostic practice","","j","","Diagnostic practice","3","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","17","28959","0.0-22.0","6uo93rsj","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","29052","0.0-23.0","6uo93rsj","","","","","","","","","","","","","92","frn","Diagnostic practice","","j","","Diagnostic practice","4","-84","true","false","false","prac equal","LEFT","LEFT","f","0","true","","","",""
"","call-function","19","29053","0.0-25.0-0.0","6uo93rsj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","29356","0.0-25.0-1.0","6uo93rsj","1366","768","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","21","29357","0.0-25.0-2.0","6uo93rsj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","30109","0.0-26.0","6uo93rsj","1366","768","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
