"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","18","0.0-0.0","wlokhbhp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","2021","0.0-1.0","wlokhbhp","1280","551","true","chrome","122.0.0","false","Windows 10","true","30.21","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","411718","0.0-2.0","wlokhbhp","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":384689},{""page_index"":1,""viewing_time"":28178},{""page_index"":2,""viewing_time"":2881}]","415748","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","416167","0.0-3.0","wlokhbhp","","","","","","","","","","","","","3440","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","435878","0.0-4.0","wlokhbhp","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":14049},{""page_index"":1,""viewing_time"":5661}]","19710","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","447082","0.0-5.0","wlokhbhp","","","","","","","","","","","","","9687","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""yellow"",""cue_shape"":""Square"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""blue"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","447844","0.0-6.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","448578","0.0-7.0","wlokhbhp","","","","","","","","","","","","","733","cmj","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","8","449332","0.0-10.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","449817","0.0-11.0","wlokhbhp","","","","","","","","","","","","","484","adj","Diagnostic practice","","j","","Diagnostic practice","1","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","10","450576","0.0-14.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","451015","0.0-15.0","wlokhbhp","","","","","","","","","","","","","438","cmj","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","12","451770","0.0-18.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","452223","0.0-19.0","wlokhbhp","","","","","","","","","","","","","453","adj","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","14","452976","0.0-22.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","453413","0.0-23.0","wlokhbhp","","","","","","","","","","","","","436","cmj","Diagnostic practice","","f","","Diagnostic practice","4","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","16","454173","0.0-26.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","454557","0.0-27.0","wlokhbhp","","","","","","","","","","","","","384","cmj","Diagnostic practice","","f","","Diagnostic practice","5","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","18","455322","0.0-30.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","455654","0.0-31.0","wlokhbhp","","","","","","","","","","","","","331","adj","Diagnostic practice","","f","","Diagnostic practice","6","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","20","456407","0.0-34.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","456803","0.0-35.0","wlokhbhp","","","","","","","","","","","","","395","cmj","Diagnostic practice","","f","","Diagnostic practice","7","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","22","457567","0.0-38.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","457924","0.0-39.0","wlokhbhp","","","","","","","","","","","","","356","cmj","Diagnostic practice","","f","","Diagnostic practice","8","-84","true","false","false","prac equal","LEFT","RIGHT","j","0","false","","","",""
"","call-function","24","457926","0.0-41.0-0.0","wlokhbhp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","458238","0.0-41.0-1.0","wlokhbhp","1280","720","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","26","458239","0.0-41.0-2.0","wlokhbhp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","459001","0.0-42.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","28","459515","0.0-43.0","wlokhbhp","","","","","","","","","","","","","513","cmj","Diagnostic practice","","f","","Diagnostic practice","9","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","29","460273","0.0-46.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","30","460738","0.0-47.0","wlokhbhp","","","","","","","","","","","","","463","adj","Diagnostic practice","","j","","Diagnostic practice","10","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","31","461499","0.0-50.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","32","461906","0.0-51.0","wlokhbhp","","","","","","","","","","","","","406","adj","Diagnostic practice","","j","","Diagnostic practice","11","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","33","462666","0.0-54.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","463110","0.0-55.0","wlokhbhp","","","","","","","","","","","","","443","adj","Diagnostic practice","","f","","Diagnostic practice","12","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","35","463875","0.0-58.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","464488","0.0-59.0","wlokhbhp","","","","","","","","","","","","","612","adj","Diagnostic practice","","j","","Diagnostic practice","13","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","37","465255","0.0-62.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","465750","0.0-63.0","wlokhbhp","","","","","","","","","","","","","493","adj","Diagnostic practice","","j","","Diagnostic practice","14","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","39","466511","0.0-66.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","467110","0.0-67.0","wlokhbhp","","","","","","","","","","","","","598","adj","Diagnostic practice","","f","","Diagnostic practice","15","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","41","467865","0.0-70.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","42","477651","0.0-71.0","wlokhbhp","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":9784}]","9784","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","43","485224","0.0-72.0","wlokhbhp","","","","","","","","","","","","","6065","If dnc press LEFT | If csp press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","44","485991","0.0-73.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","45","486619","0.0-74.0","wlokhbhp","","","","","","","","","","","","","627","dnc","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
"","html-keyboard-response","46","487373","0.0-77.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","47","490174","0.0-78.0","wlokhbhp","","","","","","","","","","","","","2800","If eht press LEFT | If jlm press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","490928","0.0-79.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","491657","0.0-80.0","wlokhbhp","","","","","","","","","","","","","728","jlm","Inducer practice","","j","","Practice","","","","true","","","","","j","1","","true","RIGHT","",""
"","html-keyboard-response","50","492420","0.0-83.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","51","498165","0.0-84.0","wlokhbhp","","","","","","","","","","","","","5744","If amb press LEFT | If yrp press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","52","498930","0.0-85.0","wlokhbhp","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","53","499445","0.0-86.0","wlokhbhp","","","","","","","","","","","","","514","amb","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
