"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","1","0.0-0.0","6qjq2mpl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","413","0.0-1.0","6qjq2mpl","888","1317","true","chrome","123.0.0","false","Windows 10","true","146.13","false","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","39069","0.0-2.0","6qjq2mpl","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":22007},{""page_index"":1,""viewing_time"":13570},{""page_index"":2,""viewing_time"":3078}]","38655","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","49335","0.0-3.0","6qjq2mpl","","","","","","","","","","","","","9265","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","78966","0.0-4.0","6qjq2mpl","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":22287},{""page_index"":1,""viewing_time"":7344}]","29631","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","88944","0.0-5.0","6qjq2mpl","","","","","","","","","","","","","8470","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""red"",""cue_shape"":""Circle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","89707","0.0-6.0","6qjq2mpl","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","90415","0.0-7.0","6qjq2mpl","","","","","","","","","","","","","707","ydi","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","8","91179","0.0-10.0","6qjq2mpl","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","91679","0.0-11.0","6qjq2mpl","","","","","","","","","","","","","499","ydi","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","10","92433","0.0-14.0","6qjq2mpl","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","92860","0.0-15.0","6qjq2mpl","","","","","","","","","","","","","426","ebe","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","12","93612","0.0-18.0","6qjq2mpl","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","94176","0.0-19.0","6qjq2mpl","","","","","","","","","","","","","563","ebe","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","14","94937","0.0-22.0","6qjq2mpl","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","95464","0.0-23.0","6qjq2mpl","","","","","","","","","","","","","527","ebe","Diagnostic practice","","f","","Diagnostic practice","4","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","16","96222","0.0-26.0","6qjq2mpl","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","96664","0.0-27.0","6qjq2mpl","","","","","","","","","","","","","441","ydi","Diagnostic practice","","f","","Diagnostic practice","5","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","18","97416","0.0-30.0","6qjq2mpl","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","97936","0.0-31.0","6qjq2mpl","","","","","","","","","","","","","520","ebe","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
