"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","2","0.0-0.0","ydobps06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","989","0.0-1.0","ydobps06","1440","673","true","chrome","121.0.0","false","Mac OS","true","61.02","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","998705","0.0-2.0","ydobps06","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":9005},{""page_index"":1,""viewing_time"":985211},{""page_index"":2,""viewing_time"":3570}]","997788","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","1011205","0.0-3.0","ydobps06","","","","","","","","","","","","","11496","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","1106991","0.0-4.0","ydobps06","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":84572},{""page_index"":1,""viewing_time"":11216}]","95789","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","1124573","0.0-5.0","ydobps06","","","","","","","","","","","","","16080","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""blue"",""cue_shape"":""Square"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""red"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","1125325","0.0-6.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","1125906","0.0-7.0","ydobps06","","","","","","","","","","","","","580","iei","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","8","1126657","0.0-10.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","1127218","0.0-11.0","ydobps06","","","","","","","","","","","","","560","lpn","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","10","1127970","0.0-14.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","1128474","0.0-15.0","ydobps06","","","","","","","","","","","","","503","iei","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","12","1129226","0.0-18.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","1129648","0.0-19.0","ydobps06","","","","","","","","","","","","","421","lpn","Diagnostic practice","","j","","Diagnostic practice","3","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","14","1130400","0.0-22.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","1130802","0.0-23.0","ydobps06","","","","","","","","","","","","","401","iei","Diagnostic practice","","j","","Diagnostic practice","4","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","16","1131554","0.0-26.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","1132026","0.0-27.0","ydobps06","","","","","","","","","","","","","471","lpn","Diagnostic practice","","f","","Diagnostic practice","5","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","18","1132778","0.0-30.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","1133226","0.0-31.0","ydobps06","","","","","","","","","","","","","447","lpn","Diagnostic practice","","f","","Diagnostic practice","6","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","20","1133977","0.0-34.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","1134481","0.0-35.0","ydobps06","","","","","","","","","","","","","503","iei","Diagnostic practice","","j","","Diagnostic practice","7","-84","true","false","false","prac equal","RIGHT","LEFT","f","0","false","","","",""
"","call-function","22","1134481","0.0-37.0-0.0","ydobps06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","1134784","0.0-37.0-1.0","ydobps06","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","24","1134784","0.0-37.0-2.0","ydobps06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","1135537","0.0-38.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","1136020","0.0-39.0","ydobps06","","","","","","","","","","","","","483","lpn","Diagnostic practice","","j","","Diagnostic practice","8","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","27","1136772","0.0-42.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","28","1137225","0.0-43.0","ydobps06","","","","","","","","","","","","","453","iei","Diagnostic practice","","j","","Diagnostic practice","9","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","29","1137978","0.0-46.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","30","1138425","0.0-47.0","ydobps06","","","","","","","","","","","","","447","lpn","Diagnostic practice","","j","","Diagnostic practice","10","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","31","1139178","0.0-50.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","32","1139648","0.0-51.0","ydobps06","","","","","","","","","","","","","469","lpn","Diagnostic practice","","f","","Diagnostic practice","11","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","33","1140399","0.0-54.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","1140961","0.0-55.0","ydobps06","","","","","","","","","","","","","562","iei","Diagnostic practice","","f","","Diagnostic practice","12","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","35","1141713","0.0-58.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","1142249","0.0-59.0","ydobps06","","","","","","","","","","","","","535","lpn","Diagnostic practice","","j","","Diagnostic practice","13","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","37","1143001","0.0-62.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","1143529","0.0-63.0","ydobps06","","","","","","","","","","","","","528","lpn","Diagnostic practice","","f","","Diagnostic practice","14","-84","true","false","false","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","39","1144281","0.0-66.0","ydobps06","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
