"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","3","0.0-0.0","kjqy5ud9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","984","0.0-1.0","kjqy5ud9","1436","630","true","chrome","123.0.0","false","Mac OS","true","61.6","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","680476","0.0-2.0","kjqy5ud9","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":21614},{""page_index"":1,""viewing_time"":653662},{""page_index"":2,""viewing_time"":4217}]","679496","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","686862","0.0-3.0","kjqy5ud9","","","","","","","","","","","","","5377","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","724250","0.0-4.0","kjqy5ud9","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":25858},{""page_index"":1,""viewing_time"":11528}]","37387","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","739288","0.0-5.0","kjqy5ud9","","","","","","","","","","","","","13531","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""blue"",""cue_shape"":""Square"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""red"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","740041","0.0-6.0","kjqy5ud9","1440","876","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","740621","0.0-7.0","kjqy5ud9","","","","","","","","","","","","","578","csp","Diagnostic practice","","f","","Diagnostic practice","0","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","8","741375","0.0-10.0","kjqy5ud9","1440","876","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","741906","0.0-11.0","kjqy5ud9","","","","","","","","","","","","","529","csp","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","10","742659","0.0-14.0","kjqy5ud9","1440","876","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","743111","0.0-15.0","kjqy5ud9","","","","","","","","","","","","","452","csp","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","12","743864","0.0-18.0","kjqy5ud9","1440","876","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","744403","0.0-19.0","kjqy5ud9","","","","","","","","","","","","","538","snx","Diagnostic practice","","j","","Diagnostic practice","3","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","14","745156","0.0-22.0","kjqy5ud9","1440","876","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","745750","0.0-23.0","kjqy5ud9","","","","","","","","","","","","","593","csp","Diagnostic practice","","f","","Diagnostic practice","4","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","16","746503","0.0-26.0","kjqy5ud9","1440","876","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","747110","0.0-27.0","kjqy5ud9","","","","","","","","","","","","","606","csp","Diagnostic practice","","j","","Diagnostic practice","5","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","18","747863","0.0-30.0","kjqy5ud9","1440","876","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","748381","0.0-31.0","kjqy5ud9","","","","","","","","","","","","","517","snx","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","20","749134","0.0-34.0","kjqy5ud9","1440","876","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","749550","0.0-35.0","kjqy5ud9","","","","","","","","","","","","","415","snx","Diagnostic practice","","j","","Diagnostic practice","7","-84","true","false","true","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","22","750303","0.0-38.0","kjqy5ud9","1440","876","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
