"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","32","0.0-0.0","3c8nuoad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1042","0.0-1.0","3c8nuoad","1536","711","true","firefox","124.0.0","false","Windows 10","true","59.94","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","62038","0.0-2.0","3c8nuoad","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":33592},{""page_index"":1,""viewing_time"":15383},{""page_index"":2,""viewing_time"":12019}]","60994","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","69701","0.0-3.0","3c8nuoad","","","","","","","","","","","","","6649","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","153115","0.0-4.0","3c8nuoad","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":69175},{""page_index"":1,""viewing_time"":14237}]","83412","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","167767","0.0-5.0","3c8nuoad","","","","","","","","","","","","","13149","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""blue"",""cue_shape"":""Triangle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""red"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","168520","0.0-6.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","169694","0.0-7.0","3c8nuoad","","","","","","","","","","","","","1173","faq","Diagnostic practice","","f","","Diagnostic practice","0","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","8","170458","0.0-10.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","171318","0.0-11.0","3c8nuoad","","","","","","","","","","","","","859","asn","Diagnostic practice","","j","","Diagnostic practice","1","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","10","172074","0.0-14.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","172678","0.0-15.0","3c8nuoad","","","","","","","","","","","","","603","faq","Diagnostic practice","","f","","Diagnostic practice","2","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","12","173447","0.0-18.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","174085","0.0-19.0","3c8nuoad","","","","","","","","","","","","","638","asn","Diagnostic practice","","j","","Diagnostic practice","3","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","14","174851","0.0-22.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","175366","0.0-23.0","3c8nuoad","","","","","","","","","","","","","514","faq","Diagnostic practice","","f","","Diagnostic practice","4","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","16","176132","0.0-26.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","177455","0.0-27.0","3c8nuoad","","","","","","","","","","","","","1321","faq","Diagnostic practice","","j","","Diagnostic practice","5","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","18","178205","0.0-30.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","178854","0.0-31.0","3c8nuoad","","","","","","","","","","","","","648","asn","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","20","179609","0.0-34.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","180175","0.0-35.0","3c8nuoad","","","","","","","","","","","","","565","asn","Diagnostic practice","","j","","Diagnostic practice","7","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","22","180928","0.0-38.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","181479","0.0-39.0","3c8nuoad","","","","","","","","","","","","","550","asn","Diagnostic practice","","j","","Diagnostic practice","8","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","24","182244","0.0-42.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","182814","0.0-43.0","3c8nuoad","","","","","","","","","","","","","569","faq","Diagnostic practice","","f","","Diagnostic practice","9","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","26","183575","0.0-46.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","184342","0.0-47.0","3c8nuoad","","","","","","","","","","","","","767","faq","Diagnostic practice","","j","","Diagnostic practice","10","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","28","185094","0.0-50.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","185702","0.0-51.0","3c8nuoad","","","","","","","","","","","","","606","asn","Diagnostic practice","","f","","Diagnostic practice","11","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","30","186460","0.0-54.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","187046","0.0-55.0","3c8nuoad","","","","","","","","","","","","","585","asn","Diagnostic practice","","j","","Diagnostic practice","12","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","32","187800","0.0-58.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","33","188782","0.0-59.0","3c8nuoad","","","","","","","","","","","","","981","faq","Diagnostic practice","","f","","Diagnostic practice","13","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","34","189536","0.0-62.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","35","190093","0.0-63.0","3c8nuoad","","","","","","","","","","","","","557","asn","Diagnostic practice","","f","","Diagnostic practice","14","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","36","190857","0.0-66.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","191350","0.0-67.0","3c8nuoad","","","","","","","","","","","","","493","faq","Diagnostic practice","","f","","Diagnostic practice","15","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","38","192115","0.0-70.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","instructions","39","205974","0.0-71.0","3c8nuoad","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":13858}]","13859","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","219181","0.0-72.0","3c8nuoad","","","","","","","","","","","","","11703","If ufc press LEFT | If pxv press RIGHT","Inducer practice",""," ","","Practice","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","219942","0.0-73.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","42","220567","0.0-74.0","3c8nuoad","","","","","","","","","","","","","624","ufc","Inducer practice","","f","","Practice","","","","true","","","","","f","1","","true","LEFT","",""
"","html-keyboard-response","43","221329","0.0-77.0","3c8nuoad","1536","864","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
