"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","3","0.0-0.0","9trhclc7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1012","0.0-1.0","9trhclc7","1426","731","true","safari","17.2.1","false","Mac OS","true","59.94","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","60875","0.0-2.0","9trhclc7","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":37491},{""page_index"":1,""viewing_time"":15791},{""page_index"":2,""viewing_time"":6577}]","59859","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","65672","0.0-3.0","9trhclc7","","","","","","","","","","","","","3794","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","128975","0.0-4.0","9trhclc7","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":31449},{""page_index"":1,""viewing_time"":31850}]","63300","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","139258","0.0-5.0","9trhclc7","","","","","","","","","","","","","8777","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""blue"",""cue_shape"":""Circle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""red"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","140012","0.0-6.0","9trhclc7","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","140801","0.0-7.0","9trhclc7","","","","","","","","","","","","","787","mvv","Diagnostic practice","","f","","Diagnostic practice","0","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","8","141554","0.0-10.0","9trhclc7","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","142366","0.0-11.0","9trhclc7","","","","","","","","","","","","","810","mvv","Diagnostic practice","","j","","Diagnostic practice","1","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
