"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","2","0.0-0.0","b22whtly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1001","0.0-1.0","b22whtly","1280","585","true","chrome","123.0.0","false","Windows 10","true","60.62","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","202749","0.0-2.0","b22whtly","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":161765},{""page_index"":1,""viewing_time"":21379},{""page_index"":2,""viewing_time"":18599}]","201747","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","298323","0.0-3.0","b22whtly","","","","","","","","","","","","","94569","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","321361","0.0-4.0","b22whtly","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":11388},{""page_index"":1,""viewing_time"":11649}]","23037","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","332872","0.0-5.0","b22whtly","","","","","","","","","","","","","10009","If italic press RIGHT | If upright press LEFT","Diagnostic instructions",""," ","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""yellow"",""cue_shape"":""Circle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""blue"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","333624","0.0-6.0","b22whtly","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","334394","0.0-7.0","b22whtly","","","","","","","","","","","","","769","rif","Diagnostic practice","","j","","Diagnostic practice","0","-84","true","false","true","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","8","335146","0.0-10.0","b22whtly","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","335717","0.0-11.0","b22whtly","","","","","","","","","","","","","571","rif","Diagnostic practice","","f","","Diagnostic practice","1","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","10","336481","0.0-14.0","b22whtly","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","337071","0.0-15.0","b22whtly","","","","","","","","","","","","","588","rif","Diagnostic practice","","f","","Diagnostic practice","2","-84","true","false","false","prac equal","RIGHT","LEFT","f","1","false","","","",""
