"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","1","0.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1514","0.0-1.0","8fagy35y","1440","783","true","chrome","120.0.0","false","Mac OS","true","40.03","true","true","","","","","","","","","","","","","","","","","",""
"","instructions","2","56591","0.0-2.0","8fagy35y","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":10500},{""page_index"":1,""viewing_time"":16421},{""page_index"":2,""viewing_time"":28157}]","55078","The experiment and consent","The experiment and consent","","","","","","","","","","","","","",""
"","fullscreen","3","72730","0.0-3.0","8fagy35y","1440","900","","","","","","","","","","","15127","","Full screen","true","","","","","","","","","","","","",""
"","instructions","4","122236","0.0-4.0","8fagy35y","1440","900","","","","","","","","","","[{""page_index"":0,""viewing_time"":28602},{""page_index"":1,""viewing_time"":20903}]","49505","Instructions","Basic overview explanation","","","","","","","","","","","","","",""
"","html-keyboard-response","5","133025","0.0-5.0","8fagy35y","1440","900","","","","","","","","","","","9283","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","",""
"","html-keyboard-response","6","133780","0.0-6.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","7","134497","0.0-7.0","8fagy35y","1440","900","","","","","","","","","","","716","pib","Practice diganostic trial","","j","practice","0","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","8","135255","0.0-10.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","9","135837","0.0-11.0","8fagy35y","1440","900","","","","","","","","","","","580","dpf","Practice diganostic trial","","j","practice","1","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","10","136593","0.0-14.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","11","137070","0.0-15.0","8fagy35y","1440","900","","","","","","","","","","","476","pib","Practice diganostic trial","","j","practice","2","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","12","137822","0.0-18.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","13","138289","0.0-19.0","8fagy35y","1440","900","","","","","","","","","","","466","dpf","Practice diganostic trial","","j","practice","3","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","14","139045","0.0-22.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","15","139526","0.0-23.0","8fagy35y","1440","900","","","","","","","","","","","480","dpf","Practice diganostic trial","","j","practice","4","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","16","140283","0.0-26.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","17","140913","0.0-27.0","8fagy35y","1440","900","","","","","","","","","","","630","pib","Practice diganostic trial","","j","practice","5","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","18","141669","0.0-30.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","19","142305","0.0-31.0","8fagy35y","1440","900","","","","","","","","","","","635","dpf","Practice diganostic trial","","j","practice","6","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","20","143057","0.0-34.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","21","143696","0.0-35.0","8fagy35y","1440","900","","","","","","","","","","","638","dpf","Practice diganostic trial","","f","practice","7","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","22","144452","0.0-38.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","23","145008","0.0-39.0","8fagy35y","1440","900","","","","","","","","","","","555","dpf","Practice diganostic trial","","j","practice","8","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","24","145764","0.0-42.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","25","146306","0.0-43.0","8fagy35y","1440","900","","","","","","","","","","","541","pib","Practice diganostic trial","","f","practice","9","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","26","147058","0.0-46.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","27","147593","0.0-47.0","8fagy35y","1440","900","","","","","","","","","","","534","pib","Practice diganostic trial","","j","practice","10","false","false","RIGHT","j","1","","","","",""
"","html-keyboard-response","28","148350","0.0-50.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","29","149054","0.0-51.0","8fagy35y","1440","900","","","","","","","","","","","703","dpf","Practice diganostic trial","","f","practice","11","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","30","149805","0.0-54.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","31","150404","0.0-55.0","8fagy35y","1440","900","","","","","","","","","","","598","dpf","Practice diganostic trial","","f","practice","12","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","32","151157","0.0-58.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","33","151930","0.0-59.0","8fagy35y","1440","900","","","","","","","","","","","772","pib","Practice diganostic trial","","f","practice","13","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","34","152682","0.0-62.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","35","153417","0.0-63.0","8fagy35y","1440","900","","","","","","","","","","","734","pib","Practice diganostic trial","","f","practice","14","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","36","154170","0.0-66.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","instructions","37","177480","0.0-67.0","8fagy35y","1440","900","","","","","","","","","","[{""page_index"":0,""viewing_time"":23310}]","23311","Instructions","Final experiment explanation","","","","","","","","","","","","","",""
"","html-keyboard-response","38","188884","0.0-68.0","8fagy35y","1440","900","","","","","","","","","","","9896","If clr press LEFT | If nua press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","",""
"","html-keyboard-response","39","189585","0.0-69.0","8fagy35y","1440","900","","","","","","","","","","","700","clr","Practice inducer trial","","f","practice","","true","","","","1","","","","",""
"","html-keyboard-response","40","190337","0.0-72.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","41","196412","0.0-73.0","8fagy35y","1440","900","","","","","","","","","","","6074","If dlo press LEFT | If spm press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","",""
"","html-keyboard-response","42","197143","0.0-74.0","8fagy35y","1440","900","","","","","","","","","","","731","dlo","Practice inducer trial","","f","practice","","true","","","","1","","","","",""
"","html-keyboard-response","43","197897","0.0-77.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","44","211575","0.0-78.0","8fagy35y","1440","900","","","","","","","","","","","13678","If dv6 press LEFT | If cuo press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","",""
"","html-keyboard-response","45","212385","0.0-79.0","8fagy35y","1440","900","","","","","","","","","","","809","cuo","Practice inducer trial","","j","practice","","true","","","","1","","","","",""
"","html-keyboard-response","46","213142","0.0-82.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","47","220233","0.0-83.0","8fagy35y","1440","900","","","","","","","","","","","7090","If wue press LEFT | If ows press RIGHT","Practice inducer instructions",""," ","practice","","","","","","","","","","",""
"","html-keyboard-response","48","221217","0.0-84.0","8fagy35y","1440","900","","","","","","","","","","","983","ows","Practice inducer trial","","j","practice","","true","","","","1","","","","",""
"","html-keyboard-response","49","221970","0.0-87.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","50","226982","0.0-88.0","8fagy35y","1440","900","","","","","","","","","","","5011","End practice","End of practice",""," ","","","","","","","","","","","",""
"","html-keyboard-response","51","228485","0.0-89.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","",""
"","html-keyboard-response","52","232759","0.0-90.0","8fagy35y","1440","900","","","","","","","","","","","4273","If t53 press LEFT | If eug press RIGHT","Inducer instructions",""," ","0","","","","","","","","","","",""
"","html-keyboard-response","53","233512","0.0-91.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","54","234189","0.0-92.0","8fagy35y","1440","900","","","","","","","","","","","676","eug","Diagnostic trial","","j","0","0","false","true","LEFT","f","0","RIGHT","false","","",""
"","call-function","55","234190","0.0-94.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","56","234491","0.0-94.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","57","234492","0.0-94.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","58","235244","0.0-95.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","59","236881","0.0-96.0","8fagy35y","1440","900","","","","","","","","","","","1636","t53","Diagnostic trial","","j","0","1","false","true","LEFT","f","0","LEFT","true","","",""
"","call-function","60","236881","0.0-98.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","61","237188","0.0-98.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","62","237189","0.0-98.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","63","237945","0.0-99.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","64","239542","0.0-100.0","8fagy35y","1440","900","","","","","","","","","","","1595","t53","Diagnostic trial","","f","0","2","false","false","RIGHT","j","0","LEFT","false","","",""
"","call-function","65","239542","0.0-102.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","66","239848","0.0-102.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","67","239848","0.0-102.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","68","240603","0.0-103.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","69","241905","0.0-104.0","8fagy35y","1440","900","","","","","","","","","","","1301","eug","Diagnostic trial","","j","0","3","false","true","LEFT","f","0","RIGHT","false","","",""
"","call-function","70","241905","0.0-106.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","71","242208","0.0-106.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","72","242208","0.0-106.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","73","242965","0.0-107.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","74","244971","0.0-108.0","8fagy35y","1440","900","","","","","","","","","","","null","t53","Diagnostic trial","","null","0","4","false","true","LEFT","f","NaN","LEFT","true","","",""
"","call-function","75","244973","0.0-109.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","76","245278","0.0-109.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Slow","Feedback","","null","","","","","","","","","","","",""
"","call-function","77","245279","0.0-109.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","78","246032","0.0-111.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","79","247056","0.0-112.0","8fagy35y","1440","900","","","","","","","","","","","1023","t53","Diagnostic trial","","j","0","5","false","true","LEFT","f","0","LEFT","true","","",""
"","call-function","80","247057","0.0-114.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","81","247360","0.0-114.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","82","247360","0.0-114.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","83","248115","0.0-115.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","84","249035","0.0-116.0","8fagy35y","1440","900","","","","","","","","","","","919","t53","Diagnostic trial","","j","0","6","false","true","LEFT","f","0","LEFT","true","","",""
"","call-function","85","249036","0.0-118.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","86","249343","0.0-118.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","87","249343","0.0-118.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","88","250095","0.0-119.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","89","250659","0.0-120.0","8fagy35y","1440","900","","","","","","","","","","","563","eug","Diagnostic trial","","f","0","7","false","false","RIGHT","j","0","RIGHT","true","","",""
"","call-function","90","250660","0.0-122.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","91","250962","0.0-122.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","92","250963","0.0-122.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","93","251720","0.0-123.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","94","252281","0.0-124.0","8fagy35y","1440","900","","","","","","","","","","","560","t53","Diagnostic trial","","j","0","8","false","true","LEFT","f","0","LEFT","true","","",""
"","call-function","95","252282","0.0-126.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","96","252585","0.0-126.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","97","252586","0.0-126.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","98","253338","0.0-127.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","99","254145","0.0-128.0","8fagy35y","1440","900","","","","","","","","","","","806","t53","Diagnostic trial","","j","0","9","false","true","LEFT","f","0","LEFT","true","","",""
"","call-function","100","254146","0.0-130.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","101","254447","0.0-130.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","102","254448","0.0-130.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","103","255200","0.0-131.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","104","255711","0.0-132.0","8fagy35y","1440","900","","","","","","","","","","","510","t53","Diagnostic trial","","j","0","10","false","true","LEFT","f","0","LEFT","true","","",""
"","call-function","105","255712","0.0-134.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","106","256014","0.0-134.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","107","256014","0.0-134.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","108","256766","0.0-135.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","109","257562","0.0-136.0","8fagy35y","1440","900","","","","","","","","","","","795","t53","Diagnostic trial","","j","0","11","false","true","LEFT","f","0","LEFT","true","","",""
"","call-function","110","257563","0.0-138.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","111","257867","0.0-138.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","112","257868","0.0-138.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","113","258625","0.0-139.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","114","259322","0.0-140.0","8fagy35y","1440","900","","","","","","","","","","","696","t53","Diagnostic trial","","j","0","12","false","true","LEFT","f","0","LEFT","true","","",""
"","call-function","115","259322","0.0-142.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","116","259625","0.0-142.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","117","259625","0.0-142.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","118","260377","0.0-143.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","119","261101","0.0-144.0","8fagy35y","1440","900","","","","","","","","","","","722","eug","Inducer trial","","f","0","","true","","","","0","","","","",""
"","call-function","120","261102","0.0-146.0-0.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","121","261403","0.0-146.0-1.0","8fagy35y","1440","900","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","122","261404","0.0-146.0-2.0","8fagy35y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","123","262911","0.0-147.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","",""
"","html-keyboard-response","124","271046","0.0-148.0","8fagy35y","1440","900","","","","","","","","","","","8134","If xss press LEFT | If lst press RIGHT","Inducer instructions",""," ","1","","","","","","","","","","",""
"","html-keyboard-response","125","271798","0.0-149.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","126","272406","0.0-150.0","8fagy35y","1440","900","","","","","","","","","","","607","xss","Diagnostic trial","","f","1","0","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","127","273159","0.0-153.0","8fagy35y","1440","900","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
