"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","1","0.0-0.0","2kvo513m","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","367","0.0-1.0","2kvo513m","1606","809","true","opera","105.0.0","false","Windows 10","true","167.04","true","true","","","","","","","","","","","","","","","","","",""
"","instructions","2","55167","0.0-2.0","2kvo513m","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":11117},{""page_index"":1,""viewing_time"":23766},{""page_index"":2,""viewing_time"":19916}]","54800","The experiment and consent","The experiment and consent","","","","","","","","","","","","","",""
"","fullscreen","3","68545","0.0-3.0","2kvo513m","2048","1152","","","","","","","","","","","12367","","Full screen","true","","","","","","","","","","","","",""
"","instructions","4","99179","0.0-4.0","2kvo513m","2048","1152","","","","","","","","","","[{""page_index"":0,""viewing_time"":22833},{""page_index"":1,""viewing_time"":7800}]","30633","Instructions","Basic overview explanation","","","","","","","","","","","","","",""
"","html-keyboard-response","5","112469","0.0-5.0","2kvo513m","2048","1152","","","","","","","","","","","11778","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","",""
"","html-keyboard-response","6","113234","0.0-6.0","2kvo513m","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","7","113728","0.0-7.0","2kvo513m","2048","1152","","","","","","","","","","","494","crt","Practice diganostic trial","","f","practice","0","false","true","LEFT","f","1","","","","",""
"","html-keyboard-response","8","114483","0.0-10.0","2kvo513m","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","9","114866","0.0-11.0","2kvo513m","2048","1152","","","","","","","","","","","381","crt","Practice diganostic trial","","f","practice","1","false","true","LEFT","f","1","","","","",""
